month,category,region,profit_variance,discount_variance_pts,cogs_variance_pts
2024-04,Outdoor & Sporting,South,-1643.0,0.0104,0.0019
2024-05,Outdoor & Sporting,South,-3546.0,0.045,0.0005
2024-06,Outdoor & Sporting,South,-390.0,0.0235,-0.0011
2024-07,Outdoor & Sporting,South,-1355.0,0.0375,-0.0129
2024-08,Outdoor & Sporting,South,-1813.0,0.0611,0.0048
2024-09,Outdoor & Sporting,South,833.0,0.0327,-0.0039
2024-10,Outdoor & Sporting,South,-6875.0,0.0494,0.003
2024-11,Outdoor & Sporting,South,1505.0,0.043,-0.0214
2024-12,Outdoor & Sporting,South,-2867.0,0.0503,0.0028
2025-01,Outdoor & Sporting,South,-2720.0,0.0495,-0.0045
2025-02,Outdoor & Sporting,South,-943.0,0.0601,0.0015
2025-03,Outdoor & Sporting,South,-1706.0,0.0279,0.0096
2025-04,Outdoor & Sporting,South,-4188.0,0.0463,0.0031
2025-05,Outdoor & Sporting,South,-4524.0,0.0793,-0.0234
2025-06,Outdoor & Sporting,South,-3137.0,0.052,0.0042
2025-07,Outdoor & Sporting,South,-921.0,0.0599,-0.0083
2025-08,Outdoor & Sporting,South,-5311.0,0.0699,0.0019
2025-09,Outdoor & Sporting,South,2363.0,0.0539,-0.0078
2025-10,Outdoor & Sporting,South,-7276.0,0.0557,0.0
2025-11,Outdoor & Sporting,South,-3134.0,0.0763,-0.0066
2025-12,Outdoor & Sporting,South,-5613.0,0.0512,0.0076
