ticket_id,created_at,category,priority,assigned_tech_id,resolved_at,resolution_hours,sla_target_hours,sla_breached,reopened
HD-00024,2025-03-06T08:37,Hardware,Medium,T08,2025-03-06T15:56,7.33,24,False,False
HD-00007,2025-03-06T10:24,Password Reset,High,T02,2025-03-06T11:09,0.75,8,False,False
HD-00013,2025-03-06T13:07,Account Access,Low,T08,2025-03-06T17:53,4.76,48,False,False
HD-00023,2025-03-06T13:13,Hardware,Medium,T06,2025-03-06T20:49,7.6,24,False,False
HD-00025,2025-03-06T15:15,Hardware,Medium,T03,2025-03-06T18:12,2.96,24,False,False
HD-00003,2025-03-06T16:54,Password Reset,Low,T05,2025-03-06T17:41,0.79,48,False,False
HD-00031,2025-03-07T08:21,Network & VPN,Medium,T05,2025-03-07T18:48,10.46,24,False,False
HD-00006,2025-03-07T09:48,Password Reset,Medium,T06,2025-03-07T10:39,0.85,24,False,False
HD-00015,2025-03-07T12:12,Email & Calendar,Medium,T08,2025-03-07T14:48,2.6,24,False,False
HD-00002,2025-03-07T12:32,Password Reset,Medium,T04,2025-03-07T13:04,0.54,24,False,False
HD-00005,2025-03-07T12:37,Password Reset,Medium,T06,2025-03-07T13:21,0.73,24,False,False
HD-00019,2025-03-07T13:39,Hardware,High,T01,2025-03-07T19:57,6.31,8,False,False
HD-00011,2025-03-07T16:42,Account Access,Low,T01,2025-03-07T17:41,0.98,48,False,False
HD-00060,2025-03-10T09:36,Software Install,Low,T07,2025-03-10T13:07,3.51,48,False,False
HD-00057,2025-03-10T10:02,Hardware,Low,T04,2025-03-10T13:20,3.29,48,False,False
HD-00055,2025-03-10T10:49,Hardware,Medium,T01,2025-03-11T00:45,13.93,24,False,False
HD-00050,2025-03-10T11:46,Email & Calendar,Low,T04,2025-03-10T19:34,7.8,48,False,False
HD-00039,2025-03-10T12:06,Password Reset,Medium,T03,2025-03-10T13:23,1.28,24,False,False
HD-00053,2025-03-10T13:10,Hardware,Medium,T02,2025-03-10T22:03,8.89,24,False,False
HD-00049,2025-03-10T14:50,Email & Calendar,High,T02,2025-03-10T17:49,2.99,8,False,False
HD-00037,2025-03-10T15:48,Password Reset,High,T06,2025-03-10T16:26,0.64,8,False,True
HD-00051,2025-03-10T16:56,Hardware,Low,T07,2025-03-10T23:32,6.6,48,False,False
HD-00045,2025-03-11T08:52,Account Access,High,T06,2025-03-11T10:53,2.02,8,False,False
HD-00052,2025-03-11T09:06,Hardware,Low,T08,2025-03-11T22:18,13.2,48,False,True
HD-00064,2025-03-11T09:30,Network & VPN,High,T03,2025-03-11T21:28,11.96,8,True,False
HD-00046,2025-03-11T12:49,Email & Calendar,High,T03,2025-03-11T16:31,3.7,8,False,False
HD-00061,2025-03-12T08:21,Network & VPN,Medium,T08,2025-03-13T19:54,35.54,24,True,True
HD-00044,2025-03-12T09:41,Account Access,Medium,T05,2025-03-12T12:20,2.66,24,False,False
HD-00038,2025-03-12T09:55,Password Reset,Medium,T06,2025-03-12T11:06,1.17,24,False,False
HD-00054,2025-03-12T09:57,Hardware,High,T08,2025-03-12T16:05,6.13,8,False,False
HD-00062,2025-03-12T12:11,Network & VPN,High,T02,2025-03-13T01:03,12.88,8,True,False
HD-00035,2025-03-12T13:09,Password Reset,Medium,T02,2025-03-12T13:46,0.61,24,False,True
HD-00036,2025-03-12T13:41,Password Reset,High,T06,2025-03-12T14:12,0.52,8,False,False
HD-00042,2025-03-12T14:46,Password Reset,Medium,T01,2025-03-12T15:03,0.29,24,False,False
HD-00041,2025-03-13T09:56,Password Reset,Low,T05,2025-03-13T10:36,0.68,48,False,False
HD-00034,2025-03-13T15:10,Password Reset,Low,T07,2025-03-13T15:57,0.79,48,False,False
HD-00048,2025-03-13T15:35,Email & Calendar,High,T08,2025-03-13T17:10,1.59,8,False,False
HD-00043,2025-03-13T16:09,Account Access,Low,T01,2025-03-13T17:03,0.9,48,False,False
HD-00056,2025-03-13T16:57,Hardware,High,T01,2025-03-14T00:56,7.99,8,False,False
HD-00065,2025-03-14T10:57,Network & VPN,Critical,T05,2025-03-14T15:52,4.91,4,True,False
HD-00059,2025-03-14T13:39,Software Install,Medium,T05,2025-03-15T01:08,11.48,24,False,False
HD-00040,2025-03-14T13:57,Password Reset,High,T02,2025-03-14T14:41,0.73,8,False,False
HD-00058,2025-03-14T14:01,Software Install,Low,T02,2025-03-15T02:46,12.75,48,False,False
HD-00063,2025-03-14T14:22,Network & VPN,High,T07,2025-03-15T10:14,19.88,8,True,False
HD-00047,2025-03-14T15:11,Email & Calendar,Medium,T02,2025-03-14T16:08,0.95,24,False,False
HD-00069,2025-03-17T08:21,Password Reset,Medium,T08,2025-03-17T08:48,0.45,24,False,False
HD-00078,2025-03-17T10:38,Password Reset,Low,T02,2025-03-17T11:47,1.15,48,False,False
HD-00094,2025-03-17T10:50,Software Install,Low,T01,2025-03-17T16:26,5.6,48,False,False
HD-00075,2025-03-17T11:25,Password Reset,High,T07,2025-03-17T12:29,1.06,8,False,False
HD-00096,2025-03-17T13:28,Software Install,Medium,T08,2025-03-18T02:35,13.12,24,False,True
HD-00087,2025-03-17T14:54,Email & Calendar,Medium,T03,2025-03-17T18:06,3.19,24,False,False
HD-00085,2025-03-18T10:19,Account Access,Medium,T06,2025-03-18T13:03,2.73,24,False,False
HD-00080,2025-03-18T10:49,Account Access,Medium,T07,2025-03-18T12:34,1.75,24,False,False
HD-00084,2025-03-18T14:08,Account Access,Low,T01,2025-03-18T15:16,1.13,48,False,False
HD-00097,2025-03-18T14:14,Software Install,Medium,T06,2025-03-18T20:33,6.32,24,False,False
HD-00081,2025-03-18T15:26,Account Access,Medium,T07,2025-03-18T17:55,2.47,24,False,False
HD-00090,2025-03-19T09:14,Email & Calendar,Low,T02,2025-03-19T10:49,1.58,48,False,False
HD-00098,2025-03-19T10:44,Network & VPN,Medium,T02,2025-03-20T05:15,18.53,24,False,False
HD-00079,2025-03-19T12:01,Password Reset,Medium,T03,2025-03-19T13:40,1.65,24,False,False
HD-00071,2025-03-19T12:05,Password Reset,High,T02,2025-03-19T12:40,0.58,8,False,False
HD-00072,2025-03-19T12:11,Password Reset,Medium,T07,2025-03-19T12:50,0.65,24,False,False
HD-00091,2025-03-19T12:16,Hardware,Low,T02,2025-03-19T20:24,8.14,48,False,False
HD-00066,2025-03-19T12:57,Password Reset,High,T02,2025-03-19T13:27,0.49,8,False,False
HD-00077,2025-03-19T13:58,Password Reset,Medium,T05,2025-03-19T14:57,0.98,24,False,False
HD-00099,2025-03-19T14:07,Network & VPN,High,T08,2025-03-20T06:55,16.8,8,True,True
HD-00068,2025-03-19T14:34,Password Reset,Low,T05,2025-03-19T15:49,1.25,48,False,False
HD-00088,2025-03-19T14:54,Email & Calendar,High,T05,2025-03-19T16:56,2.04,8,False,False
HD-00076,2025-03-20T08:18,Password Reset,Medium,T06,2025-03-20T09:34,1.27,24,False,False
HD-00073,2025-03-20T11:39,Password Reset,Medium,T06,2025-03-20T12:27,0.81,24,False,False
HD-00070,2025-03-20T13:20,Password Reset,Low,T01,2025-03-20T13:35,0.25,48,False,False
HD-00086,2025-03-20T14:56,Email & Calendar,Medium,T04,2025-03-20T19:43,4.78,24,False,False
HD-00092,2025-03-20T16:02,Software Install,Medium,T08,2025-03-21T05:47,13.75,24,False,False
HD-00067,2025-03-20T16:37,Password Reset,Medium,T01,2025-03-20T17:02,0.42,24,False,False
HD-00083,2025-03-21T08:30,Account Access,High,T07,2025-03-21T12:22,3.86,8,False,False
HD-00074,2025-03-21T12:11,Password Reset,High,T04,2025-03-21T12:56,0.74,8,False,False
HD-00089,2025-03-21T12:24,Email & Calendar,Low,T04,2025-03-21T14:16,1.87,48,False,False
HD-00082,2025-03-21T12:54,Account Access,Low,T03,2025-03-21T16:55,4.02,48,False,False
HD-00095,2025-03-21T13:30,Software Install,Medium,T08,2025-03-22T07:58,18.46,24,False,False
HD-00093,2025-03-21T14:56,Software Install,Low,T05,2025-03-22T07:47,16.84,48,False,False
HD-00128,2025-03-24T08:17,Software Install,High,T08,2025-03-25T03:08,18.84,8,True,True
HD-00122,2025-03-24T08:28,Hardware,Low,T03,2025-03-24T12:34,4.1,48,False,False
HD-00101,2025-03-24T08:45,Password Reset,Low,T07,2025-03-24T09:51,1.1,48,False,False
HD-00104,2025-03-24T11:29,Password Reset,Low,T06,2025-03-24T12:47,1.3,48,False,False
HD-00119,2025-03-24T12:42,Email & Calendar,High,T04,2025-03-24T18:30,5.79,8,False,False
HD-00133,2025-03-24T14:02,Network & VPN,High,T05,2025-03-24T22:30,8.46,8,True,False
HD-00116,2025-03-24T15:21,Email & Calendar,Critical,T01,2025-03-24T19:19,3.96,4,False,False
HD-00100,2025-03-25T09:03,Password Reset,Medium,T07,2025-03-25T10:05,1.04,24,False,False
HD-00135,2025-03-25T09:40,Network & VPN,Low,T06,2025-03-25T16:28,6.8,48,False,False
HD-00132,2025-03-25T11:53,Network & VPN,Low,T04,2025-03-26T08:00,20.11,48,False,False
HD-00111,2025-03-25T12:13,Account Access,Medium,T07,2025-03-25T13:54,1.69,24,False,False
HD-00113,2025-03-25T13:12,Account Access,Medium,T08,2025-03-25T15:09,1.95,24,False,False
HD-00123,2025-03-25T13:16,Hardware,Low,T03,2025-03-25T16:07,2.84,48,False,False
HD-00136,2025-03-25T13:43,Network & VPN,Low,T03,2025-03-26T09:17,19.56,48,False,False
HD-00105,2025-03-25T14:34,Password Reset,Low,T02,2025-03-25T15:15,0.68,48,False,False
HD-00121,2025-03-25T15:01,Email & Calendar,Low,T03,2025-03-25T16:57,1.92,48,False,False
HD-00127,2025-03-25T16:09,Software Install,Low,T02,2025-03-25T22:07,5.97,48,False,False
HD-00125,2025-03-25T16:15,Hardware,Medium,T08,2025-03-26T09:27,17.19,24,False,False
HD-00108,2025-03-25T16:18,Password Reset,Low,T06,2025-03-25T16:55,0.62,48,False,False
HD-00130,2025-03-25T16:29,Network & VPN,Critical,T04,2025-03-25T23:51,7.37,4,True,False
HD-00109,2025-03-26T09:07,Password Reset,High,T01,2025-03-26T09:35,0.47,8,False,False
HD-00106,2025-03-26T10:35,Password Reset,Medium,T04,2025-03-26T11:19,0.73,24,False,False
HD-00134,2025-03-26T10:44,Network & VPN,High,T03,2025-03-26T19:15,8.52,8,True,False
HD-00110,2025-03-26T11:19,Account Access,High,T05,2025-03-26T13:00,1.69,8,False,False
HD-00115,2025-03-26T11:21,Email & Calendar,Medium,T03,2025-03-26T16:15,4.9,24,False,False
HD-00112,2025-03-26T11:31,Account Access,Low,T01,2025-03-26T13:08,1.61,48,False,False
HD-00129,2025-03-26T12:07,Software Install,Medium,T05,2025-03-27T02:24,14.28,24,False,False
HD-00126,2025-03-26T12:16,Software Install,Low,T06,2025-03-26T21:44,9.47,48,False,False
HD-00107,2025-03-27T09:33,Password Reset,Low,T03,2025-03-27T10:11,0.64,48,False,False
HD-00131,2025-03-27T11:22,Network & VPN,High,T04,2025-03-27T18:13,6.86,8,False,False
HD-00118,2025-03-27T12:13,Email & Calendar,Critical,T02,2025-03-27T13:11,0.97,4,False,False
HD-00103,2025-03-27T13:43,Password Reset,High,T07,2025-03-27T14:26,0.72,8,False,False
HD-00117,2025-03-27T15:38,Email & Calendar,High,T02,2025-03-27T17:25,1.78,8,False,False
HD-00114,2025-03-28T09:12,Email & Calendar,Medium,T07,2025-03-28T17:09,7.95,24,False,False
HD-00124,2025-03-28T10:18,Hardware,Medium,T07,2025-03-28T18:17,7.99,24,False,False
HD-00102,2025-03-28T13:39,Password Reset,Medium,T03,2025-03-28T15:22,1.71,24,False,False
HD-00120,2025-03-28T16:50,Email & Calendar,High,T03,2025-03-28T18:35,1.75,8,False,False
HD-00167,2025-03-31T08:15,Network & VPN,Medium,T08,2025-03-31T22:42,14.44,24,False,True
HD-00169,2025-03-31T08:58,Network & VPN,High,T03,2025-04-01T04:46,19.8,8,True,False
HD-00145,2025-03-31T10:20,Account Access,Medium,T01,2025-03-31T12:16,1.94,24,False,False
HD-00144,2025-03-31T13:41,Password Reset,Low,T02,2025-03-31T14:47,1.1,48,False,False
HD-00147,2025-03-31T14:14,Account Access,High,T02,2025-03-31T15:24,1.17,8,False,False
HD-00161,2025-03-31T15:15,Hardware,Low,T08,2025-03-31T21:43,6.47,48,False,False
HD-00163,2025-03-31T16:18,Software Install,Low,T07,2025-03-31T22:06,5.81,48,False,False
HD-00138,2025-03-31T16:33,Password Reset,Low,T08,2025-03-31T16:58,0.43,48,False,False
HD-00155,2025-04-01T08:30,Email & Calendar,Medium,T05,2025-04-01T11:36,3.09,24,False,True
HD-00139,2025-04-01T11:01,Password Reset,Medium,T06,2025-04-01T11:51,0.84,24,False,True
HD-00151,2025-04-01T13:12,Email & Calendar,Low,T08,2025-04-01T15:06,1.9,48,False,False
HD-00156,2025-04-02T08:09,Email & Calendar,Medium,T03,2025-04-02T12:07,3.96,24,False,False
HD-00160,2025-04-02T08:52,Hardware,Medium,T05,2025-04-02T14:16,5.39,24,False,False
HD-00170,2025-04-02T12:52,Network & VPN,Medium,T02,2025-04-03T08:33,19.68,24,False,False
HD-00154,2025-04-02T14:17,Email & Calendar,Low,T01,2025-04-02T19:38,5.36,48,False,False
HD-00141,2025-04-02T16:20,Password Reset,Medium,T01,2025-04-02T16:54,0.56,24,False,False
HD-00148,2025-04-03T08:19,Account Access,High,T02,2025-04-03T09:57,1.64,8,False,False
HD-00140,2025-04-03T08:40,Password Reset,Low,T05,2025-04-03T09:19,0.65,48,False,True
HD-00164,2025-04-03T09:41,Software Install,Medium,T02,2025-04-03T19:58,10.28,24,False,False
HD-00150,2025-04-03T09:47,Account Access,Medium,T04,2025-04-03T12:32,2.75,24,False,False
HD-00137,2025-04-03T09:48,Password Reset,Critical,T03,2025-04-03T10:18,0.51,4,False,False
HD-00168,2025-04-03T09:55,Network & VPN,Low,T02,2025-04-03T21:01,11.1,48,False,False
HD-00157,2025-04-03T10:36,Hardware,High,T07,2025-04-03T16:29,5.89,8,False,False
HD-00159,2025-04-03T11:24,Hardware,Medium,T05,2025-04-03T21:08,9.73,24,False,False
HD-00158,2025-04-03T13:25,Hardware,Critical,T03,2025-04-03T16:36,3.18,4,False,False
HD-00165,2025-04-03T13:58,Software Install,Low,T02,2025-04-04T00:11,10.21,48,False,False
HD-00166,2025-04-03T15:53,Network & VPN,Medium,T05,2025-04-03T19:52,3.98,24,False,False
HD-00162,2025-04-03T15:54,Hardware,Medium,T07,2025-04-03T23:13,7.33,24,False,False
HD-00152,2025-04-03T16:33,Email & Calendar,Critical,T04,2025-04-03T19:06,2.54,4,False,False
HD-00142,2025-04-04T10:12,Password Reset,Critical,T01,2025-04-04T10:26,0.23,4,False,False
HD-00143,2025-04-04T10:51,Password Reset,Low,T01,2025-04-04T11:04,0.22,48,False,True
HD-00149,2025-04-04T11:37,Account Access,Medium,T07,2025-04-04T14:32,2.92,24,False,True
HD-00146,2025-04-04T12:40,Account Access,Low,T06,2025-04-04T15:20,2.67,48,False,True
HD-00153,2025-04-04T14:34,Email & Calendar,Medium,T05,2025-04-04T17:11,2.63,24,False,False
HD-00194,2025-04-07T08:45,Email & Calendar,Medium,T02,2025-04-07T10:35,1.84,24,False,False
HD-00177,2025-04-07T09:04,Password Reset,High,T08,2025-04-07T09:25,0.36,8,False,False
HD-00202,2025-04-07T09:06,Hardware,Medium,T08,2025-04-07T22:56,13.84,24,False,False
HD-00172,2025-04-07T10:33,Password Reset,High,T04,2025-04-07T11:45,1.19,8,False,False
HD-00201,2025-04-07T13:55,Hardware,Medium,T06,2025-04-07T19:46,5.85,24,False,False
HD-00188,2025-04-07T16:40,Account Access,Low,T04,2025-04-07T19:53,3.22,48,False,False
HD-00199,2025-04-08T08:04,Hardware,High,T02,2025-04-08T13:00,4.92,8,False,False
HD-00178,2025-04-08T10:36,Password Reset,High,T07,2025-04-08T11:41,1.09,8,False,True
HD-00179,2025-04-08T12:02,Password Reset,Low,T07,2025-04-08T12:58,0.93,48,False,False
HD-00181,2025-04-08T12:08,Password Reset,High,T08,2025-04-08T12:57,0.82,8,False,False
HD-00197,2025-04-08T12:41,Hardware,Critical,T05,2025-04-08T17:27,4.76,4,True,False
HD-00189,2025-04-08T13:29,Account Access,Medium,T07,2025-04-08T16:38,3.16,24,False,False
HD-00187,2025-04-08T15:58,Account Access,Medium,T05,2025-04-08T19:29,3.51,24,False,False
HD-00182,2025-04-08T15:59,Password Reset,High,T05,2025-04-08T16:35,0.6,8,False,True
HD-00174,2025-04-09T08:39,Password Reset,Medium,T05,2025-04-09T09:47,1.12,24,False,False
HD-00207,2025-04-09T10:38,Network & VPN,High,T04,2025-04-10T14:30,27.87,8,True,False
HD-00204,2025-04-09T11:07,Hardware,Low,T06,2025-04-09T20:53,9.76,48,False,False
HD-00183,2025-04-09T11:15,Account Access,High,T02,2025-04-09T12:30,1.25,8,False,False
HD-00190,2025-04-09T12:29,Email & Calendar,Low,T01,2025-04-09T16:11,3.71,48,False,False
HD-00205,2025-04-09T12:42,Software Install,Medium,T04,2025-04-09T21:49,9.12,24,False,False
HD-00186,2025-04-09T13:17,Account Access,Critical,T05,2025-04-09T14:09,0.88,4,False,False
HD-00185,2025-04-09T13:22,Account Access,Low,T08,2025-04-09T15:35,2.21,48,False,False
HD-00195,2025-04-09T16:25,Email & Calendar,Low,T08,2025-04-09T18:13,1.8,48,False,False
HD-00200,2025-04-10T08:23,Hardware,Low,T06,2025-04-10T22:40,14.29,48,False,False
HD-00192,2025-04-10T08:46,Email & Calendar,Medium,T08,2025-04-10T10:02,1.26,24,False,False
HD-00176,2025-04-10T10:57,Password Reset,Medium,T08,2025-04-10T11:20,0.38,24,False,False
HD-00198,2025-04-10T11:16,Hardware,Medium,T08,2025-04-10T18:57,7.68,24,False,False
HD-00175,2025-04-10T11:18,Password Reset,Medium,T02,2025-04-10T11:52,0.57,24,False,False
HD-00203,2025-04-10T11:41,Hardware,Medium,T02,2025-04-10T21:22,9.68,24,False,False
HD-00206,2025-04-10T14:26,Software Install,Medium,T04,2025-04-10T20:38,6.2,24,False,False
HD-00180,2025-04-10T14:41,Password Reset,High,T05,2025-04-10T15:16,0.58,8,False,False
HD-00191,2025-04-10T15:12,Email & Calendar,Low,T08,2025-04-10T16:33,1.35,48,False,False
HD-00209,2025-04-10T16:38,Network & VPN,Low,T06,2025-04-11T02:27,9.82,48,False,False
HD-00193,2025-04-11T13:00,Email & Calendar,Medium,T03,2025-04-11T16:33,3.55,24,False,True
HD-00184,2025-04-11T13:53,Account Access,Low,T07,2025-04-11T15:48,1.91,48,False,False
HD-00171,2025-04-11T14:28,Password Reset,Medium,T06,2025-04-11T16:29,2.02,24,False,False
HD-00196,2025-04-11T14:32,Hardware,Low,T01,2025-04-11T21:49,7.28,48,False,False
HD-00208,2025-04-11T16:07,Network & VPN,Medium,T05,2025-04-11T21:58,5.86,24,False,False
HD-00173,2025-04-11T16:25,Password Reset,Critical,T04,2025-04-11T16:56,0.53,4,False,False
HD-00218,2025-04-14T08:39,Password Reset,Medium,T04,2025-04-14T09:44,1.08,24,False,False
HD-00241,2025-04-14T08:40,Software Install,Low,T07,2025-04-14T23:04,14.39,48,False,False
HD-00223,2025-04-14T11:59,Email & Calendar,High,T06,2025-04-14T14:22,2.39,8,False,False
HD-00217,2025-04-14T13:03,Password Reset,Low,T04,2025-04-14T13:27,0.4,48,False,False
HD-00214,2025-04-14T14:56,Password Reset,Low,T01,2025-04-14T15:19,0.38,48,False,False
HD-00244,2025-04-14T15:13,Software Install,Critical,T03,2025-04-14T23:00,7.78,4,True,False
HD-00216,2025-04-15T11:27,Password Reset,Medium,T06,2025-04-15T11:56,0.49,24,False,False
HD-00240,2025-04-15T11:31,Software Install,Medium,T03,2025-04-15T20:50,9.32,24,False,False
HD-00221,2025-04-15T11:53,Account Access,Low,T05,2025-04-15T14:02,2.14,48,False,False
HD-00215,2025-04-15T12:23,Password Reset,Medium,T03,2025-04-15T13:01,0.63,24,False,False
HD-00219,2025-04-15T12:27,Account Access,Low,T03,2025-04-15T16:48,4.35,48,False,False
HD-00213,2025-04-15T12:52,Password Reset,Medium,T01,2025-04-15T13:27,0.57,24,False,False
HD-00233,2025-04-15T16:27,Hardware,Low,T02,2025-04-16T06:10,13.71,48,False,False
HD-00220,2025-04-15T16:52,Account Access,Medium,T06,2025-04-15T19:28,2.6,24,False,False
HD-00231,2025-04-16T11:32,Email & Calendar,Critical,T01,2025-04-16T13:01,1.49,4,False,False
HD-00235,2025-04-16T11:39,Hardware,Critical,T03,2025-04-16T14:53,3.23,4,False,False
HD-00234,2025-04-16T11:51,Hardware,Low,T06,2025-04-16T16:52,5.02,48,False,True
HD-00224,2025-04-16T12:10,Email & Calendar,Low,T06,2025-04-16T16:50,4.67,48,False,False
HD-00238,2025-04-16T12:27,Software Install,Low,T01,2025-04-17T08:26,19.99,48,False,False
HD-00211,2025-04-16T13:57,Password Reset,Medium,T01,2025-04-16T14:38,0.68,24,False,False
HD-00228,2025-04-16T14:03,Email & Calendar,Medium,T03,2025-04-16T16:37,2.58,24,False,False
HD-00230,2025-04-16T14:07,Email & Calendar,Critical,T06,2025-04-16T18:47,4.67,4,True,False
HD-00242,2025-04-16T14:31,Software Install,Low,T06,2025-04-16T23:17,8.76,48,False,False
HD-00212,2025-04-16T14:31,Password Reset,Medium,T02,2025-04-16T16:01,1.5,24,False,False
HD-00226,2025-04-16T16:30,Email & Calendar,High,T07,2025-04-16T19:29,2.98,8,False,False
HD-00225,2025-04-17T08:48,Email & Calendar,Medium,T02,2025-04-17T09:46,0.96,24,False,False
HD-00237,2025-04-17T08:54,Hardware,Medium,T02,2025-04-17T13:36,4.7,24,False,True
HD-00232,2025-04-17T12:34,Email & Calendar,High,T07,2025-04-17T19:03,6.47,8,False,False
HD-00243,2025-04-17T14:48,Software Install,Critical,T03,2025-04-17T22:07,7.33,4,True,True
HD-00239,2025-04-17T16:38,Software Install,High,T02,2025-04-17T23:38,7.0,8,False,False
HD-00236,2025-04-18T09:26,Hardware,Low,T05,2025-04-18T19:00,9.57,48,False,False
HD-00222,2025-04-18T10:37,Account Access,High,T02,2025-04-18T11:20,0.71,8,False,False
HD-00229,2025-04-18T12:25,Email & Calendar,Medium,T02,2025-04-18T14:44,2.31,24,False,False
HD-00245,2025-04-18T13:42,Software Install,High,T03,2025-04-19T15:09,25.46,8,True,False
HD-00227,2025-04-18T14:33,Email & Calendar,High,T07,2025-04-18T16:46,2.22,8,False,False
HD-00210,2025-04-18T15:16,Password Reset,Medium,T07,2025-04-18T16:18,1.03,24,False,False
HD-00272,2025-04-21T10:03,Software Install,Medium,T01,2025-04-22T08:38,22.57,24,False,False
HD-00252,2025-04-21T10:41,Password Reset,Medium,T08,2025-04-21T10:56,0.25,24,False,False
HD-00258,2025-04-21T13:01,Account Access,Low,T06,2025-04-21T16:15,3.22,48,False,False
HD-00263,2025-04-22T10:19,Email & Calendar,Low,T03,2025-04-22T13:57,3.64,48,False,True
HD-00268,2025-04-22T10:23,Hardware,Medium,T02,2025-04-22T19:04,8.69,24,False,False
HD-00274,2025-04-22T13:50,Network & VPN,Low,T04,2025-04-23T08:26,18.59,48,False,False
HD-00255,2025-04-22T14:05,Account Access,Low,T06,2025-04-22T15:11,1.1,48,False,True
HD-00257,2025-04-23T08:03,Account Access,Low,T06,2025-04-23T11:11,3.14,48,False,False
HD-00256,2025-04-23T10:29,Account Access,Low,T07,2025-04-23T12:21,1.87,48,False,False
HD-00249,2025-04-23T11:15,Password Reset,High,T03,2025-04-23T12:06,0.85,8,False,True
HD-00269,2025-04-23T12:04,Hardware,Low,T01,2025-04-23T20:35,8.53,48,False,False
HD-00266,2025-04-23T14:36,Hardware,High,T06,2025-04-23T19:03,4.45,8,False,False
HD-00264,2025-04-24T10:24,Hardware,Medium,T02,2025-04-24T16:26,6.03,24,False,False
HD-00267,2025-04-24T10:27,Hardware,Medium,T05,2025-04-24T18:32,8.09,24,False,False
HD-00259,2025-04-24T12:02,Email & Calendar,Low,T04,2025-04-24T15:43,3.68,48,False,False
HD-00261,2025-04-24T12:07,Email & Calendar,Medium,T05,2025-04-24T16:01,3.9,24,False,False
HD-00254,2025-04-24T12:10,Account Access,Critical,T04,2025-04-24T13:34,1.41,4,False,False
HD-00253,2025-04-24T12:24,Password Reset,High,T07,2025-04-24T13:13,0.83,8,False,False
HD-00250,2025-04-24T12:48,Password Reset,Medium,T07,2025-04-24T13:42,0.91,24,False,False
HD-00260,2025-04-24T13:34,Email & Calendar,Medium,T04,2025-04-24T18:43,5.16,24,False,False
HD-00271,2025-04-24T13:57,Software Install,High,T02,2025-04-24T23:26,9.49,8,True,False
HD-00248,2025-04-25T08:34,Password Reset,Low,T02,2025-04-25T10:07,1.56,48,False,False
HD-00273,2025-04-25T10:36,Network & VPN,Critical,T03,2025-04-26T01:58,15.36,4,True,True
HD-00247,2025-04-25T12:11,Password Reset,Medium,T08,2025-04-25T12:34,0.37,24,False,False
HD-00246,2025-04-25T13:44,Password Reset,Medium,T04,2025-04-25T15:16,1.53,24,False,False
HD-00265,2025-04-25T13:53,Hardware,Medium,T03,2025-04-25T17:47,3.9,24,False,False
HD-00262,2025-04-25T14:01,Email & Calendar,High,T07,2025-04-25T17:49,3.81,8,False,False
HD-00251,2025-04-25T15:43,Password Reset,High,T02,2025-04-25T16:40,0.95,8,False,True
HD-00270,2025-04-25T16:25,Software Install,Low,T08,2025-04-26T02:16,9.85,48,False,False
HD-00307,2025-04-28T10:12,Software Install,High,T04,2025-04-28T17:47,7.59,8,False,False
HD-00312,2025-04-28T10:43,Network & VPN,Medium,T02,2025-04-29T03:46,17.04,24,False,False
