order_id,warehouse,category,order_date,promised_ship_date,actual_ship_date,status,units
WO0000062,Midwest-2,Outdoor,06/22/2026,2026-06-24,06/24/2026, Shipped,6
WO0000063,West-3,Home Goods,2026-06-22,06/25/2026,06/25/2026, Shipped,8
WO0000064,West-3,Apparel,2026-06-22,06/24/2026,2026-06-23,SHIPPED,7
WO0000065,Midwest-2,Electronics,2026-06-22,2026-06-25,2026-06-24,shipped,8
WO0000066,South-4,Outdoor,06/22/2026,2026-06-25,06/25/2026,SHIPPED,10
WO0000067,Midwest-2,Home Goods,06/22/2026,06/23/2026,2026-06-23,SHIPPED,2
WO0000068,Northeast-1,Apparel,2026-06-22,2026-06-25,2026-06-25, Shipped,5
WO0000069,West-3,Home Goods,2026-06-22,2026-06-25,2026-06-25,Shipped,3
WO0000070,Northeast-1,Electronics,2026-06-22,06/24/2026,2026-06-24,Shipped,10
WO0000071,Midwest-2,Home Goods,06/22/2026,06/25/2026,06/25/2026,shipped,9
WO0000072,Midwest-2,Apparel,2026-06-22,2026-06-23,2026-06-23,Shipped,2
WO0000073,Midwest-2,Electronics,2026-06-22,2026-06-25,2026-06-25,shipped,8
WO0000074,Northeast-1,Electronics,06/22/2026,2026-06-23,06/22/2026, Shipped,1
WO0000075,West-3,Office Supplies,2026-06-22,2026-06-23,2026-06-22,shipped,9
WO0000076,Northeast-1,Office Supplies,06/22/2026,06/23/2026,06/23/2026, Shipped,7
WO0000077,South-4,Home Goods,06/22/2026,06/24/2026,2026-06-23, Shipped,3
WO0000078,South-4,Office Supplies,06/22/2026,06/23/2026,06/22/2026, Shipped,7
WO0000079,West-3,Office Supplies,2026-06-22,06/23/2026,2026-06-22,SHIPPED,2
WO0000080,Midwest-2,Outdoor,2026-06-22,06/25/2026,2026-06-25,SHIPPED,4
WO0000081,West-3,Apparel,2026-06-22,06/23/2026,2026-06-23,shipped,3
WO0000082,West-3,Electronics,2026-06-22,2026-06-23,06/22/2026, Shipped,11
WO0000083,West-3,Electronics,2026-06-22,2026-06-23,2026-06-22,SHIPPED,10
WO0000084,South-4,Outdoor,06/22/2026,06/23/2026,2026-06-23,Shipped,1
WO0000085,Midwest-2,Apparel,2026-06-22,2026-06-25,,Delayed,9
WO0000086,South-4,Office Supplies,06/22/2026,2026-06-25,06/25/2026, Shipped,8
WO0000087,Northeast-1,Home Goods,06/22/2026,2026-06-24,06/23/2026,Shipped,3
WO0000088,South-4,Apparel,2026-06-22,06/25/2026,2026-06-25,Shipped,3
WO0000089,Northeast-1,Outdoor,06/22/2026,06/23/2026,06/27/2026,DELAYED,8
WO0000090,Northeast-1,Electronics,2026-06-22,06/23/2026,06/25/2026,DELAYED,1
WO0000091,West-3,Apparel,06/22/2026,2026-06-24,06/23/2026,shipped,5
WO0000092,South-4,Apparel,2026-06-22,2026-06-25,06/25/2026,shipped,10
WO0000093,West-3,Home Goods,2026-06-22,06/23/2026,2026-06-22,shipped,3
WO0000094,Midwest-2,Home Goods,06/22/2026,06/23/2026,2026-06-22,shipped,3
WO0000095,Northeast-1,Office Supplies,2026-06-22,2026-06-24,06/23/2026,Shipped,3
WO0000096,West-3,Electronics,2026-06-22,2026-06-23,2026-06-23, Shipped,5
WO0000097,West-3,Outdoor,2026-06-22,2026-06-23,06/22/2026, Shipped,10
WO0000098,Midwest-2,Office Supplies,2026-06-22,06/23/2026,2026-06-23,shipped,8
WO0000099,Northeast-1,Office Supplies,06/22/2026,06/25/2026,,Cancelled,4
WO0000100,West-3,Outdoor,2026-06-22,2026-06-25,06/25/2026,SHIPPED,2
WO0000101,South-4,Outdoor,06/22/2026,2026-06-23,2026-06-22, Shipped,1
WO0000102,West-3,Electronics,2026-06-22,2026-06-24,,Delayed,11
WO0000103,West-3,Electronics,06/22/2026,06/24/2026,2026-06-23,shipped,10
WO0000104,Midwest-2,Home Goods,06/22/2026,06/23/2026,06/23/2026, Shipped,5
WO0000105,Northeast-1,Home Goods,2026-06-22,2026-06-24,06/24/2026,shipped,3
WO0000106,South-4,Apparel,2026-06-22,2026-06-23,06/22/2026, Shipped,5
WO0000107,West-3,Apparel,06/22/2026,06/24/2026,06/23/2026,Shipped,8
WO0000108,Midwest-2,Electronics,2026-06-22,06/23/2026,2026-06-23, Shipped,4
WO0000109,South-4,Home Goods,06/22/2026,2026-06-25,06/24/2026, Shipped,6
WO0000110,Midwest-2,Apparel,2026-06-22,06/24/2026,06/23/2026,Shipped,2
WO0000111,Midwest-2,Office Supplies,2026-06-22,2026-06-25,06/25/2026,SHIPPED,6
WO0000112,West-3,Electronics,06/22/2026,2026-06-25,06/25/2026, Shipped,3
WO0000113,Midwest-2,Electronics,2026-06-22,2026-06-25,06/24/2026,shipped,2
WO0000114,South-4,Outdoor,06/22/2026,2026-06-23,2026-06-22,shipped,11
WO0000115,South-4,Home Goods,2026-06-22,2026-06-24,2026-06-23, Shipped,3
WO0000116,South-4,Outdoor,2026-06-22,06/25/2026,06/25/2026,SHIPPED,1
WO0000117,Northeast-1,Home Goods,06/22/2026,06/23/2026,2026-06-22,Shipped,5
WO0000118,West-3,Office Supplies,2026-06-22,2026-06-23,06/22/2026,shipped,6
WO0000119,Midwest-2,Office Supplies,06/22/2026,2026-06-24,,Delayed,9
WO0000120,Midwest-2,Office Supplies,06/22/2026,06/25/2026,2026-06-25,SHIPPED,3
WO0000121,Northeast-1,Home Goods,06/22/2026,06/24/2026,2026-06-23,SHIPPED,10
WO0000122,Northeast-1,Office Supplies,2026-06-22,2026-06-25,2026-06-24, Shipped,7
WO0000123,Midwest-2,Home Goods,2026-06-22,06/24/2026,06/23/2026,Shipped,11
WO0000124,West-3,Outdoor,2026-06-22,06/23/2026,2026-06-23,shipped,6
WO0000125,Midwest-2,Office Supplies,2026-06-22,2026-06-23,2026-06-22,Shipped,7
WO0000126,South-4,Outdoor,2026-06-22,2026-06-23,06/22/2026,SHIPPED,11
WO0000127,Midwest-2,Office Supplies,06/22/2026,2026-06-24,06/23/2026, Shipped,11
WO0000128,Northeast-1,Office Supplies,2026-06-22,2026-06-25,2026-06-24, Shipped,7
WO0000129,Midwest-2,Electronics,2026-06-22,2026-06-23,06/22/2026,SHIPPED,5
WO0000130,Northeast-1,Apparel,06/22/2026,06/25/2026,2026-06-24,SHIPPED,6
WO0000131,Northeast-1,Home Goods,06/22/2026,2026-06-23,2026-06-23, Shipped,2
WO0000132,,Home Goods,06/22/2026,2026-06-23,2026-06-23, Shipped,2
WO0000133,South-4,Home Goods,06/22/2026,06/24/2026,2026-06-23,shipped,11
WO0000134,South-4,Outdoor,2026-06-22,06/25/2026,06/24/2026,shipped,8
WO0000135,Northeast-1,Home Goods,06/22/2026,06/24/2026,06/24/2026, Shipped,2
WO0000136,West-3,Outdoor,2026-06-22,2026-06-23,2026-06-23,Shipped,5
WO0000137,Northeast-1,Apparel,2026-06-22,2026-06-24,,delayed,7
WO0000138,South-4,Office Supplies,2026-06-22,06/23/2026,2026-06-22,SHIPPED,8
WO0000139,Northeast-1,Office Supplies,06/22/2026,2026-06-24,2026-06-23,SHIPPED,10
WO0000140,South-4,Office Supplies,06/23/2026,06/24/2026,2026-06-24,shipped,8
WO0000141,West-3,Electronics,06/23/2026,2026-06-26,2026-06-26,Shipped,11
WO0000142,Midwest-2,Electronics,2026-06-23,2026-06-24,2026-06-23,shipped,5
WO0000143,West-3,Outdoor,06/23/2026,06/25/2026,06/25/2026,Shipped,5
WO0000144,Northeast-1,Electronics,06/23/2026,06/25/2026,06/25/2026, Shipped,7
WO0000145,Northeast-1,Outdoor,2026-06-23,06/26/2026,06/26/2026,shipped,5
WO0000146,Midwest-2,Home Goods,2026-06-23,06/26/2026,2026-06-25,SHIPPED,4
WO0000146,Midwest-2,Home Goods,2026-06-23,06/26/2026,2026-06-25,SHIPPED,4
WO0000147,Midwest-2,Electronics,2026-06-23,06/26/2026,2026-06-26,shipped,4
WO0000148,Midwest-2,Electronics,06/23/2026,06/26/2026,2026-06-25, Shipped,2
WO0000149,Northeast-1,Outdoor,06/23/2026,2026-06-26,2026-06-26,Shipped,8
WO0000150,Northeast-1,Home Goods,2026-06-23,06/26/2026,2026-06-25,shipped,5
WO0000151,Northeast-1,Electronics,06/23/2026,06/26/2026,2026-06-26,Shipped,8
WO0000152,West-3,Home Goods,2026-06-23,06/25/2026,2026-06-24,Shipped,6
WO0000153,Northeast-1,Office Supplies,06/23/2026,2026-06-25,06/25/2026, Shipped,10
WO0000154,West-3,Office Supplies,06/23/2026,06/25/2026,2026-06-24,shipped,10
WO0000155,South-4,Apparel,2026-06-23,2026-06-24,2026-06-23,Shipped,8
WO0000156,Midwest-2,Office Supplies,2026-06-23,2026-06-26,2026-06-25,shipped,1
WO0000157,South-4,Home Goods,06/23/2026,06/24/2026,2026-06-23, Shipped,6
WO0000158,Midwest-2,Home Goods,2026-06-23,06/24/2026,06/24/2026,Shipped,2
WO0000159,Midwest-2,Outdoor,2026-06-23,2026-06-26,06/26/2026,Shipped,4
WO0000160,South-4,Apparel,06/23/2026,2026-06-25,06/25/2026,SHIPPED,4
WO0000161,South-4,Home Goods,06/23/2026,2026-06-24,,Cancelled,6
WO0000162,West-3,Apparel,2026-06-23,2026-06-24,2026-06-26,DELAYED,9
WO0000163,West-3,Outdoor,06/23/2026,06/25/2026,06/25/2026,Shipped,2
WO0000164,South-4,Office Supplies,2026-06-23,06/24/2026,2026-06-24,Shipped,5
WO0000165,Northeast-1,Electronics,06/23/2026,2026-06-26,06/25/2026,Shipped,7
WO0000166,South-4,Office Supplies,06/23/2026,06/25/2026,06/25/2026,shipped,4
WO0000167,Midwest-2,Outdoor,2026-06-23,2026-06-26,2026-06-26, Shipped,6
WO0000168,West-3,Outdoor,2026-06-23,2026-06-26,2026-06-25,shipped,6
WO0000169,South-4,Office Supplies,2026-06-23,2026-06-24,06/23/2026,shipped,4
WO0000170,South-4,Office Supplies,2026-06-23,2026-06-24,06/23/2026,shipped,-1
WO0000171,West-3,Office Supplies,2026-06-23,06/25/2026,06/24/2026, Shipped,2
WO0000172,West-3,Outdoor,06/23/2026,2026-06-24,2026-06-23,Shipped,1
WO0000173,,Outdoor,06/23/2026,2026-06-24,2026-06-23,Shipped,1
WO0000174,Northeast-1,Apparel,06/23/2026,06/26/2026,06/26/2026,shipped,8
WO0000175,West-3,Outdoor,06/23/2026,06/24/2026,2026-06-23,SHIPPED,8
WO0000176,Northeast-1,Office Supplies,2026-06-23,2026-06-25,2026-06-24,Shipped,3
WO0000177,Midwest-2,Electronics,06/23/2026,2026-06-24,06/24/2026,Shipped,2
WO0000178,Northeast-1,Electronics,2026-06-23,06/25/2026,06/25/2026,SHIPPED,5
WO0000179,Midwest-2,Home Goods,2026-06-23,06/24/2026,,Delayed,11
WO0000180,South-4,Office Supplies,06/23/2026,06/24/2026,2026-06-23,shipped,2
WO0000181,West-3,Apparel,06/23/2026,2026-06-26,06/26/2026, Shipped,7
WO0000182,West-3,Electronics,06/23/2026,06/26/2026,06/25/2026,shipped,2
WO0000183,Northeast-1,Outdoor,2026-06-23,06/26/2026,2026-06-26,SHIPPED,4
WO0000184,South-4,Outdoor,2026-06-23,06/26/2026,2026-06-26,SHIPPED,8
WO0000185,Northeast-1,Office Supplies,06/23/2026,2026-06-26,2026-06-26, Shipped,4
WO0000186,Northeast-1,Office Supplies,06/23/2026,06/24/2026,06/24/2026,SHIPPED,1
WO0000187,South-4,Office Supplies,06/23/2026,2026-06-25,06/24/2026, Shipped,4
WO0000188,South-4,Home Goods,2026-06-23,2026-06-24,,delayed,1
WO0000189,Midwest-2,Outdoor,06/23/2026,06/26/2026,06/25/2026,shipped,5
WO0000190,West-3,Office Supplies,2026-06-23,2026-06-24,2026-06-24, Shipped,1
WO0000191,Midwest-2,Office Supplies,2026-06-23,06/25/2026,06/25/2026,SHIPPED,4
WO0000192,Northeast-1,Outdoor,2026-06-23,2026-06-26,2026-06-27,delayed,2
WO0000193,South-4,Home Goods,2026-06-23,2026-06-26,06/25/2026, Shipped,8
WO0000194,South-4,Home Goods,2026-06-23,06/26/2026,2026-06-26,Shipped,9
WO0000195,Midwest-2,Home Goods,06/23/2026,2026-06-24,06/23/2026,Shipped,10
WO0000196,Midwest-2,Home Goods,06/23/2026,06/26/2026,06/27/2026,DELAYED,11
WO0000197,Midwest-2,Home Goods,06/23/2026,06/25/2026,06/25/2026,shipped,10
WO0000198,Northeast-1,Office Supplies,06/23/2026,06/25/2026,06/25/2026,Shipped,6
WO0000199,Northeast-1,Electronics,06/23/2026,2026-06-25,2026-06-25,Shipped,8
WO0000200,Midwest-2,Office Supplies,06/23/2026,2026-06-25,2026-06-25, Shipped,7
WO0000201,Midwest-2,Outdoor,2026-06-23,06/25/2026,2026-06-25,SHIPPED,4
WO0000202,West-3,Office Supplies,06/23/2026,06/25/2026,06/30/2026,DELAYED,6
WO0000203,Northeast-1,Outdoor,06/23/2026,2026-06-24,2026-06-23,SHIPPED,6
WO0000204,Midwest-2,Office Supplies,2026-06-23,06/24/2026,06/23/2026,SHIPPED,10
WO0000205,Midwest-2,Electronics,2026-06-23,2026-06-24,2026-06-24, Shipped,8
WO0000206,West-3,Office Supplies,06/23/2026,2026-06-25,,DELAYED,2
WO0000207,Northeast-1,Apparel,2026-06-23,06/26/2026,2026-06-25, Shipped,9
WO0000208,South-4,Outdoor,06/23/2026,06/26/2026,2026-06-25,SHIPPED,9
WO0000209,South-4,Apparel,06/23/2026,2026-06-25,06/24/2026, Shipped,10
WO0000210,South-4,Apparel,2026-06-23,2026-06-25,06/24/2026,Shipped,7
WO0000211,Midwest-2,Electronics,2026-06-23,06/24/2026,06/23/2026,shipped,7
WO0000212,West-3,Outdoor,2026-06-23,2026-06-26,06/25/2026,Shipped,10
WO0000213,West-3,Home Goods,2026-06-23,06/24/2026,06/23/2026,Shipped,11
WO0000214,West-3,Apparel,06/23/2026,2026-06-26,2026-06-25,shipped,11
WO0000215,South-4,Electronics,2026-06-23,06/24/2026,06/23/2026,shipped,4
WO0000216,South-4,Home Goods,06/23/2026,06/26/2026,,DELAYED,10
WO0000217,South-4,Electronics,06/23/2026,2026-06-24,06/23/2026,Shipped,3
WO0000218,South-4,Outdoor,2026-06-23,06/26/2026,2026-06-26,SHIPPED,10
WO0000219,Midwest-2,Apparel,06/23/2026,06/26/2026,06/25/2026,SHIPPED,7
WO0000220,Midwest-2,Home Goods,06/23/2026,06/25/2026,06/24/2026,shipped,5
WO0000221,Northeast-1,Home Goods,2026-06-23,06/24/2026,2026-06-23,Shipped,1
WO0000222,West-3,Outdoor,2026-06-23,06/26/2026,2026-06-29,DELAYED,6
WO0000223,West-3,Office Supplies,2026-06-23,06/26/2026,06/26/2026,Shipped,4
WO0000224,Midwest-2,Office Supplies,2026-06-23,2026-06-25,06/25/2026,SHIPPED,4
WO0000225,Northeast-1,Outdoor,06/23/2026,2026-06-26,2026-06-25, Shipped,1
WO0000226,Midwest-2,Home Goods,06/23/2026,06/26/2026,2026-06-25,shipped,9
WO0000226,Midwest-2,Home Goods,06/23/2026,06/26/2026,2026-06-25,shipped,9
WO0000227,West-3,Home Goods,2026-06-23,2026-06-24,06/24/2026,Shipped,6
WO0000228,Northeast-1,Electronics,2026-06-23,2026-06-25,06/25/2026,shipped,10
WO0000229,Northeast-1,Electronics,06/23/2026,06/24/2026,2026-06-24,shipped,8
WO0000230,West-3,Outdoor,06/23/2026,2026-06-24,2026-06-24, Shipped,10
WO0000231,Midwest-2,Electronics,2026-06-23,06/24/2026,2026-06-24,SHIPPED,7
WO0000232,West-3,Apparel,06/23/2026,06/24/2026,,delayed,2
WO0000233,Midwest-2,Electronics,2026-06-23,2026-06-26,2026-06-26,shipped,6
WO0000234,Midwest-2,Home Goods,2026-06-23,06/24/2026,2026-06-24,Shipped,1
WO0000235,West-3,Electronics,2026-06-23,2026-06-26,2026-06-26, Shipped,6
WO0000236,Midwest-2,Outdoor,06/23/2026,06/25/2026,2026-06-24,Shipped,7
WO0000237,Midwest-2,Outdoor,06/23/2026,06/25/2026,06/25/2026,SHIPPED,10
WO0000238,Northeast-1,Home Goods,2026-06-23,06/24/2026,2026-06-24,SHIPPED,4
WO0000239,Northeast-1,Outdoor,2026-06-23,2026-06-25,2026-06-24,SHIPPED,4
WO0000240,West-3,Apparel,2026-06-23,2026-06-26,,delayed,11
WO0000241,Midwest-2,Electronics,2026-06-23,06/25/2026,2026-06-25,SHIPPED,6
WO0000242,Midwest-2,Office Supplies,2026-06-23,06/25/2026,06/24/2026, Shipped,2
WO0000243,Midwest-2,Apparel,06/23/2026,2026-06-24,2026-06-24, Shipped,7
WO0000244,Midwest-2,Office Supplies,06/23/2026,06/24/2026,06/24/2026,shipped,11
WO0000245,Midwest-2,Office Supplies,06/23/2026,06/26/2026,,Delayed,11
WO0000246,South-4,Home Goods,06/23/2026,2026-06-26,06/26/2026,SHIPPED,4
WO0000247,,Home Goods,06/23/2026,2026-06-26,06/26/2026,SHIPPED,4
WO0000248,Northeast-1,Apparel,2026-06-23,2026-06-25,2026-06-24,SHIPPED,10
WO0000249,Northeast-1,Outdoor,06/23/2026,2026-06-26,06/25/2026,SHIPPED,3
WO0000250,South-4,Outdoor,2026-06-23,2026-06-26,06/25/2026,SHIPPED,1
WO0000251,South-4,Office Supplies,2026-06-23,06/25/2026,2026-06-25,shipped,10
WO0000252,West-3,Home Goods,2026-06-23,2026-06-25,,DELAYED,4
WO0000253,Northeast-1,Electronics,06/23/2026,2026-06-24,2026-06-23,Shipped,8
WO0000254,Northeast-1,Office Supplies,2026-06-23,2026-06-24,06/23/2026,shipped,9
WO0000255,South-4,Outdoor,06/23/2026,2026-06-24,2026-06-24,SHIPPED,2
WO0000256,West-3,Outdoor,2026-06-23,2026-06-24,06/24/2026,Shipped,9
WO0000257,Midwest-2,Outdoor,2026-06-23,06/26/2026,,DELAYED,4
WO0000258,South-4,Outdoor,2026-06-23,2026-06-25,06/25/2026,SHIPPED,3
WO0000259,Northeast-1,Outdoor,06/23/2026,06/26/2026,,Canceled,9
WO0000260,South-4,Home Goods,06/23/2026,06/26/2026,06/25/2026,shipped,7
WO0000261,South-4,Outdoor,06/23/2026,2026-06-26,06/26/2026,shipped,8
WO0000262,West-3,Apparel,06/23/2026,2026-06-24,2026-06-24,Shipped,1
WO0000263,South-4,Apparel,2026-06-23,2026-06-25,06/25/2026,shipped,11
WO0000264,,Apparel,2026-06-23,2026-06-25,06/25/2026,shipped,11
WO0000265,Northeast-1,Outdoor,2026-06-23,06/26/2026,2026-06-26,SHIPPED,6
WO0000266,Midwest-2,Home Goods,06/23/2026,06/24/2026,2026-06-24,SHIPPED,9
WO0000267,Midwest-2,Outdoor,2026-06-24,2026-06-27,2026-06-27,Shipped,5
WO0000268,Northeast-1,Apparel,06/24/2026,06/25/2026,06/24/2026,shipped,11
WO0000269,West-3,Apparel,2026-06-24,06/26/2026,06/26/2026,Shipped,4
WO0000270,Midwest-2,Office Supplies,06/24/2026,2026-06-27,07/01/2026,delayed,11
WO0000271,South-4,Electronics,06/24/2026,2026-06-27,06/27/2026, Shipped,11
WO0000272,Northeast-1,Office Supplies,06/24/2026,06/26/2026,06/25/2026,Shipped,2
WO0000273,South-4,Electronics,2026-06-24,06/27/2026,06/27/2026,Shipped,3
WO0000274,South-4,Office Supplies,06/24/2026,2026-06-26,2026-06-25,Shipped,10
WO0000275,Midwest-2,Electronics,06/24/2026,2026-06-25,06/25/2026, Shipped,10
WO0000276,South-4,Apparel,2026-06-24,2026-06-27,2026-06-27, Shipped,5
WO0000277,South-4,Apparel,06/24/2026,06/27/2026,06/27/2026,Shipped,8
WO0000278,Midwest-2,Electronics,2026-06-24,06/25/2026,06/25/2026,Shipped,7
WO0000279,Midwest-2,Office Supplies,2026-06-24,06/27/2026,06/27/2026,SHIPPED,8
WO0000280,South-4,Electronics,06/24/2026,2026-06-26,,delayed,10
WO0000281,West-3,Home Goods,06/24/2026,2026-06-25,06/24/2026,shipped,6
WO0000282,Northeast-1,Outdoor,2026-06-24,2026-06-25,06/24/2026, Shipped,11
WO0000283,Midwest-2,Apparel,06/24/2026,2026-06-27,2026-06-26,SHIPPED,2
WO0000284,West-3,Office Supplies,06/24/2026,2026-06-25,06/25/2026,shipped,5
WO0000285,West-3,Outdoor,06/24/2026,06/25/2026,06/25/2026,SHIPPED,9
WO0000286,South-4,Office Supplies,06/24/2026,2026-06-26,2026-06-29,Delayed,9
WO0000287,West-3,Home Goods,2026-06-24,06/26/2026,2026-06-25,SHIPPED,3
WO0000288,Northeast-1,Outdoor,2026-06-24,2026-06-26,06/25/2026, Shipped,10
WO0000289,South-4,Outdoor,2026-06-24,06/27/2026,06/26/2026,shipped,1
WO0000290,Midwest-2,Outdoor,2026-06-24,06/25/2026,2026-06-29,DELAYED,8
WO0000291,South-4,Apparel,06/24/2026,06/25/2026,2026-06-24,shipped,3
WO0000292,South-4,Home Goods,2026-06-24,06/25/2026,06/24/2026,SHIPPED,5
WO0000293,South-4,Outdoor,2026-06-24,2026-06-27,06/26/2026,shipped,11
WO0000294,Northeast-1,Outdoor,2026-06-24,2026-06-27,2026-06-27,shipped,3
WO0000295,South-4,Outdoor,06/24/2026,06/26/2026,06/26/2026,shipped,8
WO0000296,South-4,Apparel,2026-06-24,2026-06-26,06/26/2026, Shipped,11
WO0000297,West-3,Apparel,06/24/2026,06/25/2026,06/24/2026,SHIPPED,4
WO0000298,South-4,Apparel,2026-06-24,2026-06-25,06/25/2026, Shipped,1
WO0000299,South-4,Office Supplies,06/24/2026,2026-06-26,2026-06-26,Shipped,7
WO0000300,Northeast-1,Home Goods,2026-06-24,2026-06-26,06/25/2026,shipped,1
WO0000301,Midwest-2,Office Supplies,2026-06-24,06/26/2026,06/26/2026,shipped,2
WO0000302,Northeast-1,Apparel,2026-06-24,06/27/2026,06/27/2026,Shipped,6
WO0000302,Northeast-1,Apparel,2026-06-24,06/27/2026,06/27/2026,Shipped,6
WO0000303,Northeast-1,Outdoor,2026-06-24,06/26/2026,06/25/2026, Shipped,11
WO0000304,West-3,Apparel,06/24/2026,06/25/2026,06/25/2026,Shipped,9
WO0000305,West-3,Home Goods,06/24/2026,2026-06-26,2026-06-26,Shipped,6
