customer_id,signup_month,contract_type,plan_tier,addon_count,monthly_charge,autopay,signup_channel,region,tenure_months,months_observable,avg_engagement_score,support_tickets_90d,churned
CUST-00062,2024-03,Two year,Basic,2,30.38,No,Referral,Northeast,21,21,52.6,0,No
CUST-00063,2024-01,Month-to-month,Basic,0,16.08,No,Organic,West,23,23,88.5,0,No
CUST-00064,2025-11,Month-to-month,Basic,4,47.3,Yes,Paid Search,South,1,1,56.8,0,No
CUST-00065,2025-10,Month-to-month,Standard,0,33.53,Yes,Referral,Midwest,2,2,100.0,0,No
CUST-00066,2024-09,One year,Basic,1,21.13,No,Organic,Midwest,13,15,42.5,0,Yes
CUST-00067,2025-02,Month-to-month,Premium,0,66.26,No,Referral,West,3,10,58.8,1,Yes
CUST-00068,2024-11,Month-to-month,Standard,1,45.28,No,Paid Search,West,2,13,40.7,0,Yes
CUST-00069,2023-08,Month-to-month,Basic,2,28.04,No,Paid Search,South,3,28,59.5,0,Yes
CUST-00070,2025-06,Month-to-month,Premium,2,83.14,Yes,Paid Search,Northeast,6,6,26.1,2,No
CUST-00071,2024-08,Month-to-month,Premium,3,90.01,No,Organic,Northeast,16,16,49.8,1,No
CUST-00072,2025-02,Month-to-month,Standard,0,32.78,No,Organic,South,10,10,43.0,1,No
CUST-00073,2025-03,Month-to-month,Basic,2,29.92,No,Organic,Midwest,9,9,58.0,0,No
CUST-00074,2023-12,Month-to-month,Standard,1,43.43,No,Paid Search,South,24,24,74.5,0,No
CUST-00075,2025-07,Two year,Basic,0,12.75,Yes,Referral,Midwest,5,5,26.4,0,No
CUST-00076,2025-02,Month-to-month,Standard,0,37.13,No,Paid Search,Midwest,2,10,99.8,0,Yes
CUST-00077,2025-08,One year,Basic,0,12.51,No,Organic,Northeast,4,4,59.3,0,No
CUST-00078,2025-07,Month-to-month,Standard,0,32.3,Yes,Sales-Assisted,South,5,5,30.7,2,No
CUST-00079,2025-03,Month-to-month,Standard,1,43.97,Yes,Paid Search,Northeast,2,9,62.0,1,Yes
CUST-00080,2024-03,One year,Standard,3,60.95,Yes,Paid Search,Northeast,21,21,72.0,0,No
CUST-00081,2024-07,Month-to-month,Premium,0,65.03,No,Referral,Northeast,17,17,60.7,1,No
CUST-00082,2024-10,Two year,Basic,2,33.16,Yes,Paid Search,Northeast,14,14,41.1,1,No
CUST-00083,2025-07,Two year,Basic,0,17.16,Yes,Referral,West,5,5,54.8,2,No
CUST-00084,2023-12,Two year,Basic,0,13.24,No,Paid Search,West,24,24,60.2,0,No
CUST-00085,2023-12,One year,Basic,0,14.63,Yes,Referral,Midwest,24,24,54.5,0,No
CUST-00086,2025-05,Two year,Premium,1,70.42,Yes,Paid Search,Midwest,7,7,88.5,0,No
CUST-00087,2025-10,One year,Standard,0,34.25,Yes,Organic,West,2,2,95.5,0,No
CUST-00088,2025-02,Month-to-month,Standard,0,35.19,Yes,Referral,West,10,10,89.0,0,No
CUST-00089,2025-07,Month-to-month,Basic,1,22.17,No,Organic,West,5,5,34.3,0,No
CUST-00090,2023-12,Month-to-month,Premium,1,73.88,Yes,Referral,Northeast,24,24,83.7,0,No
CUST-00091,2024-08,Month-to-month,Standard,0,38.37,Yes,Paid Search,Northeast,16,16,55.5,1,No
CUST-00092,2024-09,Month-to-month,Standard,1,44.12,Yes,Paid Search,South,15,15,78.7,0,No
CUST-00093,2025-03,Month-to-month,Premium,0,66.85,No,Organic,West,3,9,51.5,1,Yes
CUST-00094,2024-09,Month-to-month,Basic,0,18.11,Yes,Paid Search,West,15,15,69.6,0,No
CUST-00095,2023-07,Month-to-month,Standard,0,35.45,Yes,Referral,Northeast,28,29,61.0,1,Yes
CUST-00096,2025-05,One year,Standard,0,35.18,Yes,Referral,West,7,7,39.4,1,No
CUST-00097,2024-01,Two year,Premium,0,66.42,Yes,Paid Search,Midwest,23,23,70.3,0,No
CUST-00098,2025-11,One year,Standard,4,65.72,No,Paid Search,West,1,1,51.8,1,No
CUST-00099,2025-02,Month-to-month,Basic,2,31.15,No,Paid Search,Midwest,5,10,73.1,0,Yes
CUST-00100,2023-08,Month-to-month,Premium,0,68.84,Yes,Paid Search,West,1,28,60.2,0,Yes
CUST-00101,2023-10,One year,Standard,0,35.88,Yes,Paid Search,Midwest,26,26,36.9,0,No
CUST-00102,2025-09,Month-to-month,Standard,1,42.8,Yes,Organic,South,3,3,65.7,0,No
CUST-00103,2023-11,One year,Basic,1,22.57,Yes,Paid Search,Northeast,25,25,76.8,0,No
CUST-00104,2023-11,Month-to-month,Basic,1,21.57,No,Sales-Assisted,West,2,25,24.5,1,Yes
CUST-00105,2024-10,Month-to-month,Standard,2,52.28,No,Paid Search,South,14,14,48.3,0,No
CUST-00106,2025-01,Month-to-month,Premium,0,63.59,Yes,Sales-Assisted,South,3,11,79.9,0,Yes
CUST-00107,2023-07,Month-to-month,Standard,0,34.61,No,Paid Search,South,8,29,53.5,4,Yes
CUST-00108,2023-08,Month-to-month,Basic,1,24.77,No,Paid Search,Northeast,28,28,77.6,0,No
CUST-00109,2024-04,One year,Premium,0,62.32,Yes,Sales-Assisted,West,6,20,57.8,0,Yes
CUST-00110,2024-12,Month-to-month,Basic,2,30.29,Yes,Organic,South,12,12,86.8,0,No
CUST-00111,2025-05,Two year,Standard,1,44.68,No,Sales-Assisted,Northeast,7,7,32.7,1,Yes
CUST-00112,2023-08,Month-to-month,Premium,1,71.48,Yes,Sales-Assisted,West,2,28,92.2,0,Yes
CUST-00113,2025-04,One year,Standard,1,39.78,No,Paid Search,West,8,8,65.1,0,No
CUST-00114,2024-07,Month-to-month,Standard,0,36.67,No,Paid Search,West,7,17,26.2,0,Yes
CUST-00115,2024-04,Month-to-month,Basic,1,22.86,Yes,Referral,Northeast,20,20,82.7,0,No
CUST-00116,2025-05,Month-to-month,Standard,0,34.29,Yes,Organic,West,7,7,47.7,0,No
CUST-00117,2025-02,Month-to-month,Basic,1,20.63,Yes,Paid Search,South,5,10,98.8,0,Yes
CUST-00118,2024-02,One year,Basic,2,31.64,Yes,Referral,Midwest,22,22,50.6,1,No
CUST-00119,2025-06,Month-to-month,Basic,0,14.07,Yes,Organic,South,6,6,83.5,0,No
CUST-00120,2024-04,Month-to-month,Premium,0,69.03,No,Organic,West,6,20,37.5,1,Yes
CUST-00121,2023-08,One year,Standard,1,42.4,Yes,Paid Search,South,28,28,50.2,1,No
CUST-00122,2024-04,Month-to-month,Basic,0,17.19,No,Paid Search,South,20,20,55.8,0,No
CUST-00123,2024-05,Month-to-month,Standard,1,46.67,Yes,Referral,South,8,19,64.3,0,Yes
CUST-00124,2024-10,One year,Premium,1,72.05,Yes,Referral,South,14,14,33.9,2,No
CUST-00125,2023-07,One year,Basic,1,20.74,Yes,Sales-Assisted,West,3,29,44.0,1,Yes
CUST-00126,2025-05,Month-to-month,Basic,1,22.58,No,Referral,West,1,7,44.6,0,Yes
CUST-00127,2025-01,Month-to-month,Basic,0,14.14,Yes,Paid Search,West,11,11,54.2,0,No
CUST-00128,2024-05,Month-to-month,Standard,0,33.3,No,Paid Search,West,9,19,94.1,0,Yes
CUST-00129,2024-05,Month-to-month,Standard,4,67.54,Yes,Referral,Midwest,5,19,69.1,1,Yes
CUST-00130,2025-08,Month-to-month,Premium,1,73.98,Yes,Referral,South,4,4,45.3,0,No
CUST-00131,2025-07,Month-to-month,Standard,2,47.57,No,Sales-Assisted,West,5,5,67.3,0,No
CUST-00132,2024-03,Month-to-month,Standard,2,49.59,Yes,Organic,Northeast,21,21,83.2,0,No
CUST-00133,2023-11,Month-to-month,Premium,2,83.37,No,Organic,West,10,25,82.3,0,Yes
CUST-00134,2024-05,Month-to-month,Standard,2,50.72,No,Paid Search,Northeast,11,19,55.8,1,Yes
CUST-00135,2023-08,Month-to-month,Premium,1,71.31,No,Organic,Midwest,10,28,57.2,0,Yes
CUST-00136,2025-01,Month-to-month,Standard,1,44.07,Yes,Paid Search,Northeast,8,11,48.2,0,Yes
CUST-00137,2025-02,Two year,Premium,1,73.66,No,Paid Search,Midwest,10,10,91.1,0,No
CUST-00138,2023-12,Month-to-month,Basic,1,19.87,No,Organic,West,24,24,68.6,0,No
CUST-00139,2025-10,Month-to-month,Standard,0,35.81,Yes,Paid Search,South,2,2,73.9,0,No
CUST-00140,2025-06,Month-to-month,Basic,3,39.81,Yes,Organic,Midwest,3,6,77.0,0,Yes
CUST-00141,2025-06,One year,Standard,1,40.13,Yes,Paid Search,South,6,6,11.2,2,No
CUST-00142,2024-12,Month-to-month,Basic,3,40.18,Yes,Referral,Midwest,12,12,71.9,0,No
CUST-00143,2025-07,Month-to-month,Basic,4,46.53,No,Paid Search,South,5,5,95.1,0,No
CUST-00144,2023-12,One year,Standard,1,43.6,Yes,Sales-Assisted,South,24,24,52.0,1,No
CUST-00145,2023-11,Month-to-month,Standard,0,34.8,No,Organic,Midwest,25,25,53.2,1,No
CUST-00146,2024-12,One year,Basic,1,23.38,Yes,Organic,South,12,12,56.0,1,No
CUST-00147,2025-11,One year,Premium,3,86.32,Yes,Paid Search,Northeast,1,1,88.1,0,No
CUST-00148,2024-03,Month-to-month,Basic,2,32.21,Yes,Paid Search,Midwest,4,21,98.8,0,Yes
CUST-00149,2025-08,Two year,Premium,0,61.38,No,Organic,South,4,4,72.4,0,No
CUST-00150,2024-06,Month-to-month,Standard,1,43.84,Yes,Organic,West,18,18,52.1,0,No
CUST-00151,2025-07,Month-to-month,Standard,0,36.28,Yes,Sales-Assisted,Midwest,5,5,83.3,0,No
CUST-00152,2023-08,One year,Premium,2,82.44,Yes,Paid Search,South,28,28,54.6,1,No
CUST-00153,2024-04,Month-to-month,Basic,2,34.72,No,Paid Search,South,15,20,69.5,0,Yes
CUST-00154,2023-07,Month-to-month,Premium,0,65.91,No,Referral,Northeast,29,29,83.1,0,No
CUST-00155,2024-06,Two year,Premium,0,61.77,Yes,Paid Search,Midwest,18,18,56.3,1,No
CUST-00156,2024-03,One year,Standard,2,46.36,No,Paid Search,Northeast,12,21,47.9,2,Yes
CUST-00157,2025-01,Month-to-month,Standard,0,36.59,No,Sales-Assisted,West,11,11,74.5,1,Yes
CUST-00158,2023-12,One year,Standard,0,36.72,Yes,Paid Search,West,24,24,80.4,0,No
CUST-00159,2025-08,Month-to-month,Basic,1,20.98,Yes,Referral,South,4,4,57.4,0,No
CUST-00160,2025-07,Month-to-month,Standard,2,51.22,Yes,Organic,Northeast,4,5,66.9,0,Yes
CUST-00161,2025-01,Two year,Basic,1,21.37,Yes,Organic,Northeast,11,11,67.4,0,No
CUST-00162,2024-03,Month-to-month,Standard,1,41.05,No,Organic,West,3,21,24.0,1,Yes
CUST-00163,2024-09,Month-to-month,Basic,3,36.82,Yes,Referral,West,15,15,95.9,0,No
CUST-00164,2023-11,Two year,Standard,0,35.38,Yes,Referral,South,21,25,61.8,0,Yes
CUST-00165,2023-08,Month-to-month,Standard,2,52.54,Yes,Paid Search,Midwest,14,28,87.4,0,Yes
CUST-00166,2024-12,Month-to-month,Premium,1,73.07,No,Referral,West,4,12,78.8,0,Yes
CUST-00167,2024-11,Month-to-month,Standard,2,48.81,Yes,Organic,West,13,13,81.3,0,Yes
CUST-00168,2024-07,Month-to-month,Premium,2,84.17,No,Referral,South,4,17,41.9,0,Yes
CUST-00169,2024-05,Month-to-month,Standard,0,33.14,Yes,Organic,West,19,19,64.0,3,No
CUST-00170,2024-10,Month-to-month,Basic,0,11.18,Yes,Sales-Assisted,Northeast,2,14,82.5,0,Yes
CUST-00171,2024-06,Month-to-month,Premium,1,74.33,Yes,Paid Search,Midwest,1,18,66.1,0,Yes
CUST-00172,2023-08,One year,Premium,0,64.15,Yes,Sales-Assisted,Northeast,28,28,44.6,0,No
CUST-00173,2024-02,Month-to-month,Basic,2,32.26,Yes,Paid Search,South,18,22,62.8,0,Yes
CUST-00174,2025-02,One year,Standard,1,44.28,Yes,Paid Search,West,10,10,81.7,0,No
CUST-00175,2024-11,Month-to-month,Standard,0,34.68,Yes,Sales-Assisted,Northeast,13,13,62.7,1,No
CUST-00176,2024-12,Month-to-month,Standard,2,52.62,No,Organic,Midwest,4,12,48.4,0,Yes
CUST-00177,2025-07,Month-to-month,Standard,1,43.91,Yes,Sales-Assisted,Midwest,5,5,77.6,0,No
CUST-00178,2025-11,One year,Standard,3,59.45,No,Organic,South,1,1,68.3,0,No
CUST-00179,2024-01,One year,Standard,0,33.82,No,Sales-Assisted,South,23,23,49.1,0,No
CUST-00180,2024-11,One year,Premium,4,95.71,No,Paid Search,South,13,13,52.1,0,No
CUST-00181,2025-01,Month-to-month,Basic,0,16.38,Yes,Organic,South,1,11,81.2,0,Yes
CUST-00182,2024-05,Month-to-month,Standard,1,44.08,Yes,Paid Search,West,5,19,48.3,0,Yes
CUST-00183,2024-07,Month-to-month,Standard,2,48.76,Yes,Paid Search,Midwest,3,17,45.9,2,Yes
CUST-00184,2023-08,Month-to-month,Basic,1,24.73,Yes,Organic,West,8,28,98.8,0,Yes
CUST-00185,2024-06,Month-to-month,Basic,2,29.42,Yes,Referral,West,12,18,69.1,0,Yes
CUST-00186,2023-09,Month-to-month,Basic,0,14.55,No,Paid Search,Midwest,4,27,66.5,0,Yes
CUST-00187,2024-07,One year,Premium,3,90.6,Yes,Organic,Northeast,17,17,69.4,0,No
CUST-00188,2025-02,Month-to-month,Standard,0,34.23,No,Organic,West,10,10,83.2,0,No
CUST-00189,2025-02,One year,Standard,0,36.49,Yes,Paid Search,Northeast,8,10,44.7,0,Yes
CUST-00190,2023-07,Month-to-month,Basic,2,30.68,Yes,Paid Search,West,11,29,77.4,0,Yes
CUST-00191,2024-07,Month-to-month,Basic,1,24.22,No,Organic,South,17,17,91.0,0,No
CUST-00192,2025-06,One year,Premium,0,65.16,Yes,Paid Search,South,6,6,73.2,0,No
CUST-00193,2023-11,One year,Basic,0,15.17,Yes,Sales-Assisted,West,25,25,57.3,0,No
CUST-00194,2023-12,Month-to-month,Basic,1,21.43,No,Organic,South,13,24,72.9,0,Yes
CUST-00195,2025-11,One year,Standard,0,33.48,No,Sales-Assisted,Northeast,1,1,6.6,0,No
CUST-00196,2025-07,Month-to-month,Basic,0,15.99,Yes,Organic,West,5,5,78.4,0,No
CUST-00197,2024-03,Month-to-month,Premium,2,77.4,No,Referral,South,13,21,49.7,0,Yes
CUST-00198,2024-12,Month-to-month,Basic,0,16.63,No,Organic,Northeast,12,12,54.8,0,No
CUST-00199,2025-02,Month-to-month,Standard,2,51.42,No,Referral,Midwest,10,10,46.9,0,No
CUST-00200,2025-09,Month-to-month,Premium,1,70.68,Yes,Referral,West,3,3,69.4,0,Yes
CUST-00201,2025-06,Month-to-month,Premium,1,77.6,Yes,Sales-Assisted,Midwest,6,6,79.5,0,No
CUST-00202,2023-11,One year,Standard,2,52.4,Yes,Organic,South,25,25,56.5,0,No
CUST-00203,2023-11,One year,Basic,0,13.59,Yes,Organic,South,10,25,93.0,0,Yes
CUST-00204,2023-11,Month-to-month,Standard,0,33.84,No,Paid Search,West,3,25,29.2,1,Yes
CUST-00205,2024-07,Month-to-month,Basic,1,27.18,No,Sales-Assisted,West,1,17,79.0,1,Yes
CUST-00206,2025-07,Month-to-month,Basic,0,14.35,Yes,Referral,West,4,5,68.6,0,Yes
CUST-00207,2025-02,One year,Premium,2,84.16,Yes,Referral,Northeast,10,10,67.4,0,No
CUST-00208,2024-08,Two year,Premium,3,88.33,Yes,Paid Search,Midwest,16,16,53.8,1,No
CUST-00209,2023-07,Month-to-month,Premium,1,72.17,No,Paid Search,Northeast,1,29,63.6,0,Yes
CUST-00210,2025-04,Month-to-month,Standard,1,44.78,Yes,Referral,West,8,8,92.6,0,No
CUST-00211,2024-08,Month-to-month,Basic,1,25.94,Yes,Organic,West,16,16,74.6,0,No
CUST-00212,2024-09,Month-to-month,Premium,1,75.82,Yes,Organic,South,15,15,68.7,0,No
CUST-00213,2024-09,One year,Standard,1,42.3,Yes,Organic,West,15,15,52.1,0,No
CUST-00214,2024-07,One year,Standard,1,43.31,Yes,Sales-Assisted,South,17,17,75.0,0,No
CUST-00215,2024-03,One year,Premium,1,72.08,Yes,Referral,West,21,21,65.5,0,No
CUST-00216,2025-08,One year,Premium,1,71.43,Yes,Referral,Northeast,4,4,34.9,1,Yes
CUST-00217,2023-07,Month-to-month,Basic,1,24.32,Yes,Organic,South,1,29,57.8,0,Yes
CUST-00218,2023-10,Month-to-month,Basic,0,15.09,Yes,Paid Search,Midwest,26,26,59.8,1,No
CUST-00219,2024-01,Month-to-month,Standard,2,51.84,No,Organic,South,4,23,51.6,0,Yes
CUST-00220,2025-03,Month-to-month,Standard,1,42.8,Yes,Organic,West,9,9,82.0,0,No
CUST-00221,2024-11,Two year,Standard,2,47.58,Yes,Organic,Midwest,13,13,64.1,0,No
CUST-00222,2024-11,One year,Standard,1,38.43,Yes,Paid Search,Northeast,13,13,63.9,1,No
CUST-00223,2025-03,One year,Standard,0,34.1,Yes,Paid Search,West,9,9,23.0,2,No
CUST-00224,2025-10,Month-to-month,Standard,0,33.76,Yes,Sales-Assisted,South,2,2,25.1,1,No
CUST-00225,2024-02,One year,Standard,1,46.43,Yes,Referral,South,22,22,92.7,0,No
CUST-00226,2025-11,Two year,Basic,0,15.03,Yes,Sales-Assisted,Northeast,1,1,37.1,0,No
CUST-00227,2024-01,Month-to-month,Premium,0,64.46,No,Paid Search,Midwest,10,23,68.7,1,Yes
CUST-00228,2025-06,Month-to-month,Standard,0,40.07,Yes,Paid Search,West,6,6,69.6,0,No
CUST-00229,2024-05,Two year,Basic,3,41.88,Yes,Referral,South,19,19,52.3,0,No
CUST-00230,2025-02,Month-to-month,Premium,2,83.42,No,Organic,Northeast,10,10,72.0,0,No
CUST-00231,2025-05,One year,Basic,3,38.99,Yes,Referral,South,7,7,71.5,0,No
CUST-00232,2023-09,Month-to-month,Standard,1,42.52,Yes,Organic,South,8,27,56.2,0,Yes
CUST-00233,2024-10,Month-to-month,Standard,2,52.86,No,Organic,Midwest,5,14,74.4,0,Yes
CUST-00234,2023-10,Two year,Standard,0,34.65,Yes,Paid Search,Midwest,26,26,71.8,0,No
CUST-00235,2025-06,Month-to-month,Basic,0,16.46,Yes,Organic,Midwest,1,6,58.3,0,Yes
CUST-00236,2024-10,Two year,Standard,1,43.52,Yes,Organic,South,14,14,71.0,0,No
CUST-00237,2025-01,Month-to-month,Basic,2,28.82,Yes,Referral,Northeast,11,11,52.0,0,No
CUST-00238,2024-10,Month-to-month,Standard,2,53.1,Yes,Paid Search,South,8,14,64.3,0,Yes
CUST-00239,2025-11,Two year,Basic,2,33.04,Yes,Referral,Northeast,1,1,68.0,0,No
CUST-00240,2024-04,Month-to-month,Basic,2,27.24,Yes,Organic,West,3,20,72.2,0,Yes
CUST-00241,2025-02,Month-to-month,Standard,1,40.97,Yes,Organic,Northeast,10,10,84.1,0,No
CUST-00242,2023-11,One year,Standard,0,34.39,Yes,Sales-Assisted,West,25,25,68.9,0,No
CUST-00243,2025-05,One year,Basic,1,20.11,Yes,Paid Search,Midwest,7,7,96.7,0,No
CUST-00244,2025-02,Month-to-month,Basic,1,23.63,Yes,Paid Search,Northeast,10,10,42.3,1,No
CUST-00245,2025-10,Month-to-month,Premium,0,67.77,No,Organic,South,2,2,53.3,0,No
CUST-00246,2023-12,Month-to-month,Basic,0,15.87,No,Organic,South,2,24,89.4,0,Yes
CUST-00247,2024-08,Month-to-month,Basic,3,37.31,No,Paid Search,Northeast,16,16,50.7,0,Yes
CUST-00248,2024-12,Month-to-month,Standard,1,45.99,Yes,Organic,Northeast,12,12,50.4,0,No
CUST-00249,2023-09,Month-to-month,Standard,1,43.8,No,Organic,West,21,27,76.6,0,Yes
CUST-00250,2024-06,Month-to-month,Standard,2,53.13,No,Paid Search,Midwest,1,18,81.4,0,Yes
CUST-00251,2023-08,Month-to-month,Standard,1,42.48,Yes,Sales-Assisted,South,28,28,65.8,0,No
CUST-00252,2024-02,One year,Premium,2,81.29,Yes,Paid Search,Northeast,2,22,72.9,0,Yes
CUST-00253,2024-07,Month-to-month,Basic,0,18.06,No,Organic,Midwest,17,17,75.3,0,No
CUST-00254,2024-09,Two year,Basic,1,22.97,Yes,Organic,Northeast,15,15,61.7,0,No
CUST-00255,2025-06,One year,Standard,2,53.86,No,Referral,South,6,6,52.2,1,No
CUST-00256,2024-03,One year,Basic,0,12.13,No,Organic,Northeast,21,21,31.7,1,No
CUST-00257,2024-01,Month-to-month,Standard,1,46.41,Yes,Organic,Midwest,6,23,62.2,0,Yes
CUST-00258,2024-03,Month-to-month,Standard,2,51.98,No,Referral,West,1,21,38.5,0,Yes
CUST-00259,2024-12,One year,Basic,1,22.61,Yes,Sales-Assisted,West,12,12,57.4,2,No
CUST-00260,2025-11,Month-to-month,Basic,2,31.02,No,Paid Search,West,1,1,90.7,0,No
CUST-00261,2024-02,One year,Standard,0,32.34,Yes,Organic,Midwest,22,22,47.0,0,No
CUST-00262,2025-10,One year,Basic,1,23.33,Yes,Paid Search,South,2,2,62.3,0,No
CUST-00263,2023-12,One year,Standard,1,44.28,Yes,Paid Search,South,24,24,68.4,0,No
CUST-00264,2025-07,One year,Basic,0,15.12,Yes,Sales-Assisted,South,5,5,53.4,0,No
CUST-00265,2025-03,Month-to-month,Standard,1,44.25,Yes,Paid Search,Northeast,1,9,80.2,0,Yes
