ticket_id,month,category,issue,self_service_eligible,resolution_minutes
KB-00122,3,Password Reset,Forgot network password,Y,4.4
KB-00123,3,Password Reset,Forgot network password,Y,6.6
KB-00124,3,Password Reset,Forgot network password,Y,3.7
KB-00125,3,Password Reset,Forgot network password,Y,4.0
KB-00126,3,Password Reset,Forgot network password,Y,5.3
KB-00127,3,Password Reset,Forgot network password,Y,6.1
KB-00128,3,Password Reset,Forgot network password,Y,5.2
KB-00129,3,Password Reset,Forgot network password,Y,4.8
KB-00130,3,Password Reset,Forgot network password,Y,2.5
KB-00131,3,Password Reset,Forgot network password,Y,3.7
KB-00132,3,Password Reset,Forgot network password,Y,3.8
KB-00133,3,Password Reset,Forgot network password,Y,3.9
KB-00134,3,Password Reset,Forgot network password,Y,5.2
KB-00135,3,Password Reset,Forgot network password,Y,4.1
KB-00136,3,Password Reset,Forgot network password,Y,5.4
KB-00137,3,Password Reset,Forgot network password,Y,4.6
KB-00138,3,Password Reset,Forgot network password,Y,4.1
KB-00139,3,Password Reset,Forgot network password,Y,4.6
KB-00140,3,Password Reset,Forgot network password,Y,5.0
KB-00141,3,Password Reset,Forgot network password,Y,5.5
KB-00142,3,Password Reset,Forgot network password,Y,4.0
KB-00143,3,Password Reset,Forgot network password,Y,4.2
KB-00144,3,Password Reset,Forgot network password,Y,3.0
KB-00145,3,Password Reset,Forgot network password,Y,6.3
KB-00146,3,Password Reset,Forgot network password,Y,6.1
KB-00147,3,Password Reset,Forgot network password,Y,4.3
KB-00148,3,Password Reset,Forgot network password,Y,4.0
KB-00149,3,Password Reset,Forgot network password,Y,3.1
KB-00150,3,Password Reset,Forgot network password,Y,4.7
KB-00151,3,Password Reset,Forgot network password,Y,4.7
KB-00152,3,Password Reset,Forgot network password,Y,7.0
KB-00153,3,Password Reset,Forgot network password,Y,4.8
KB-00154,3,Password Reset,Forgot network password,Y,3.6
KB-00155,3,Password Reset,Forgot network password,Y,2.0
KB-00156,3,Password Reset,Forgot network password,Y,6.1
KB-00157,3,Password Reset,Forgot network password,Y,4.7
KB-00158,3,Password Reset,Forgot network password,Y,2.7
KB-00159,3,Password Reset,Forgot network password,Y,4.7
KB-00160,3,Password Reset,Forgot network password,Y,2.7
KB-00161,3,Password Reset,Forgot network password,Y,8.4
KB-00162,3,Password Reset,Forgot network password,Y,5.8
KB-00163,3,Password Reset,Forgot network password,Y,5.1
KB-00164,3,Password Reset,Forgot network password,Y,4.3
KB-00165,3,Password Reset,Forgot network password,Y,2.1
KB-00166,3,Password Reset,Forgot network password,Y,4.4
KB-00167,3,Password Reset,Forgot network password,Y,2.8
KB-00168,3,Password Reset,Forgot network password,Y,5.2
KB-00169,3,Password Reset,Forgot network password,Y,2.1
KB-00170,4,Password Reset,Forgot network password,Y,5.9
KB-00171,4,Password Reset,Forgot network password,Y,6.3
KB-00172,4,Password Reset,Forgot network password,Y,3.2
KB-00173,4,Password Reset,Forgot network password,Y,2.8
KB-00174,4,Password Reset,Forgot network password,Y,5.5
KB-00175,4,Password Reset,Forgot network password,Y,5.5
KB-00176,4,Password Reset,Forgot network password,Y,3.4
KB-00177,4,Password Reset,Forgot network password,Y,3.7
KB-00178,4,Password Reset,Forgot network password,Y,3.7
KB-00179,4,Password Reset,Forgot network password,Y,3.2
KB-00180,4,Password Reset,Forgot network password,Y,3.7
KB-00181,4,Password Reset,Forgot network password,Y,5.9
KB-00182,4,Password Reset,Forgot network password,Y,5.3
KB-00183,4,Password Reset,Forgot network password,Y,6.8
KB-00184,4,Password Reset,Forgot network password,Y,4.4
KB-00185,4,Password Reset,Forgot network password,Y,4.3
KB-00186,4,Password Reset,Forgot network password,Y,3.4
KB-00187,4,Password Reset,Forgot network password,Y,4.4
KB-00188,4,Password Reset,Forgot network password,Y,3.0
KB-00189,4,Password Reset,Forgot network password,Y,2.5
KB-00190,4,Password Reset,Forgot network password,Y,5.3
KB-00191,4,Password Reset,Forgot network password,Y,6.1
KB-00192,4,Password Reset,Forgot network password,Y,5.4
KB-00193,4,Password Reset,Forgot network password,Y,6.0
KB-00194,4,Password Reset,Forgot network password,Y,4.8
KB-00195,4,Password Reset,Forgot network password,Y,3.7
KB-00196,4,Password Reset,Forgot network password,Y,4.6
KB-00197,4,Password Reset,Forgot network password,Y,4.1
KB-00198,4,Password Reset,Forgot network password,Y,3.2
KB-00199,4,Password Reset,Forgot network password,Y,2.6
KB-00200,4,Password Reset,Forgot network password,Y,2.8
KB-00201,4,Password Reset,Forgot network password,Y,4.5
KB-00202,4,Password Reset,Forgot network password,Y,4.7
KB-00203,4,Password Reset,Forgot network password,Y,4.0
KB-00204,4,Password Reset,Forgot network password,Y,6.1
KB-00205,4,Password Reset,Forgot network password,Y,4.7
KB-00206,4,Password Reset,Forgot network password,Y,5.2
KB-00207,4,Password Reset,Forgot network password,Y,5.9
KB-00208,4,Password Reset,Forgot network password,Y,3.6
KB-00209,4,Password Reset,Forgot network password,Y,2.3
KB-00210,4,Password Reset,Forgot network password,Y,5.3
KB-00211,4,Password Reset,Forgot network password,Y,3.7
KB-00212,4,Password Reset,Forgot network password,Y,6.0
KB-00213,4,Password Reset,Forgot network password,Y,4.9
KB-00214,4,Password Reset,Forgot network password,Y,5.6
KB-00215,4,Password Reset,Forgot network password,Y,5.4
KB-00216,4,Password Reset,Forgot network password,Y,2.2
KB-00217,4,Password Reset,Forgot network password,Y,5.3
KB-00218,4,Password Reset,Forgot network password,Y,3.7
KB-00219,4,Password Reset,Forgot network password,Y,3.6
KB-00220,4,Password Reset,Forgot network password,Y,4.0
KB-00221,4,Password Reset,Forgot network password,Y,5.4
KB-00222,5,Password Reset,Forgot network password,Y,5.6
KB-00223,5,Password Reset,Forgot network password,Y,2.6
KB-00224,5,Password Reset,Forgot network password,Y,3.8
KB-00225,5,Password Reset,Forgot network password,Y,2.0
KB-00226,5,Password Reset,Forgot network password,Y,4.4
KB-00227,5,Password Reset,Forgot network password,Y,5.2
KB-00228,5,Password Reset,Forgot network password,Y,3.6
KB-00229,5,Password Reset,Forgot network password,Y,4.8
KB-00230,5,Password Reset,Forgot network password,Y,4.8
KB-00231,5,Password Reset,Forgot network password,Y,5.6
KB-00232,5,Password Reset,Forgot network password,Y,3.6
KB-00233,5,Password Reset,Forgot network password,Y,3.6
KB-00234,5,Password Reset,Forgot network password,Y,3.6
KB-00235,5,Password Reset,Forgot network password,Y,6.5
KB-00236,5,Password Reset,Forgot network password,Y,5.7
KB-00237,5,Password Reset,Forgot network password,Y,4.4
KB-00238,5,Password Reset,Forgot network password,Y,4.8
KB-00239,5,Password Reset,Forgot network password,Y,4.6
KB-00240,5,Password Reset,Forgot network password,Y,4.7
KB-00241,5,Password Reset,Forgot network password,Y,4.3
KB-00242,5,Password Reset,Forgot network password,Y,4.1
KB-00243,5,Password Reset,Forgot network password,Y,3.1
KB-00244,5,Password Reset,Forgot network password,Y,3.8
KB-00245,5,Password Reset,Forgot network password,Y,6.4
KB-00246,5,Password Reset,Forgot network password,Y,5.1
KB-00247,5,Password Reset,Forgot network password,Y,4.6
KB-00248,5,Password Reset,Forgot network password,Y,4.3
KB-00249,5,Password Reset,Forgot network password,Y,4.6
KB-00250,5,Password Reset,Forgot network password,Y,4.9
KB-00251,5,Password Reset,Forgot network password,Y,3.8
KB-00252,5,Password Reset,Forgot network password,Y,4.7
KB-00253,5,Password Reset,Forgot network password,Y,4.8
KB-00254,5,Password Reset,Forgot network password,Y,3.7
KB-00255,5,Password Reset,Forgot network password,Y,3.6
KB-00256,5,Password Reset,Forgot network password,Y,3.4
KB-00257,5,Password Reset,Forgot network password,Y,3.3
KB-00258,5,Password Reset,Forgot network password,Y,5.5
KB-00259,5,Password Reset,Forgot network password,Y,2.0
KB-00260,5,Password Reset,Forgot network password,Y,4.2
KB-00261,5,Password Reset,Forgot network password,Y,3.8
KB-00262,5,Password Reset,Forgot network password,Y,3.8
KB-00263,5,Password Reset,Forgot network password,Y,4.6
KB-00264,5,Password Reset,Forgot network password,Y,5.8
KB-00265,5,Password Reset,Forgot network password,Y,4.6
KB-00266,5,Password Reset,Forgot network password,Y,4.3
KB-00267,5,Password Reset,Forgot network password,Y,3.8
KB-00268,5,Password Reset,Forgot network password,Y,4.4
KB-00269,5,Password Reset,Forgot network password,Y,5.5
KB-00270,5,Password Reset,Forgot network password,Y,4.1
KB-00271,5,Password Reset,Forgot network password,Y,3.2
KB-00272,5,Password Reset,Forgot network password,Y,3.1
KB-00273,5,Password Reset,Forgot network password,Y,3.3
KB-00274,5,Password Reset,Forgot network password,Y,2.9
KB-00275,5,Password Reset,Forgot network password,Y,5.7
KB-00276,5,Password Reset,Forgot network password,Y,4.9
KB-00277,5,Password Reset,Forgot network password,Y,4.2
KB-00278,5,Password Reset,Forgot network password,Y,6.1
KB-00279,5,Password Reset,Forgot network password,Y,3.8
KB-00280,5,Password Reset,Forgot network password,Y,5.3
KB-00281,5,Password Reset,Forgot network password,Y,5.4
KB-00282,5,Password Reset,Forgot network password,Y,2.8
KB-00283,5,Password Reset,Forgot network password,Y,2.7
KB-00284,5,Password Reset,Forgot network password,Y,3.5
KB-00285,5,Password Reset,Forgot network password,Y,5.5
KB-00286,5,Password Reset,Forgot network password,Y,6.0
KB-00287,5,Password Reset,Forgot network password,Y,3.1
KB-00288,5,Password Reset,Forgot network password,Y,5.7
KB-00289,5,Password Reset,Forgot network password,Y,4.1
KB-00290,5,Password Reset,Forgot network password,Y,4.1
KB-00291,5,Password Reset,Forgot network password,Y,3.9
KB-00292,5,Password Reset,Forgot network password,Y,4.1
KB-00293,5,Password Reset,Forgot network password,Y,2.5
KB-00294,6,Password Reset,Forgot network password,Y,3.1
KB-00295,6,Password Reset,Forgot network password,Y,5.1
KB-00296,6,Password Reset,Forgot network password,Y,6.9
KB-00297,6,Password Reset,Forgot network password,Y,7.6
KB-00298,6,Password Reset,Forgot network password,Y,4.1
KB-00299,6,Password Reset,Forgot network password,Y,2.6
KB-00300,6,Password Reset,Forgot network password,Y,4.0
KB-00301,6,Password Reset,Forgot network password,Y,3.4
KB-00302,6,Password Reset,Forgot network password,Y,6.7
KB-00303,6,Password Reset,Forgot network password,Y,5.1
KB-00304,6,Password Reset,Forgot network password,Y,3.7
KB-00305,6,Password Reset,Forgot network password,Y,5.6
KB-00306,6,Password Reset,Forgot network password,Y,5.1
KB-00307,6,Password Reset,Forgot network password,Y,2.7
KB-00308,6,Password Reset,Forgot network password,Y,3.9
KB-00309,6,Password Reset,Forgot network password,Y,4.2
KB-00310,6,Password Reset,Forgot network password,Y,4.5
KB-00311,6,Password Reset,Forgot network password,Y,4.6
KB-00312,6,Password Reset,Forgot network password,Y,4.1
KB-00313,6,Password Reset,Forgot network password,Y,4.7
KB-00314,6,Password Reset,Forgot network password,Y,3.8
KB-00315,6,Password Reset,Forgot network password,Y,3.5
KB-00316,6,Password Reset,Forgot network password,Y,6.2
KB-00317,6,Password Reset,Forgot network password,Y,4.9
KB-00318,6,Password Reset,Forgot network password,Y,5.0
KB-00319,6,Password Reset,Forgot network password,Y,2.7
KB-00320,6,Password Reset,Forgot network password,Y,4.3
KB-00321,6,Password Reset,Forgot network password,Y,5.4
KB-00322,6,Password Reset,Forgot network password,Y,3.0
KB-00323,6,Password Reset,Forgot network password,Y,5.7
KB-00324,6,Password Reset,Forgot network password,Y,4.1
KB-00325,6,Password Reset,Forgot network password,Y,5.0
KB-00326,6,Password Reset,Forgot network password,Y,4.4
KB-00327,6,Password Reset,Forgot network password,Y,4.7
KB-00328,6,Password Reset,Forgot network password,Y,5.9
KB-00329,6,Password Reset,Forgot network password,Y,4.0
KB-00330,6,Password Reset,Forgot network password,Y,6.3
KB-00331,6,Password Reset,Forgot network password,Y,3.6
KB-00332,6,Password Reset,Forgot network password,Y,3.5
KB-00333,6,Password Reset,Forgot network password,Y,5.3
KB-00334,6,Password Reset,Forgot network password,Y,3.3
KB-00335,6,Password Reset,Forgot network password,Y,4.1
KB-00336,6,Password Reset,Forgot network password,Y,5.5
KB-00337,6,Password Reset,Forgot network password,Y,5.9
KB-00338,6,Password Reset,Forgot network password,Y,2.5
KB-00339,6,Password Reset,Forgot network password,Y,5.1
KB-00340,6,Password Reset,Forgot network password,Y,6.6
KB-00341,6,Password Reset,Forgot network password,Y,5.8
KB-00342,6,Password Reset,Forgot network password,Y,4.2
KB-00343,6,Password Reset,Forgot network password,Y,3.8
KB-00344,6,Password Reset,Forgot network password,Y,4.2
KB-00345,1,Password Reset,Account locked after failed attempts,Y,5.6
KB-00346,1,Password Reset,Account locked after failed attempts,Y,5.7
KB-00347,1,Password Reset,Account locked after failed attempts,Y,5.8
KB-00348,1,Password Reset,Account locked after failed attempts,Y,7.8
KB-00349,1,Password Reset,Account locked after failed attempts,Y,5.7
KB-00350,1,Password Reset,Account locked after failed attempts,Y,3.8
KB-00351,1,Password Reset,Account locked after failed attempts,Y,7.6
KB-00352,1,Password Reset,Account locked after failed attempts,Y,4.4
KB-00353,1,Password Reset,Account locked after failed attempts,Y,5.3
KB-00354,1,Password Reset,Account locked after failed attempts,Y,5.8
KB-00355,1,Password Reset,Account locked after failed attempts,Y,5.5
KB-00356,1,Password Reset,Account locked after failed attempts,Y,4.5
KB-00357,1,Password Reset,Account locked after failed attempts,Y,5.6
KB-00358,1,Password Reset,Account locked after failed attempts,Y,9.3
KB-00359,1,Password Reset,Account locked after failed attempts,Y,5.1
KB-00360,1,Password Reset,Account locked after failed attempts,Y,5.8
KB-00361,1,Password Reset,Account locked after failed attempts,Y,7.7
KB-00362,1,Password Reset,Account locked after failed attempts,Y,7.1
KB-00363,1,Password Reset,Account locked after failed attempts,Y,7.1
KB-00364,2,Password Reset,Account locked after failed attempts,Y,3.0
KB-00365,2,Password Reset,Account locked after failed attempts,Y,4.7
KB-00366,2,Password Reset,Account locked after failed attempts,Y,6.2
KB-00367,2,Password Reset,Account locked after failed attempts,Y,6.7
KB-00368,2,Password Reset,Account locked after failed attempts,Y,7.9
KB-00369,2,Password Reset,Account locked after failed attempts,Y,6.7
KB-00370,2,Password Reset,Account locked after failed attempts,Y,5.6
KB-00371,2,Password Reset,Account locked after failed attempts,Y,6.1
KB-00372,2,Password Reset,Account locked after failed attempts,Y,5.7
KB-00373,2,Password Reset,Account locked after failed attempts,Y,6.4
KB-00374,2,Password Reset,Account locked after failed attempts,Y,7.0
KB-00375,2,Password Reset,Account locked after failed attempts,Y,5.5
KB-00376,2,Password Reset,Account locked after failed attempts,Y,4.8
KB-00377,2,Password Reset,Account locked after failed attempts,Y,4.7
KB-00378,2,Password Reset,Account locked after failed attempts,Y,7.6
KB-00379,2,Password Reset,Account locked after failed attempts,Y,7.9
KB-00380,2,Password Reset,Account locked after failed attempts,Y,7.5
KB-00381,2,Password Reset,Account locked after failed attempts,Y,7.3
KB-00382,2,Password Reset,Account locked after failed attempts,Y,7.2
KB-00383,2,Password Reset,Account locked after failed attempts,Y,6.0
KB-00384,2,Password Reset,Account locked after failed attempts,Y,7.0
KB-00385,2,Password Reset,Account locked after failed attempts,Y,4.4
KB-00386,2,Password Reset,Account locked after failed attempts,Y,5.7
KB-00387,2,Password Reset,Account locked after failed attempts,Y,4.9
KB-00388,2,Password Reset,Account locked after failed attempts,Y,7.1
KB-00389,2,Password Reset,Account locked after failed attempts,Y,5.1
KB-00390,2,Password Reset,Account locked after failed attempts,Y,5.8
KB-00391,2,Password Reset,Account locked after failed attempts,Y,6.6
KB-00392,3,Password Reset,Account locked after failed attempts,Y,4.8
KB-00393,3,Password Reset,Account locked after failed attempts,Y,4.6
KB-00394,3,Password Reset,Account locked after failed attempts,Y,7.2
KB-00395,3,Password Reset,Account locked after failed attempts,Y,4.3
KB-00396,3,Password Reset,Account locked after failed attempts,Y,6.7
KB-00397,3,Password Reset,Account locked after failed attempts,Y,5.1
KB-00398,3,Password Reset,Account locked after failed attempts,Y,5.8
KB-00399,3,Password Reset,Account locked after failed attempts,Y,3.3
KB-00400,3,Password Reset,Account locked after failed attempts,Y,7.1
KB-00401,3,Password Reset,Account locked after failed attempts,Y,5.2
KB-00402,3,Password Reset,Account locked after failed attempts,Y,4.7
KB-00403,3,Password Reset,Account locked after failed attempts,Y,9.1
KB-00404,3,Password Reset,Account locked after failed attempts,Y,7.1
KB-00405,3,Password Reset,Account locked after failed attempts,Y,11.3
KB-00406,3,Password Reset,Account locked after failed attempts,Y,6.6
KB-00407,3,Password Reset,Account locked after failed attempts,Y,5.5
KB-00408,3,Password Reset,Account locked after failed attempts,Y,6.2
KB-00409,3,Password Reset,Account locked after failed attempts,Y,8.4
KB-00410,3,Password Reset,Account locked after failed attempts,Y,6.0
KB-00411,3,Password Reset,Account locked after failed attempts,Y,6.7
KB-00412,3,Password Reset,Account locked after failed attempts,Y,6.8
KB-00413,3,Password Reset,Account locked after failed attempts,Y,4.6
KB-00414,3,Password Reset,Account locked after failed attempts,Y,6.2
KB-00415,3,Password Reset,Account locked after failed attempts,Y,5.2
KB-00416,3,Password Reset,Account locked after failed attempts,Y,4.1
KB-00417,3,Password Reset,Account locked after failed attempts,Y,7.3
KB-00418,3,Password Reset,Account locked after failed attempts,Y,7.0
KB-00419,3,Password Reset,Account locked after failed attempts,Y,6.1
KB-00420,3,Password Reset,Account locked after failed attempts,Y,4.6
KB-00421,3,Password Reset,Account locked after failed attempts,Y,3.0
KB-00422,4,Password Reset,Account locked after failed attempts,Y,5.9
KB-00423,4,Password Reset,Account locked after failed attempts,Y,3.5
KB-00424,4,Password Reset,Account locked after failed attempts,Y,5.9
KB-00425,4,Password Reset,Account locked after failed attempts,Y,3.7
KB-00426,4,Password Reset,Account locked after failed attempts,Y,6.0
KB-00427,4,Password Reset,Account locked after failed attempts,Y,6.2
KB-00428,4,Password Reset,Account locked after failed attempts,Y,6.5
KB-00429,4,Password Reset,Account locked after failed attempts,Y,6.3
KB-00430,4,Password Reset,Account locked after failed attempts,Y,6.3
KB-00431,4,Password Reset,Account locked after failed attempts,Y,4.3
KB-00432,4,Password Reset,Account locked after failed attempts,Y,5.4
KB-00433,4,Password Reset,Account locked after failed attempts,Y,5.2
KB-00434,4,Password Reset,Account locked after failed attempts,Y,5.6
KB-00435,4,Password Reset,Account locked after failed attempts,Y,6.4
KB-00436,4,Password Reset,Account locked after failed attempts,Y,6.9
KB-00437,4,Password Reset,Account locked after failed attempts,Y,8.5
KB-00438,4,Password Reset,Account locked after failed attempts,Y,2.1
KB-00439,4,Password Reset,Account locked after failed attempts,Y,6.6
KB-00440,4,Password Reset,Account locked after failed attempts,Y,5.7
KB-00441,4,Password Reset,Account locked after failed attempts,Y,9.4
KB-00442,4,Password Reset,Account locked after failed attempts,Y,7.4
KB-00443,4,Password Reset,Account locked after failed attempts,Y,3.5
KB-00444,4,Password Reset,Account locked after failed attempts,Y,6.6
KB-00445,4,Password Reset,Account locked after failed attempts,Y,5.2
KB-00446,4,Password Reset,Account locked after failed attempts,Y,7.5
KB-00447,4,Password Reset,Account locked after failed attempts,Y,4.4
KB-00448,5,Password Reset,Account locked after failed attempts,Y,5.8
KB-00449,5,Password Reset,Account locked after failed attempts,Y,5.9
KB-00450,5,Password Reset,Account locked after failed attempts,Y,5.1
KB-00451,5,Password Reset,Account locked after failed attempts,Y,3.2
KB-00452,5,Password Reset,Account locked after failed attempts,Y,6.7
KB-00453,5,Password Reset,Account locked after failed attempts,Y,7.5
KB-00454,5,Password Reset,Account locked after failed attempts,Y,5.9
KB-00455,5,Password Reset,Account locked after failed attempts,Y,4.5
KB-00456,5,Password Reset,Account locked after failed attempts,Y,6.3
KB-00457,5,Password Reset,Account locked after failed attempts,Y,6.8
KB-00458,5,Password Reset,Account locked after failed attempts,Y,5.7
KB-00459,5,Password Reset,Account locked after failed attempts,Y,6.0
KB-00460,5,Password Reset,Account locked after failed attempts,Y,8.1
KB-00461,5,Password Reset,Account locked after failed attempts,Y,4.3
KB-00462,5,Password Reset,Account locked after failed attempts,Y,5.2
KB-00463,5,Password Reset,Account locked after failed attempts,Y,3.1
KB-00464,5,Password Reset,Account locked after failed attempts,Y,5.0
KB-00465,5,Password Reset,Account locked after failed attempts,Y,4.9
KB-00466,5,Password Reset,Account locked after failed attempts,Y,4.6
KB-00467,5,Password Reset,Account locked after failed attempts,Y,5.0
KB-00468,5,Password Reset,Account locked after failed attempts,Y,8.7
KB-00469,5,Password Reset,Account locked after failed attempts,Y,5.7
KB-00470,5,Password Reset,Account locked after failed attempts,Y,5.8
KB-00471,5,Password Reset,Account locked after failed attempts,Y,9.3
KB-00472,6,Password Reset,Account locked after failed attempts,Y,3.4
KB-00473,6,Password Reset,Account locked after failed attempts,Y,6.6
KB-00474,6,Password Reset,Account locked after failed attempts,Y,4.6
KB-00475,6,Password Reset,Account locked after failed attempts,Y,8.5
KB-00476,6,Password Reset,Account locked after failed attempts,Y,4.1
KB-00477,6,Password Reset,Account locked after failed attempts,Y,5.1
KB-00478,6,Password Reset,Account locked after failed attempts,Y,3.6
