hire_id,handson_minutes_account,handson_minutes_groups,handson_minutes_home_dir,handson_minutes_mailbox,handson_minutes_vpn,handson_minutes_welcome_email,handson_minutes_ticket_logging,total_handson_minutes,all_required_groups_assigned_first_try,vpn_ready_day1,remote_eligible
NH-0069,5.6,3.0,4.5,3.5,0.0,2.7,2.1,21.3,Y,Y,N
NH-0038,2.9,7.4,4.8,6.0,0.0,3.6,1.7,26.4,Y,Y,N
NH-0089,5.3,8.2,4.8,6.2,0.0,3.3,2.0,29.8,Y,Y,N
NH-0090,5.9,4.4,3.8,5.6,3.1,3.4,1.8,27.9,N,N,Y
NH-0110,3.9,8.8,4.0,6.5,1.5,2.1,2.5,29.3,Y,N,Y
NH-0054,5.7,9.5,5.2,5.9,0.0,2.9,1.5,30.7,Y,Y,N
NH-0081,3.6,7.6,4.2,12.1,4.2,2.8,1.0,35.5,Y,N,Y
NH-0138,5.9,3.8,3.0,7.5,0.0,3.2,2.1,25.4,Y,Y,N
NH-0053,3.6,8.1,4.4,3.9,0.0,3.6,2.5,26.1,Y,Y,N
NH-0082,4.3,5.9,5.5,5.8,0.0,2.8,2.1,26.4,Y,Y,N
NH-0078,4.9,3.0,5.7,6.3,0.0,3.4,1.3,24.6,Y,Y,N
NH-0045,4.1,9.6,3.5,6.4,3.3,3.2,1.4,31.5,Y,Y,Y
NH-0120,6.6,8.6,4.2,6.5,0.0,2.2,1.0,29.1,N,Y,N
NH-0107,3.8,7.9,3.4,6.5,0.0,3.4,2.4,27.4,Y,Y,N
NH-0055,5.5,8.1,2.2,5.1,0.0,4.4,3.1,28.4,Y,Y,N
NH-0015,5.7,6.7,5.3,8.0,0.0,3.7,1.6,30.9,Y,Y,N
NH-0050,2.7,4.9,2.5,5.3,2.6,2.8,1.9,22.6,Y,Y,Y
NH-0016,5.6,7.5,5.6,9.2,0.0,3.2,1.7,32.8,Y,Y,N
NH-0106,6.7,4.8,3.6,4.8,0.0,2.3,2.4,24.6,Y,Y,N
NH-0125,6.2,4.5,3.7,7.1,2.3,3.5,2.0,29.3,Y,Y,Y
NH-0024,5.1,10.8,3.9,4.0,0.0,2.0,2.5,28.2,Y,Y,N
NH-0112,3.1,7.2,4.2,4.2,0.0,4.1,1.3,24.1,Y,Y,N
NH-0114,5.0,9.3,4.1,5.1,4.5,3.0,1.0,31.9,Y,N,Y
NH-0057,3.8,4.4,5.3,6.8,0.0,2.9,1.8,24.9,N,Y,N
NH-0048,6.7,11.8,4.7,3.5,0.0,2.5,1.3,30.5,Y,Y,N
NH-0066,5.4,12.7,4.0,7.3,1.4,1.9,2.0,34.6,Y,Y,Y
NH-0113,8.1,4.7,4.2,6.1,0.0,3.8,2.2,29.0,Y,Y,N
NH-0013,6.2,6.7,3.4,4.1,0.0,4.0,1.9,26.2,Y,Y,N
NH-0121,7.0,12.7,4.6,4.3,0.0,3.3,1.6,33.5,Y,Y,N
NH-0072,2.6,8.0,5.2,5.9,0.0,2.2,1.7,25.6,Y,Y,N
NH-0119,5.8,9.4,4.7,6.3,4.4,2.7,2.6,35.8,N,Y,Y
NH-0041,3.9,14.0,5.9,4.6,0.0,2.9,1.2,32.5,Y,Y,N
NH-0043,5.2,10.0,3.2,6.7,0.0,3.9,2.2,31.2,Y,Y,N
NH-0076,4.7,7.5,3.2,5.5,1.8,2.9,1.9,27.5,N,Y,Y
NH-0020,5.6,4.9,5.4,8.7,0.0,3.1,1.9,29.5,Y,Y,N
NH-0046,3.7,9.3,4.2,5.7,0.0,4.5,2.2,29.5,Y,Y,N
NH-0051,4.9,10.3,2.1,4.2,0.0,2.5,1.4,25.4,Y,Y,N
NH-0018,4.8,8.0,4.0,6.9,0.0,3.1,2.6,29.5,N,Y,N
NH-0084,7.2,10.7,4.8,6.5,0.0,3.8,1.3,34.4,Y,Y,N
NH-0008,4.8,6.4,3.2,5.5,0.0,3.0,1.0,23.9,Y,Y,N
NH-0031,2.3,7.5,2.9,4.9,3.8,4.0,2.4,27.7,Y,Y,Y
NH-0103,6.8,15.5,3.7,5.4,0.0,4.4,1.3,37.1,Y,Y,N
NH-0092,5.9,7.3,3.0,4.3,0.0,2.3,1.0,23.8,N,Y,N
NH-0088,6.0,7.6,4.3,5.6,0.0,2.5,2.0,28.1,Y,Y,N
NH-0001,6.9,5.3,5.2,8.8,0.0,3.3,2.5,31.9,Y,Y,N
NH-0111,4.1,6.5,6.5,4.0,0.0,3.5,1.5,26.1,Y,Y,N
NH-0012,3.5,8.5,6.5,6.6,3.2,4.7,1.5,34.5,N,Y,Y
NH-0071,6.0,6.6,3.8,7.6,3.9,4.2,1.9,34.0,N,N,Y
NH-0133,5.6,8.3,4.4,6.1,0.0,4.5,2.3,31.2,Y,Y,N
NH-0116,5.1,6.3,2.6,5.5,4.2,2.1,1.7,27.5,Y,Y,Y
NH-0147,5.6,8.2,4.3,8.1,0.0,2.3,2.7,31.2,Y,Y,N
NH-0026,6.0,6.1,3.2,6.6,0.0,1.9,1.9,25.6,N,Y,N
NH-0028,6.0,7.8,4.9,8.4,0.0,3.4,2.7,33.4,Y,Y,N
NH-0058,3.9,5.7,3.3,5.9,0.0,1.6,2.6,23.1,Y,Y,N
NH-0083,5.3,10.3,4.7,3.8,2.4,2.4,1.8,30.6,N,Y,Y
NH-0139,3.7,9.2,4.0,5.5,0.0,2.8,2.2,27.3,Y,Y,N
NH-0022,4.2,3.6,1.9,3.9,0.0,2.0,1.9,17.6,Y,Y,N
NH-0065,6.2,11.9,4.1,6.9,0.0,4.3,1.7,35.0,Y,Y,N
NH-0135,2.0,8.5,4.7,6.8,4.9,4.0,2.0,32.9,Y,Y,Y
NH-0033,3.7,6.5,3.2,4.3,0.0,3.4,2.7,23.9,Y,Y,N
NH-0136,8.0,3.9,2.2,4.1,0.0,2.3,1.9,22.5,N,Y,N
NH-0073,4.8,5.4,3.4,4.2,0.0,3.3,1.8,22.8,Y,Y,N
NH-0146,6.2,7.3,3.3,4.9,0.0,4.0,1.8,27.5,Y,Y,N
NH-0070,3.7,7.5,5.7,4.2,0.0,2.1,2.8,26.0,Y,Y,N
NH-0029,4.7,6.2,3.4,7.1,0.0,2.8,3.6,27.8,Y,Y,N
NH-0030,3.9,9.9,5.3,6.5,0.0,3.4,1.9,30.8,Y,Y,N
NH-0049,6.0,7.8,4.5,5.4,0.0,4.6,1.9,30.2,Y,Y,N
NH-0145,5.0,9.6,3.2,7.2,2.9,2.9,2.8,33.7,Y,N,Y
NH-0052,5.9,8.1,3.6,4.1,0.0,2.1,1.2,24.9,Y,Y,N
NH-0004,4.1,4.8,3.2,4.5,3.1,3.5,1.6,24.8,Y,N,Y
NH-0148,5.4,6.4,2.0,4.1,0.0,3.7,2.5,24.1,Y,Y,N
NH-0130,6.9,7.5,4.0,3.8,0.0,2.9,2.7,27.9,Y,Y,N
NH-0122,3.2,7.8,4.1,6.6,0.0,2.8,2.0,26.5,Y,Y,N
NH-0129,5.8,6.7,1.6,4.3,0.0,4.3,1.7,24.4,Y,Y,N
NH-0104,5.2,7.6,4.0,5.1,0.0,3.5,2.0,27.4,Y,Y,N
NH-0126,3.7,9.6,4.0,8.2,0.0,2.5,1.5,29.4,Y,Y,N
NH-0011,3.9,8.0,5.0,9.0,0.0,3.8,1.5,31.1,N,Y,N
NH-0056,3.7,6.9,3.8,3.0,0.0,4.2,3.6,25.1,Y,Y,N
NH-0042,4.3,10.7,3.7,6.5,0.0,2.9,2.1,30.2,Y,Y,N
NH-0006,4.2,5.5,2.8,7.3,0.0,3.9,2.4,26.2,Y,Y,N
NH-0059,3.1,3.0,5.7,4.5,0.0,1.9,1.1,19.3,Y,Y,N
NH-0128,5.4,8.5,5.5,8.2,0.0,2.9,1.1,31.6,Y,Y,N
NH-0019,5.3,8.7,3.1,5.3,0.0,3.8,1.8,28.0,Y,Y,N
NH-0021,4.6,9.1,3.7,5.5,0.0,3.2,1.6,27.8,Y,Y,N
NH-0131,4.6,10.9,3.6,4.1,0.0,2.4,2.0,27.6,Y,Y,N
NH-0144,5.4,7.1,5.3,6.6,0.0,2.6,1.2,28.2,Y,Y,N
NH-0009,5.6,8.7,5.0,4.2,2.0,4.5,2.6,32.6,Y,Y,Y
NH-0010,3.4,6.9,3.3,6.0,0.0,4.3,2.5,26.4,Y,Y,N
NH-0140,4.7,6.9,2.4,7.4,1.7,3.2,2.6,28.9,N,Y,Y
NH-0060,4.0,8.0,4.6,5.9,0.0,2.5,1.7,26.7,Y,Y,N
NH-0134,6.7,5.9,4.0,2.0,5.0,3.3,2.4,29.3,Y,Y,Y
NH-0086,4.9,7.6,3.7,2.0,0.0,3.1,1.8,23.1,N,Y,N
NH-0036,3.0,8.4,4.2,7.5,3.3,3.3,1.5,31.3,N,Y,Y
NH-0096,6.7,3.0,3.3,5.4,0.0,3.5,2.4,24.3,Y,Y,N
NH-0099,5.3,6.2,4.9,9.0,0.0,2.8,1.8,30.1,Y,Y,N
NH-0080,5.7,6.7,4.0,5.8,0.0,2.6,2.2,27.1,Y,Y,N
NH-0115,4.9,10.5,4.0,4.4,3.7,3.2,2.1,32.8,Y,Y,Y
NH-0117,5.6,5.4,5.1,6.7,2.1,2.8,1.6,29.3,Y,N,Y
NH-0142,3.4,8.7,3.7,4.6,0.0,2.2,2.3,24.9,N,Y,N
NH-0098,6.6,9.8,3.2,6.2,0.0,2.9,2.2,30.9,N,Y,N
NH-0063,4.5,6.6,5.5,6.2,3.2,2.0,1.7,29.7,Y,N,Y
NH-0127,6.2,6.5,4.8,3.7,0.0,1.9,2.4,25.5,Y,Y,N
NH-0109,4.6,8.5,1.5,3.4,0.0,2.7,1.8,22.5,Y,Y,N
NH-0067,5.2,4.9,1.9,6.6,2.3,2.4,1.3,24.5,N,N,Y
NH-0023,2.0,9.1,3.5,4.8,0.0,3.1,1.5,24.0,N,Y,N
NH-0137,4.4,7.8,1.7,6.0,0.0,1.8,2.5,24.2,Y,Y,N
NH-0014,6.6,7.1,5.2,4.5,0.0,1.5,2.1,27.1,Y,Y,N
NH-0035,4.8,8.9,4.1,5.2,0.0,2.0,1.7,26.6,Y,Y,N
