hire_id,handson_minutes_run_script,handson_minutes_review_report,total_handson_minutes,all_required_groups_assigned_first_try,vpn_ready_day1,remote_eligible
NH-0022,1.5,1.8,3.3,Y,Y,N
NH-0065,1.0,1.7,2.7,Y,Y,N
NH-0135,1.5,1.5,3.0,Y,Y,Y
NH-0033,1.3,1.2,2.5,Y,Y,N
NH-0136,1.1,1.6,2.7,Y,Y,N
NH-0073,1.0,1.8,2.8,Y,Y,N
NH-0146,1.4,1.3,2.7,Y,Y,N
NH-0070,1.2,0.9,2.2,Y,Y,N
NH-0029,1.2,1.7,2.9,Y,Y,N
NH-0030,0.5,0.8,1.3,Y,Y,N
NH-0049,1.0,2.0,3.0,Y,Y,N
NH-0145,1.5,1.9,3.5,Y,Y,Y
NH-0052,1.1,1.5,2.6,Y,Y,N
NH-0004,1.4,1.5,3.0,Y,Y,Y
NH-0148,1.5,1.3,2.8,Y,Y,N
NH-0130,1.3,2.0,3.3,Y,Y,N
NH-0122,0.5,1.9,2.4,Y,Y,N
NH-0129,1.5,1.1,2.6,Y,Y,N
NH-0104,1.3,1.1,2.4,Y,Y,N
NH-0126,1.2,1.7,2.9,Y,Y,N
NH-0011,0.5,1.4,1.9,Y,Y,N
NH-0056,1.5,1.9,3.4,Y,Y,N
NH-0042,1.3,1.5,2.7,Y,Y,N
NH-0006,1.4,1.8,3.2,Y,Y,N
NH-0059,0.9,1.5,2.4,Y,Y,N
NH-0128,1.4,0.9,2.3,Y,Y,N
NH-0019,0.9,2.0,2.9,Y,Y,N
NH-0021,0.9,1.5,2.4,Y,Y,N
NH-0131,1.0,1.9,2.9,Y,Y,N
NH-0144,1.5,1.3,2.9,Y,Y,N
NH-0009,1.1,1.5,2.5,Y,Y,Y
NH-0010,1.2,1.3,2.6,Y,Y,N
NH-0140,0.9,2.0,2.8,Y,Y,Y
NH-0060,0.6,1.1,1.8,Y,Y,N
NH-0134,1.2,1.4,2.6,Y,Y,Y
NH-0086,1.6,1.7,3.3,Y,Y,N
NH-0036,1.2,0.9,2.1,Y,Y,Y
NH-0096,1.5,1.9,3.4,Y,Y,N
NH-0099,1.5,1.5,3.0,Y,Y,N
NH-0080,1.6,1.6,3.2,Y,Y,N
NH-0115,1.2,1.3,2.5,Y,Y,Y
NH-0117,0.8,1.7,2.6,Y,Y,Y
NH-0142,1.0,2.5,3.4,Y,Y,N
NH-0098,0.9,1.8,2.7,Y,Y,N
NH-0063,1.3,1.5,2.8,Y,Y,Y
NH-0127,1.8,2.1,3.9,Y,Y,N
NH-0109,0.9,1.9,2.8,Y,Y,N
NH-0067,0.9,1.8,2.7,Y,Y,Y
NH-0023,1.1,2.0,3.1,Y,Y,N
NH-0137,1.5,1.4,2.9,Y,Y,N
NH-0014,1.2,1.6,2.8,Y,Y,N
NH-0035,1.0,1.5,2.6,Y,Y,N
