payment_id,invoice_id,payment_date,payment_amount
P000048,INV000043,2025-01-03,11453.85
P000049,INV000044,2025-03-03,5465.3
P000050,INV000045,2025-06-12,22862.4
P000051,INV000046,2025-06-09,3653.07
P000052,INV000046,2025-06-13,2651.29
P000053,INV000049,2024-02-04,2903.78
P000054,INV000050,2024-02-14,4450.56
P000055,INV000051,2024-03-10,1683.58
P000056,INV000052,2024-04-06,1451.38
P000057,INV000053,2024-05-01,1646.44
P000058,INV000054,2024-12-17,2087.21
P000059,INV000055,2025-03-14,3871.65
P000060,INV000056,2025-04-16,425.6
P000061,INV000056,2025-04-20,391.71
P000062,INV000057,2025-10-28,1917.08
P000063,INV000058,2025-11-16,1361.77
P000064,INV000059,2025-12-12,4320.22
P000065,INV000059,2025-12-15,4768.53
P000066,INV000060,2024-06-10,1921.54
P000067,INV000062,2024-11-14,1924.72
P000068,INV000063,2025-01-10,1150.42
P000069,INV000063,2025-02-27,878.23
P000070,INV000064,2025-06-29,2258.46
P000071,INV000065,2025-08-29,1235.64
P000072,INV000066,2025-09-15,1452.32
P000073,INV000067,2025-09-04,5646.34
P000074,INV000068,2025-11-01,3380.65
P000075,INV000069,2025-12-31,2707.84
P000076,INV000071,2024-08-29,1954.09
P000077,INV000072,2024-12-06,1766.08
P000078,INV000074,2024-01-22,1349.18
P000079,INV000075,2024-04-28,1109.85
P000080,INV000076,2024-09-09,2747.6
P000081,INV000077,2024-09-22,1451.42
P000082,INV000078,2024-10-05,2016.83
P000083,INV000079,2024-11-26,886.2
P000084,INV000080,2025-06-19,2009.56
P000085,INV000081,2025-06-22,1179.86
P000086,INV000082,2025-07-26,3072.38
P000087,INV000083,2025-10-30,723.47
P000088,INV000083,2025-11-05,796.4
P000089,INV000084,2024-03-05,1400.26
P000090,INV000085,2024-03-27,5536.85
P000091,INV000086,2024-07-04,1040.25
P000092,INV000087,2024-07-28,3254.76
P000093,INV000088,2024-08-14,3372.87
P000094,INV000089,2024-08-17,1669.55
P000095,INV000090,2024-11-21,2022.02
P000096,INV000091,2024-12-18,608.79
P000097,INV000091,2024-12-21,455.88
P000098,INV000092,2024-12-29,963.21
P000099,INV000092,2025-01-23,442.54
P000100,INV000093,2025-08-01,1885.08
P000101,INV000094,2025-09-23,1584.23
P000102,INV000095,2024-04-23,1666.43
P000103,INV000096,2024-06-25,2366.59
P000104,INV000097,2024-07-27,4291.34
P000105,INV000098,2024-08-11,2400.85
P000106,INV000099,2024-09-29,1360.94
P000107,INV000099,2024-10-02,1133.13
P000108,INV000100,2024-10-05,2820.06
P000109,INV000101,2025-03-27,2638.69
P000110,INV000102,2025-07-10,2151.97
P000111,INV000103,2025-08-30,1983.68
P000112,INV000103,2025-09-02,920.71
P000113,INV000104,2025-10-04,3341.53
P000114,INV000105,2024-02-10,15860.17
P000115,INV000106,2024-07-13,7880.24
P000116,INV000107,2024-09-18,16377.91
P000117,INV000108,2024-12-08,15469.91
P000118,INV000109,2025-01-26,4252.64
P000119,INV000109,2025-01-29,2514.91
P000120,INV000110,2025-02-28,7904.9
P000121,INV000111,2025-06-28,12661.31
P000122,INV000112,2025-08-01,8616.5
P000123,INV000113,2025-08-16,4634.04
P000124,INV000114,2025-10-30,14715.91
P000125,INV000115,2025-11-13,14007.74
P000126,INV000116,2024-04-13,2748.07
P000127,INV000117,2024-04-14,5224.97
P000128,INV000118,2024-10-16,3315.15
P000129,INV000119,2024-12-03,1293.08
P000130,INV000120,2025-05-19,4630.78
P000131,INV000121,2025-07-28,3333.23
P000132,INV000122,2025-10-21,4305.96
P000133,INV000123,2025-11-16,4315.29
P000134,INV000124,2024-02-19,868.08
P000135,INV000125,2024-03-19,1864.23
P000136,INV000126,2024-06-27,2201.8
P000137,INV000127,2024-08-07,4288.6
P000138,INV000128,2024-10-11,3205.06
P000139,INV000129,2025-03-08,4240.32
P000140,INV000130,2025-06-04,3420.42
P000141,INV000131,2025-07-13,2629.91
P000142,INV000132,2025-10-12,1915.54
P000143,INV000133,2025-10-18,3302.68
P000144,INV000135,2024-04-16,9976.09
P000145,INV000136,2024-04-18,12479.55
P000146,INV000137,2024-08-03,4752.65
P000147,INV000138,2025-03-25,18188.92
P000148,INV000139,2025-04-17,11708.18
P000149,INV000140,2025-05-13,10233.11
P000150,INV000141,2025-05-16,10770.06
P000151,INV000142,2025-09-16,4407.91
P000152,INV000142,2025-09-19,5023.58
P000153,INV000143,2025-12-16,15769.31
P000154,INV000144,2025-12-18,8075.77
P000155,INV000144,2025-12-21,4968.65
P000156,INV000145,2025-12-21,4018.22
P000157,INV000145,2025-12-24,1666.1
P000158,INV000148,2024-03-20,28549.13
P000159,INV000149,2024-03-23,28530.52
P000160,INV000149,2024-03-26,12138.48
P000161,INV000150,2024-03-29,76456.67
P000162,INV000151,2024-05-03,47465.77
P000163,INV000152,2024-05-27,62421.91
P000164,INV000154,2024-06-09,65205.42
P000165,INV000155,2024-06-24,59550.0
P000166,INV000156,2024-06-23,76581.21
P000167,INV000157,2024-09-02,34140.38
P000168,INV000158,2024-09-04,10974.58
P000169,INV000158,2024-09-07,13079.7
P000170,INV000159,2024-10-19,63338.39
P000171,INV000160,2024-10-21,33105.66
P000172,INV000161,2024-11-07,56371.32
P000173,INV000161,2024-11-10,53033.4
P000174,INV000162,2025-01-27,12862.14
P000175,INV000162,2025-02-01,4315.82
P000176,INV000163,2025-02-15,42059.5
P000177,INV000164,2025-02-13,59216.62
P000178,INV000165,2025-02-14,27970.22
P000179,INV000166,2025-03-30,66185.29
P000180,INV000167,2025-04-07,86586.03
P000181,INV000168,2025-05-08,34775.5
P000182,INV000169,2025-05-30,85211.82
P000183,INV000170,2025-05-29,48462.98
P000184,INV000171,2025-05-25,43167.89
P000185,INV000172,2025-06-03,79668.94
P000186,INV000173,2025-07-06,62033.27
P000187,INV000175,2025-09-01,107121.85
P000188,INV000176,2025-09-03,33621.87
P000189,INV000176,2025-09-06,12511.91
P000190,INV000177,2025-09-22,59587.08
P000191,INV000178,2025-11-28,34651.06
P000192,INV000178,2025-12-01,25937.38
P000193,INV000179,2025-12-02,38967.67
P000194,INV000183,2024-03-05,6266.65
P000195,INV000184,2024-09-22,600.6
P000196,INV000185,2025-02-24,746.42
P000197,INV000185,2025-02-27,526.43
P000198,INV000186,2025-05-14,1292.01
P000199,INV000187,2025-10-11,6278.44
P000200,INV000188,2025-12-04,2218.62
P000201,INV000189,2024-01-26,4069.37
P000202,INV000190,2024-03-04,1541.21
P000203,INV000191,2024-08-03,1743.83
P000204,INV000191,2024-08-11,2099.85
P000205,INV000192,2024-12-22,1416.39
P000206,INV000193,2025-01-11,425.36
P000207,INV000194,2025-06-23,3411.37
P000208,INV000195,2025-07-23,812.69
P000209,INV000195,2025-07-26,689.46
P000210,INV000196,2025-07-23,1813.42
P000211,INV000196,2025-07-26,1265.63
P000212,INV000199,2024-08-16,98718.17
P000213,INV000200,2024-08-25,37989.11
P000214,INV000201,2024-10-06,70380.9
P000215,INV000202,2024-10-24,49107.02
P000216,INV000203,2024-12-27,29309.94
P000217,INV000204,2025-02-27,41594.26
P000218,INV000205,2025-05-13,44080.3
P000219,INV000205,2025-05-16,26278.05
P000220,INV000206,2025-05-21,43727.28
P000221,INV000207,2025-05-18,59685.48
P000222,INV000210,2025-07-07,42359.92
P000223,INV000211,2025-07-26,31021.03
P000224,INV000212,2025-09-27,26077.56
P000225,INV000213,2025-11-04,65448.11
P000226,INV000214,2025-11-01,130074.93
P000227,INV000215,2025-11-15,33825.59
P000228,INV000216,2025-11-12,72988.14
P000229,INV000217,2025-11-28,78839.07
P000230,INV000221,2024-05-28,4169.19
P000231,INV000222,2024-07-14,895.47
P000232,INV000222,2024-07-17,822.36
P000233,INV000223,2024-08-02,6227.34
P000234,INV000224,2024-10-06,2055.72
P000235,INV000225,2025-12-08,1446.25
P000236,INV000227,2024-01-22,1395.07
P000237,INV000228,2024-07-03,1600.57
P000238,INV000229,2024-09-24,4167.22
P000239,INV000229,2024-09-27,3084.48
P000240,INV000230,2024-10-24,2824.27
P000241,INV000231,2025-03-15,1095.89
P000242,INV000232,2025-03-27,1744.02
P000243,INV000232,2025-03-30,806.22
P000244,INV000233,2025-06-16,4964.18
P000245,INV000234,2025-07-09,3965.38
P000246,INV000235,2024-03-12,2211.39
P000247,INV000235,2024-03-15,2039.41
P000248,INV000236,2024-06-09,1910.33
P000249,INV000236,2024-06-12,1495.45
P000250,INV000237,2024-07-06,786.41
P000251,INV000238,2024-10-28,1636.48
P000252,INV000239,2024-12-10,1498.81
P000253,INV000240,2024-12-10,3828.99
P000254,INV000241,2025-02-16,1897.1
P000255,INV000242,2024-11-30,5764.07
P000256,INV000243,2025-02-01,1185.91
P000257,INV000244,2025-03-21,790.41
P000258,INV000244,2025-03-25,898.33
P000259,INV000245,2025-06-16,3299.57
P000260,INV000246,2024-02-22,27129.76
P000261,INV000247,2024-03-18,4998.56
P000262,INV000247,2024-04-08,4523.61
P000263,INV000248,2024-05-11,17945.41
P000264,INV000249,2024-05-20,9532.95
P000265,INV000250,2024-07-29,5545.45
P000266,INV000251,2024-09-16,8922.13
P000267,INV000252,2024-10-03,16941.26
P000268,INV000253,2024-10-17,10853.24
P000269,INV000254,2024-11-23,18339.51
P000270,INV000255,2025-04-02,10183.24
P000271,INV000256,2025-07-26,7996.71
P000272,INV000257,2025-10-16,9625.6
P000273,INV000258,2025-10-11,7731.45
P000274,INV000258,2025-10-26,3473.73
P000275,INV000261,2024-04-06,2913.85
P000276,INV000263,2024-08-04,1345.19
P000277,INV000264,2024-08-13,1480.19
P000278,INV000265,2024-09-06,805.75
P000279,INV000265,2024-09-09,269.11
P000280,INV000266,2024-10-11,2029.09
P000281,INV000267,2024-11-23,2742.15
P000282,INV000268,2025-01-04,2887.1
P000283,INV000270,2025-04-03,4634.94
P000284,INV000271,2025-11-20,1959.5
P000285,INV000273,2024-03-10,25443.65
P000286,INV000274,2024-04-09,100778.32
P000287,INV000275,2024-05-02,33488.49
P000288,INV000275,2024-05-05,13513.22
P000289,INV000276,2024-07-27,65930.23
P000290,INV000277,2024-08-25,17121.36
P000291,INV000277,2024-08-28,18183.98
P000292,INV000278,2024-09-18,42639.27
P000293,INV000279,2024-11-07,51344.94
P000294,INV000280,2024-11-12,59799.96
P000295,INV000281,2024-11-14,47868.28
P000296,INV000282,2024-11-28,60421.69
P000297,INV000283,2025-02-13,34406.88
P000298,INV000284,2025-02-27,85744.07
P000299,INV000285,2025-03-21,37796.18
P000300,INV000286,2025-04-10,77038.28
P000301,INV000287,2025-05-15,73594.52
P000302,INV000288,2025-06-16,116543.89
P000303,INV000289,2025-07-10,29941.39
P000304,INV000289,2025-07-13,12387.49
P000305,INV000290,2025-08-20,37718.38
P000306,INV000291,2025-09-05,38288.38
P000307,INV000292,2025-08-25,58266.31
P000308,INV000293,2025-09-28,108815.27
P000309,INV000294,2025-10-18,33351.3
P000310,INV000294,2025-10-21,18679.46
P000311,INV000295,2025-11-14,104366.09
P000312,INV000296,2025-11-22,30443.57
P000313,INV000301,2024-05-01,2382.86
P000314,INV000302,2024-06-25,1772.51
P000315,INV000303,2025-01-25,1717.86
P000316,INV000304,2025-06-02,1057.77
P000317,INV000305,2025-06-29,4766.47
P000318,INV000306,2024-02-05,5069.77
P000319,INV000307,2024-03-03,2880.67
P000320,INV000308,2024-03-15,844.87
P000321,INV000309,2024-05-11,2934.58
P000322,INV000310,2024-07-18,4345.29
P000323,INV000310,2024-07-21,1708.1
P000324,INV000311,2024-11-06,5428.5
P000325,INV000312,2025-01-27,1038.13
P000326,INV000313,2025-10-03,4207.07
P000327,INV000314,2025-12-10,1562.75
P000328,INV000316,2024-02-06,7855.96
P000329,INV000317,2024-10-21,8195.36
P000330,INV000317,2024-10-24,9299.67
P000331,INV000318,2025-05-26,9055.44
P000332,INV000319,2025-06-01,18611.63
P000333,INV000320,2025-07-06,14092.96
P000334,INV000321,2025-08-02,5679.78
P000335,INV000322,2025-08-16,31046.21
P000336,INV000323,2025-12-02,15202.19
P000337,INV000324,2025-11-19,10632.9
P000338,INV000327,2024-03-16,40458.96
P000339,INV000328,2024-06-13,55626.23
P000340,INV000329,2024-06-28,46847.86
P000341,INV000330,2024-06-29,40381.96
P000342,INV000330,2024-07-02,40153.08
P000343,INV000331,2024-07-06,27048.88
P000344,INV000331,2024-07-10,32070.22
P000345,INV000332,2024-12-08,45674.27
P000346,INV000333,2025-02-11,37089.16
P000347,INV000334,2025-03-06,54256.34
P000348,INV000335,2025-05-16,60529.91
P000349,INV000336,2025-06-10,69413.55
P000350,INV000337,2025-10-23,96800.76
P000351,INV000338,2025-12-12,50455.06
P000352,INV000342,2024-06-07,4236.14
P000353,INV000343,2024-06-30,2129.95
P000354,INV000344,2024-10-18,3941.9
P000355,INV000345,2024-11-22,4018.93
P000356,INV000346,2025-01-29,2442.01
P000357,INV000347,2025-02-10,969.66
P000358,INV000347,2025-02-13,1021.59
P000359,INV000348,2025-03-08,2039.5
P000360,INV000349,2025-05-12,5402.04
P000361,INV000350,2025-11-06,1271.26
P000362,INV000351,2024-02-14,1994.01
P000363,INV000352,2024-02-21,2045.0
P000364,INV000353,2024-06-29,1615.98
P000365,INV000353,2024-07-02,1346.09
P000366,INV000354,2025-01-07,1673.87
P000367,INV000355,2025-01-11,3882.64
P000368,INV000356,2025-07-04,3526.48
P000369,INV000357,2025-08-15,4352.23
P000370,INV000358,2024-02-28,14747.48
P000371,INV000359,2024-03-03,14332.09
P000372,INV000360,2024-03-23,9271.36
P000373,INV000361,2024-05-22,9054.17
P000374,INV000362,2024-07-12,4214.92
P000375,INV000363,2024-09-07,19511.32
P000376,INV000364,2025-02-07,15750.78
P000377,INV000366,2025-04-14,10651.52
P000378,INV000367,2025-05-10,7795.2
P000379,INV000368,2025-12-28,10538.16
P000380,INV000369,2025-12-30,9191.03
P000381,INV000371,2024-05-19,1447.61
P000382,INV000372,2024-06-05,1462.62
P000383,INV000373,2024-05-08,2738.98
P000384,INV000374,2024-12-04,1832.37
P000385,INV000375,2024-12-20,2000.38
P000386,INV000376,2025-12-19,1581.13
P000387,INV000377,2025-12-27,6818.92
P000388,INV000378,2025-12-31,1896.89
P000389,INV000379,2024-05-21,2143.85
P000390,INV000380,2024-07-16,1674.17
P000391,INV000381,2024-09-08,972.69
P000392,INV000381,2024-09-11,399.47
P000393,INV000382,2025-04-21,2479.45
P000394,INV000383,2024-07-23,7785.92
P000395,INV000384,2024-07-21,9894.5
P000396,INV000385,2024-08-07,13277.79
P000397,INV000386,2024-08-28,11184.36
P000398,INV000387,2024-09-04,5407.66
P000399,INV000389,2025-01-21,14090.78
P000400,INV000391,2025-02-09,15812.03
P000401,INV000392,2025-03-09,14323.69
P000402,INV000393,2025-03-28,5136.04
P000403,INV000393,2025-03-31,6866.96
P000404,INV000394,2025-04-19,5394.59
P000405,INV000394,2025-04-22,2958.56
P000406,INV000395,2025-06-01,8230.88
P000407,INV000396,2025-06-10,7373.94
P000408,INV000397,2025-07-12,12541.33
P000409,INV000398,2025-07-12,10086.58
P000410,INV000399,2025-10-27,8461.29
P000411,INV000400,2025-12-23,4657.8
P000412,INV000400,2025-12-26,4454.52
P000413,INV000402,2024-01-25,15176.36
P000414,INV000403,2024-03-09,10501.25
P000415,INV000404,2024-03-06,4490.07
P000416,INV000405,2024-06-25,7244.65
P000417,INV000406,2024-06-28,9117.2
P000418,INV000407,2024-07-30,8789.05
P000419,INV000408,2024-09-07,7404.02
P000420,INV000409,2024-12-14,7401.34
P000421,INV000410,2025-01-31,12203.38
P000422,INV000411,2025-02-18,9224.62
P000423,INV000412,2025-03-26,8663.64
P000424,INV000413,2025-05-08,5915.9
P000425,INV000414,2025-06-07,4902.24
P000426,INV000415,2025-11-21,10263.59
P000427,INV000416,2025-11-30,9115.97
P000428,INV000417,2025-12-31,9282.14
P000429,INV000418,2024-06-06,86571.26
P000430,INV000419,2024-06-07,48673.99
P000431,INV000421,2024-08-16,57974.16
P000432,INV000422,2024-09-08,44867.1
P000433,INV000423,2024-10-01,37686.99
P000434,INV000424,2024-11-07,64286.13
P000435,INV000425,2024-11-15,43217.0
P000436,INV000425,2024-11-18,20534.14
P000437,INV000426,2024-12-17,38829.08
P000438,INV000427,2025-01-01,35245.16
P000439,INV000428,2025-02-12,70762.79
P000440,INV000430,2025-02-26,74073.81
P000441,INV000431,2025-04-10,94482.09
P000442,INV000432,2025-05-25,37296.42
P000443,INV000433,2025-06-04,36234.0
P000444,INV000434,2025-06-10,71595.21
P000445,INV000435,2025-07-19,64945.96
P000446,INV000436,2025-08-20,66221.26
P000447,INV000437,2025-08-25,29821.26
P000448,INV000438,2025-12-29,66261.16
P000449,INV000439,2024-04-24,6060.44
P000450,INV000440,2024-06-09,9652.55
P000451,INV000441,2024-07-17,9325.67
P000452,INV000442,2024-07-22,9156.39
P000453,INV000443,2024-09-02,17881.28
P000454,INV000444,2024-09-06,3416.28
P000455,INV000445,2024-09-15,6670.06
P000456,INV000445,2024-09-18,5565.03
P000457,INV000446,2024-12-30,7829.7
P000458,INV000447,2025-02-19,15688.96
P000459,INV000448,2025-02-20,13853.12
P000460,INV000449,2025-04-25,9666.18
P000461,INV000450,2025-04-26,9857.28
P000462,INV000451,2025-07-03,8409.7
P000463,INV000452,2025-07-13,6342.94
P000464,INV000453,2025-07-29,15739.23
P000465,INV000454,2025-08-17,13791.11
P000466,INV000455,2025-09-11,19863.23
P000467,INV000456,2025-09-19,3855.42
P000468,INV000457,2025-10-09,16774.53
P000469,INV000458,2025-12-06,10539.02
P000470,INV000462,2024-02-04,2224.36
P000471,INV000463,2024-03-06,3508.9
P000472,INV000464,2024-04-16,1693.14
P000473,INV000465,2024-06-27,1878.24
P000474,INV000466,2024-07-22,6144.95
P000475,INV000467,2024-09-06,4843.7
P000476,INV000468,2024-11-13,1693.71
P000477,INV000469,2025-02-22,1940.26
P000478,INV000470,2025-04-04,2359.24
P000479,INV000471,2024-03-14,76836.4
P000480,INV000472,2024-04-01,86679.67
P000481,INV000473,2024-04-03,42706.32
P000482,INV000474,2024-05-24,12421.06
P000483,INV000474,2024-05-27,17516.34
P000484,INV000475,2024-06-23,29782.46
P000485,INV000476,2024-07-07,83399.56
P000486,INV000477,2024-08-09,35856.33
P000487,INV000478,2024-08-16,37148.73
P000488,INV000479,2024-08-24,30430.18
P000489,INV000480,2024-09-06,92991.87
P000490,INV000481,2024-09-12,50582.04
P000491,INV000482,2024-12-03,35773.9
P000492,INV000483,2024-12-21,69142.93
P000493,INV000484,2024-12-26,33391.69
P000494,INV000485,2025-01-03,59065.03
P000495,INV000486,2025-02-06,49209.62
P000496,INV000487,2025-02-17,55639.41
P000497,INV000488,2025-02-18,35370.02
P000498,INV000489,2025-03-12,87247.79
P000499,INV000490,2025-04-18,28382.18
P000500,INV000491,2025-06-12,23280.13
P000501,INV000491,2025-06-15,8300.95
P000502,INV000492,2025-06-18,53946.11
P000503,INV000493,2025-09-14,44248.21
P000504,INV000494,2025-09-26,60559.78
P000505,INV000494,2025-09-29,25434.99
P000506,INV000495,2025-10-10,57346.13
P000507,INV000496,2025-10-23,28829.02
P000508,INV000497,2025-11-30,62870.51
P000509,INV000498,2025-12-19,54023.24
P000510,INV000499,2025-12-31,74157.12
P000511,INV000503,2024-03-08,1574.48
P000512,INV000503,2024-03-13,900.6
P000513,INV000504,2024-07-29,1593.41
P000514,INV000505,2025-01-29,3058.82
P000515,INV000506,2025-03-14,1225.51
P000516,INV000507,2025-10-12,3078.54
P000517,INV000508,2024-02-19,10717.36
P000518,INV000509,2024-02-15,7693.2
P000519,INV000510,2024-04-28,5285.34
P000520,INV000510,2024-05-01,1776.09
P000521,INV000511,2024-07-22,12454.58
P000522,INV000512,2024-09-18,26899.7
P000523,INV000513,2024-10-26,3828.91
P000524,INV000513,2024-10-29,5574.17
P000525,INV000514,2025-01-21,5253.68
P000526,INV000515,2025-06-09,6422.53
P000527,INV000516,2025-09-19,7330.57
P000528,INV000517,2025-11-23,11485.94
P000529,INV000517,2025-11-26,5334.86
P000530,INV000518,2025-12-23,6475.08
P000531,INV000519,2025-12-31,13880.22
P000532,INV000520,2024-03-17,4048.24
P000533,INV000521,2024-04-17,11491.79
P000534,INV000522,2024-07-12,8446.94
P000535,INV000523,2024-10-19,14772.41
P000536,INV000524,2024-11-08,13076.88
P000537,INV000525,2024-11-21,9080.24
P000538,INV000526,2024-12-13,10159.59
P000539,INV000527,2025-03-24,13157.94
P000540,INV000528,2025-05-31,9111.09
P000541,INV000529,2025-07-05,13635.92
P000542,INV000530,2025-08-02,4996.45
P000543,INV000530,2025-08-05,1698.13
P000544,INV000531,2025-09-03,14147.33
P000545,INV000532,2025-09-25,22826.36
P000546,INV000533,2025-10-01,16196.19
P000547,INV000534,2025-10-21,15085.1
P000548,INV000535,2025-11-30,2166.11
P000549,INV000536,2024-03-10,2614.66
P000550,INV000537,2024-02-06,2165.49
P000551,INV000538,2024-09-25,5199.14
P000552,INV000539,2024-10-11,2260.43
P000553,INV000540,2025-01-10,891.24
P000554,INV000541,2024-12-31,2735.2
P000555,INV000541,2025-01-13,2955.04
P000556,INV000542,2024-12-28,739.15
P000557,INV000542,2024-12-31,813.39
P000558,INV000543,2025-06-21,4143.91
P000559,INV000544,2025-11-01,5077.35
P000560,INV000545,2025-11-05,2733.57
P000561,INV000545,2025-11-26,2902.23
P000562,INV000546,2024-04-02,18874.45
P000563,INV000547,2024-04-13,5661.58
P000564,INV000548,2024-05-12,12167.22
P000565,INV000549,2024-05-30,11159.37
P000566,INV000550,2024-10-04,8857.48
P000567,INV000551,2024-11-16,7193.37
P000568,INV000552,2024-12-29,9496.34
P000569,INV000553,2025-01-03,8846.23
P000570,INV000554,2025-02-25,32465.62
P000571,INV000555,2025-03-24,4363.24
P000572,INV000556,2025-04-12,13919.98
P000573,INV000557,2025-06-16,10189.64
P000574,INV000558,2025-08-01,7404.24
P000575,INV000559,2025-10-09,5998.99
P000576,INV000559,2025-10-12,4117.76
P000577,INV000560,2025-11-17,5288.97
P000578,INV000563,2024-01-18,2387.53
P000579,INV000564,2024-02-07,1587.61
P000580,INV000565,2024-03-07,1506.62
P000581,INV000565,2024-03-10,1320.93
P000582,INV000566,2024-08-18,2308.76
P000583,INV000567,2024-10-01,2281.24
P000584,INV000568,2025-05-22,1683.56
P000585,INV000568,2025-05-25,1288.26
P000586,INV000569,2025-06-14,2521.92
P000587,INV000569,2025-06-17,2239.46
P000588,INV000570,2025-10-27,1242.46
P000589,INV000570,2025-10-30,840.74
P000590,INV000571,2025-11-08,1525.74
P000591,INV000571,2025-11-11,719.48
P000592,INV000572,2024-02-24,3627.01
P000593,INV000573,2024-03-08,1075.86
P000594,INV000574,2024-09-24,1955.12
P000595,INV000575,2025-05-07,3646.42
P000596,INV000576,2025-07-27,3983.9
P000597,INV000577,2025-09-26,1980.57
P000598,INV000578,2025-10-29,1840.66
P000599,INV000579,2024-05-03,3066.93
P000600,INV000580,2024-06-06,1846.61
P000601,INV000581,2024-07-26,2510.72
P000602,INV000582,2025-09-28,2304.05
P000603,INV000583,2024-02-05,10613.43
P000604,INV000584,2024-02-29,11451.21
P000605,INV000585,2024-04-03,10439.34
P000606,INV000586,2024-04-11,4070.47
P000607,INV000586,2024-04-14,2699.83
P000608,INV000587,2024-04-26,11816.13
P000609,INV000588,2024-06-19,6980.31
P000610,INV000589,2024-06-27,9811.27
P000611,INV000590,2024-07-13,6235.47
P000612,INV000591,2024-08-05,7832.51
P000613,INV000592,2024-09-05,18963.44
P000614,INV000593,2024-09-11,6610.76
P000615,INV000594,2024-11-10,11715.72
P000616,INV000595,2024-11-14,12383.02
P000617,INV000596,2025-02-08,7343.26
P000618,INV000597,2025-04-13,37847.91
P000619,INV000598,2025-09-04,6894.74
P000620,INV000598,2025-09-09,4844.15
P000621,INV000599,2025-10-07,14849.77
P000622,INV000600,2025-11-30,16044.51
P000623,INV000603,2024-03-21,2139.52
P000624,INV000604,2024-06-09,891.38
P000625,INV000605,2024-06-27,1603.81
P000626,INV000606,2024-12-26,3911.89
P000627,INV000607,2025-01-10,3975.8
P000628,INV000608,2025-06-09,2780.92
P000629,INV000609,2025-11-21,1044.62
P000630,INV000611,2024-03-11,71755.59
P000631,INV000612,2024-04-25,23662.02
P000632,INV000612,2024-04-28,8548.59
P000633,INV000613,2024-05-12,58956.34
P000634,INV000614,2024-05-14,60317.36
P000635,INV000615,2024-05-20,55724.33
P000636,INV000616,2024-05-26,47816.27
P000637,INV000617,2024-06-03,55246.44
P000638,INV000618,2024-06-25,31903.06
P000639,INV000619,2024-07-11,35382.24
P000640,INV000620,2024-07-18,40766.58
P000641,INV000621,2024-08-23,37539.21
P000642,INV000622,2024-11-14,24309.49
P000643,INV000623,2025-01-04,100012.93
P000644,INV000624,2025-01-17,42173.43
P000645,INV000625,2025-02-07,31172.09
P000646,INV000626,2025-02-18,22263.46
P000647,INV000626,2025-02-21,16672.03
P000648,INV000627,2025-04-17,63830.61
P000649,INV000628,2025-05-25,91951.42
P000650,INV000629,2025-06-27,23375.27
P000651,INV000629,2025-06-30,23068.42
P000652,INV000630,2025-07-31,17389.91
P000653,INV000631,2025-08-12,51150.04
P000654,INV000632,2025-09-28,68523.34
P000655,INV000633,2025-10-08,59018.54
P000656,INV000634,2025-10-24,36984.93
P000657,INV000635,2025-11-06,46148.33
P000658,INV000636,2025-11-09,81721.74
P000659,INV000638,2025-12-04,40027.58
P000660,INV000639,2025-12-14,30658.78
P000661,INV000640,2025-12-18,32525.92
P000662,INV000640,2025-12-21,29032.45
P000663,INV000641,2025-12-20,44613.63
P000664,INV000643,2024-04-07,2359.58
P000665,INV000644,2024-09-14,2973.92
P000666,INV000645,2024-12-07,6032.56
