employee_id,hire_month,department,channel,level,comp_ratio,manager_span,overtime_hours_monthly,avg_engagement_score,tenure_months,months_observable,terminated_voluntary
EMP-00046,2025-12,Sales,Job Board,Senior,1.077,7,18.2,48.8,1,1,No
EMP-00047,2025-12,Sales,Job Board,Senior,1.112,8,2.7,70.8,1,1,No
EMP-00048,2024-01,Sales,Employee Referral,Entry,0.929,5,11.3,69.6,23,23,No
EMP-00049,2024-01,Sales,Employee Referral,Manager,1.076,3,9.8,47.4,23,23,Yes
EMP-00050,2024-02,Sales,Employee Referral,Entry,0.973,4,2.0,54.4,22,22,No
EMP-00051,2024-02,Sales,Employee Referral,Mid,0.993,6,15.2,74.4,5,22,Yes
EMP-00052,2024-02,Sales,Employee Referral,Entry,1.059,11,13.4,42.8,6,22,Yes
EMP-00053,2024-03,Sales,Employee Referral,Entry,1.03,9,4.2,68.0,21,21,No
EMP-00054,2024-03,Sales,Employee Referral,Entry,0.927,4,12.6,57.2,21,21,No
EMP-00055,2024-03,Sales,Employee Referral,Mid,1.027,7,0.9,72.4,13,21,Yes
EMP-00056,2024-04,Sales,Employee Referral,Entry,1.006,6,6.3,61.6,20,20,No
EMP-00057,2024-06,Sales,Employee Referral,Mid,1.023,3,13.3,57.6,18,18,No
EMP-00058,2024-06,Sales,Employee Referral,Entry,1.02,6,1.4,77.2,18,18,No
EMP-00059,2024-06,Sales,Employee Referral,Entry,0.999,9,5.7,81.9,3,18,Yes
EMP-00060,2024-06,Sales,Employee Referral,Entry,0.942,8,0.3,67.5,4,18,Yes
EMP-00061,2024-07,Sales,Employee Referral,Manager,1.01,5,11.8,47.4,17,17,No
EMP-00062,2024-07,Sales,Employee Referral,Mid,1.096,5,6.5,64.6,17,17,No
EMP-00063,2024-07,Sales,Employee Referral,Manager,0.872,5,3.1,71.7,17,17,No
EMP-00064,2024-08,Sales,Employee Referral,Mid,1.038,10,9.0,47.3,16,16,No
EMP-00065,2024-09,Sales,Employee Referral,Entry,0.912,5,2.4,82.1,15,15,No
EMP-00066,2024-09,Sales,Employee Referral,Mid,1.1,9,5.2,58.9,15,15,No
EMP-00067,2024-10,Sales,Employee Referral,Mid,0.924,8,6.6,86.5,14,14,No
EMP-00068,2024-11,Sales,Employee Referral,Entry,0.962,9,2.7,75.1,13,13,No
EMP-00069,2024-11,Sales,Employee Referral,Entry,0.963,3,5.0,50.4,13,13,No
EMP-00070,2024-12,Sales,Employee Referral,Entry,1.173,6,10.5,83.2,12,12,No
EMP-00071,2025-01,Sales,Employee Referral,Entry,1.024,6,2.4,76.7,11,11,No
EMP-00072,2025-02,Sales,Employee Referral,Mid,0.954,8,12.7,70.3,10,10,No
EMP-00073,2025-02,Sales,Employee Referral,Entry,0.832,6,7.7,55.0,2,10,Yes
EMP-00074,2025-03,Sales,Employee Referral,Manager,1.025,7,12.1,85.9,9,9,No
EMP-00075,2025-03,Sales,Employee Referral,Mid,0.941,8,3.2,96.3,9,9,No
EMP-00076,2025-03,Sales,Employee Referral,Senior,0.926,5,0.0,71.7,9,9,No
EMP-00077,2025-04,Sales,Employee Referral,Entry,0.899,3,10.3,54.0,8,8,No
EMP-00078,2025-05,Sales,Employee Referral,Entry,0.79,8,6.4,76.8,7,7,No
EMP-00079,2025-05,Sales,Employee Referral,Manager,1.019,6,0.0,70.0,7,7,No
EMP-00080,2025-05,Sales,Employee Referral,Senior,1.023,3,12.4,77.9,7,7,No
EMP-00081,2025-06,Sales,Employee Referral,Senior,0.974,3,6.9,57.7,6,6,No
EMP-00082,2025-07,Sales,Employee Referral,Entry,1.138,10,9.3,60.0,5,5,No
EMP-00083,2025-07,Sales,Employee Referral,Mid,0.998,8,4.4,63.7,5,5,No
EMP-00084,2025-08,Sales,Employee Referral,Entry,0.857,9,11.0,55.6,4,4,No
EMP-00085,2025-08,Sales,Employee Referral,Entry,1.151,9,0.0,64.3,4,4,No
EMP-00086,2025-08,Sales,Employee Referral,Entry,0.878,5,5.3,65.1,4,4,No
EMP-00087,2025-09,Sales,Employee Referral,Mid,0.902,3,4.5,65.5,3,3,No
EMP-00088,2025-09,Sales,Employee Referral,Mid,1.088,7,2.6,98.0,3,3,No
EMP-00089,2025-09,Sales,Employee Referral,Mid,0.878,5,6.2,84.2,3,3,No
EMP-00090,2025-09,Sales,Employee Referral,Mid,0.854,8,2.3,42.1,3,3,No
EMP-00091,2025-10,Sales,Employee Referral,Mid,1.012,3,13.8,62.4,2,2,No
EMP-00092,2025-10,Sales,Employee Referral,Mid,1.094,5,5.4,62.8,2,2,No
EMP-00093,2025-10,Sales,Employee Referral,Mid,1.22,4,4.6,98.8,2,2,No
EMP-00094,2025-11,Sales,Employee Referral,Entry,1.105,7,11.2,84.2,1,1,No
EMP-00095,2025-11,Sales,Employee Referral,Entry,0.88,6,9.1,65.5,1,1,No
EMP-00096,2025-11,Sales,Employee Referral,Entry,0.872,10,14.6,62.5,1,1,No
EMP-00097,2025-12,Sales,Employee Referral,Entry,1.072,7,5.4,81.3,1,1,No
EMP-00098,2025-12,Sales,Employee Referral,Senior,0.938,8,6.2,65.6,1,1,No
EMP-00099,2025-12,Sales,Employee Referral,Mid,0.884,8,12.8,71.5,1,1,No
EMP-00100,2025-12,Sales,Employee Referral,Entry,0.876,6,2.3,50.7,1,1,No
EMP-00101,2024-01,Sales,Agency,Mid,1.053,8,10.1,92.6,23,23,No
EMP-00102,2024-02,Sales,Agency,Mid,1.042,7,0.0,47.7,22,22,No
EMP-00103,2024-02,Sales,Agency,Mid,0.961,6,0.0,75.9,22,22,No
EMP-00104,2024-02,Sales,Agency,Entry,0.977,7,0.0,88.0,1,22,Yes
EMP-00105,2024-03,Sales,Agency,Entry,0.933,5,11.2,69.1,21,21,No
EMP-00106,2024-03,Sales,Agency,Entry,0.979,6,0.2,57.4,21,21,No
EMP-00107,2024-04,Sales,Agency,Entry,0.983,5,13.5,63.8,12,20,Yes
EMP-00108,2024-04,Sales,Agency,Entry,1.094,3,7.4,57.8,20,20,No
EMP-00109,2024-05,Sales,Agency,Senior,1.075,4,11.1,34.8,19,19,No
EMP-00110,2024-05,Sales,Agency,Entry,0.956,4,10.9,87.2,1,19,Yes
EMP-00111,2024-06,Sales,Agency,Senior,1.026,8,2.9,77.1,18,18,No
EMP-00112,2024-06,Sales,Agency,Entry,0.75,8,7.4,53.2,18,18,No
EMP-00113,2024-07,Sales,Agency,Mid,1.119,5,1.4,51.3,17,17,No
EMP-00114,2024-08,Sales,Agency,Entry,0.761,6,0.7,64.0,6,16,Yes
EMP-00115,2024-08,Sales,Agency,Manager,0.956,6,0.0,65.3,4,16,Yes
EMP-00116,2024-09,Sales,Agency,Mid,1.021,6,2.4,74.8,3,15,Yes
EMP-00117,2024-10,Sales,Agency,Manager,0.898,3,4.5,66.2,14,14,No
EMP-00118,2024-11,Sales,Agency,Mid,0.947,9,0.5,95.8,13,13,No
EMP-00119,2024-11,Sales,Agency,Mid,0.925,5,4.5,72.4,1,13,Yes
EMP-00120,2024-12,Sales,Agency,Mid,1.011,8,10.4,70.2,12,12,No
EMP-00121,2024-12,Sales,Agency,Mid,0.968,5,0.0,59.7,12,12,No
EMP-00122,2025-01,Sales,Agency,Entry,1.014,5,8.8,73.8,11,11,No
EMP-00123,2025-01,Sales,Agency,Entry,1.147,5,0.0,56.5,11,11,No
EMP-00124,2025-02,Sales,Agency,Senior,0.902,8,5.7,65.3,10,10,No
EMP-00125,2025-02,Sales,Agency,Manager,1.008,6,0.0,71.5,10,10,No
EMP-00126,2025-03,Sales,Agency,Mid,0.97,4,2.8,56.2,9,9,No
EMP-00127,2025-03,Sales,Agency,Entry,0.917,5,10.9,70.7,9,9,No
EMP-00128,2025-04,Sales,Agency,Entry,1.075,5,7.4,57.3,8,8,No
EMP-00129,2025-04,Sales,Agency,Mid,1.114,4,19.6,97.9,8,8,No
EMP-00130,2025-05,Sales,Agency,Entry,1.039,4,8.2,80.3,1,7,Yes
EMP-00131,2025-06,Sales,Agency,Mid,1.007,10,6.3,94.4,6,6,No
EMP-00132,2025-06,Sales,Agency,Senior,1.169,6,0.0,74.0,6,6,No
EMP-00133,2025-06,Sales,Agency,Senior,1.016,7,5.6,26.6,6,6,No
EMP-00134,2025-07,Sales,Agency,Entry,1.131,10,7.6,73.1,5,5,No
EMP-00135,2025-08,Sales,Agency,Entry,1.103,9,0.0,60.0,4,4,No
EMP-00136,2025-08,Sales,Agency,Entry,0.911,8,17.1,98.0,4,4,No
EMP-00137,2025-09,Sales,Agency,Mid,0.92,9,0.0,65.9,3,3,No
EMP-00138,2025-09,Sales,Agency,Entry,0.94,7,11.5,75.2,3,3,No
EMP-00139,2025-10,Sales,Agency,Mid,1.057,9,10.1,51.7,2,2,No
EMP-00140,2025-10,Sales,Agency,Entry,0.921,9,0.0,54.6,2,2,No
EMP-00141,2025-11,Sales,Agency,Mid,0.958,10,10.0,32.8,1,1,No
EMP-00142,2025-11,Sales,Agency,Manager,1.174,3,1.3,65.0,1,1,No
EMP-00143,2025-12,Sales,Agency,Mid,1.148,4,5.8,73.9,1,1,No
EMP-00144,2024-01,Sales,Campus,Entry,0.878,5,0.0,64.8,23,23,No
EMP-00145,2024-02,Sales,Campus,Manager,0.953,8,0.0,35.6,22,22,No
EMP-00146,2024-03,Sales,Campus,Manager,0.983,8,0.0,49.6,21,21,No
EMP-00147,2024-04,Sales,Campus,Mid,0.995,8,5.1,88.6,3,20,Yes
EMP-00148,2024-05,Sales,Campus,Mid,0.791,4,8.2,70.2,18,19,Yes
EMP-00149,2024-06,Sales,Campus,Entry,1.065,5,0.0,78.9,18,18,No
EMP-00150,2024-07,Sales,Campus,Entry,0.98,3,0.0,51.8,17,17,No
EMP-00151,2024-08,Sales,Campus,Senior,1.041,6,2.5,69.0,16,16,No
EMP-00152,2024-09,Sales,Campus,Mid,1.064,12,3.0,97.7,15,15,No
EMP-00153,2024-11,Sales,Campus,Mid,1.02,5,8.1,43.8,13,13,No
EMP-00154,2024-12,Sales,Campus,Entry,0.963,3,23.9,81.4,12,12,No
EMP-00155,2025-01,Sales,Campus,Manager,1.036,8,4.1,68.1,11,11,No
EMP-00156,2025-02,Sales,Campus,Entry,0.865,6,13.8,68.6,3,10,Yes
EMP-00157,2025-03,Sales,Campus,Entry,1.052,12,6.4,64.7,9,9,No
EMP-00158,2025-04,Sales,Campus,Entry,1.071,5,9.0,45.6,3,8,Yes
EMP-00159,2025-05,Sales,Campus,Entry,1.091,8,13.2,52.0,2,7,Yes
EMP-00160,2025-06,Sales,Campus,Entry,0.808,7,10.0,61.4,2,6,Yes
EMP-00161,2025-07,Sales,Campus,Mid,0.915,4,5.1,74.7,3,5,Yes
EMP-00162,2025-09,Sales,Campus,Entry,1.025,9,2.2,53.3,3,3,No
EMP-00163,2025-10,Sales,Campus,Mid,1.023,5,5.5,48.6,2,2,No
EMP-00164,2025-12,Sales,Campus,Entry,0.995,6,11.2,39.3,1,1,No
EMP-00165,2025-12,Sales,Campus,Entry,0.923,8,0.0,78.7,1,1,No
EMP-00166,2024-01,Sales,Internal Transfer,Entry,0.944,7,0.0,71.9,23,23,No
EMP-00167,2024-02,Sales,Internal Transfer,Mid,0.878,9,6.4,65.0,22,22,No
EMP-00168,2024-02,Sales,Internal Transfer,Senior,0.998,9,3.4,59.1,22,22,No
EMP-00169,2024-03,Sales,Internal Transfer,Entry,1.013,9,0.0,81.5,1,21,Yes
EMP-00170,2024-03,Sales,Internal Transfer,Entry,0.877,8,7.0,47.9,21,21,No
EMP-00171,2024-04,Sales,Internal Transfer,Entry,1.018,3,8.3,63.9,20,20,No
EMP-00172,2024-04,Sales,Internal Transfer,Entry,0.76,10,1.3,56.5,20,20,No
EMP-00173,2024-04,Sales,Internal Transfer,Entry,1.009,6,14.3,64.3,20,20,No
EMP-00174,2024-05,Sales,Internal Transfer,Mid,0.982,7,0.0,54.7,19,19,No
EMP-00175,2024-05,Sales,Internal Transfer,Senior,0.869,11,6.3,60.8,19,19,No
EMP-00176,2024-06,Sales,Internal Transfer,Entry,1.111,8,0.0,58.7,6,18,Yes
EMP-00177,2024-06,Sales,Internal Transfer,Manager,0.923,7,0.0,54.5,18,18,No
EMP-00178,2024-07,Sales,Internal Transfer,Entry,1.025,5,10.6,40.2,11,17,Yes
EMP-00179,2024-07,Sales,Internal Transfer,Entry,0.977,3,12.8,66.8,3,17,Yes
EMP-00180,2024-08,Sales,Internal Transfer,Senior,1.05,4,1.1,43.1,3,16,Yes
EMP-00181,2024-09,Sales,Internal Transfer,Senior,0.802,7,16.1,60.2,15,15,No
EMP-00182,2024-09,Sales,Internal Transfer,Mid,0.957,6,5.9,67.5,15,15,No
EMP-00183,2024-10,Sales,Internal Transfer,Senior,0.983,6,7.1,83.4,1,14,Yes
EMP-00184,2024-10,Sales,Internal Transfer,Mid,0.978,5,9.4,43.5,7,14,Yes
EMP-00185,2024-11,Sales,Internal Transfer,Mid,1.08,6,0.0,68.0,13,13,No
EMP-00186,2024-11,Sales,Internal Transfer,Entry,0.98,4,18.7,79.6,13,13,No
EMP-00187,2024-11,Sales,Internal Transfer,Mid,1.25,6,0.0,59.9,2,13,Yes
EMP-00188,2024-12,Sales,Internal Transfer,Entry,0.818,8,10.9,41.1,12,12,No
EMP-00189,2025-01,Sales,Internal Transfer,Entry,0.85,3,7.6,64.6,11,11,No
EMP-00190,2025-01,Sales,Internal Transfer,Entry,0.988,6,1.1,61.5,11,11,Yes
EMP-00191,2025-02,Sales,Internal Transfer,Entry,0.962,8,0.6,58.6,10,10,No
EMP-00192,2025-02,Sales,Internal Transfer,Mid,0.944,8,0.7,61.5,10,10,No
EMP-00193,2025-02,Sales,Internal Transfer,Mid,1.063,9,6.0,95.2,10,10,No
EMP-00194,2025-03,Sales,Internal Transfer,Entry,0.898,8,0.0,61.8,9,9,No
EMP-00195,2025-03,Sales,Internal Transfer,Mid,1.124,7,3.5,66.7,9,9,No
EMP-00196,2025-03,Sales,Internal Transfer,Entry,1.057,3,0.0,74.5,9,9,No
EMP-00197,2025-04,Sales,Internal Transfer,Entry,1.132,6,6.4,71.7,8,8,No
EMP-00198,2025-05,Sales,Internal Transfer,Mid,0.934,11,7.2,28.7,7,7,No
EMP-00199,2025-05,Sales,Internal Transfer,Senior,1.048,8,12.4,68.6,7,7,No
EMP-00200,2025-06,Sales,Internal Transfer,Entry,0.944,7,8.3,55.9,6,6,No
EMP-00201,2025-06,Sales,Internal Transfer,Senior,1.051,7,4.4,77.6,6,6,No
EMP-00202,2025-07,Sales,Internal Transfer,Entry,1.014,10,5.0,58.5,5,5,No
EMP-00203,2025-07,Sales,Internal Transfer,Entry,0.927,5,11.0,60.3,5,5,No
EMP-00204,2025-08,Sales,Internal Transfer,Mid,1.097,6,8.3,52.7,4,4,No
EMP-00205,2025-08,Sales,Internal Transfer,Senior,0.984,10,6.4,43.9,4,4,No
EMP-00206,2025-09,Sales,Internal Transfer,Entry,0.846,8,9.7,76.6,3,3,No
EMP-00207,2025-09,Sales,Internal Transfer,Mid,0.898,6,1.0,77.8,3,3,No
EMP-00208,2025-11,Sales,Internal Transfer,Entry,1.001,5,11.6,51.1,1,1,No
EMP-00209,2025-12,Sales,Internal Transfer,Mid,1.052,11,0.0,46.3,1,1,No
EMP-00210,2025-12,Sales,Internal Transfer,Mid,1.142,9,9.3,39.6,1,1,No
EMP-00211,2024-01,Customer Support,Job Board,Entry,1.006,7,6.8,77.3,23,23,No
EMP-00212,2024-01,Customer Support,Job Board,Senior,0.817,4,5.5,59.1,23,23,No
EMP-00213,2024-02,Customer Support,Job Board,Mid,1.146,6,6.2,90.5,3,22,Yes
EMP-00214,2024-02,Customer Support,Job Board,Mid,0.995,7,0.0,64.6,7,22,Yes
EMP-00215,2024-02,Customer Support,Job Board,Mid,0.959,8,7.1,79.4,22,22,No
EMP-00216,2024-02,Customer Support,Job Board,Entry,1.065,4,12.3,54.8,22,22,No
EMP-00217,2024-03,Customer Support,Job Board,Entry,0.932,11,0.5,75.4,21,21,No
EMP-00218,2024-03,Customer Support,Job Board,Entry,0.969,5,0.0,46.3,21,21,No
EMP-00219,2024-04,Customer Support,Job Board,Entry,0.889,3,10.7,76.1,19,20,Yes
EMP-00220,2024-04,Customer Support,Job Board,Entry,0.912,3,0.3,66.7,1,20,Yes
EMP-00221,2024-05,Customer Support,Job Board,Entry,0.863,12,0.0,71.3,19,19,No
EMP-00222,2024-05,Customer Support,Job Board,Mid,1.016,3,12.1,60.3,19,19,No
EMP-00223,2024-06,Customer Support,Job Board,Manager,1.121,4,0.0,43.3,1,18,Yes
EMP-00224,2024-07,Customer Support,Job Board,Entry,1.069,11,1.3,84.5,17,17,No
EMP-00225,2024-07,Customer Support,Job Board,Mid,0.974,6,9.6,34.2,5,17,Yes
EMP-00226,2024-08,Customer Support,Job Board,Entry,0.903,9,9.4,78.6,16,16,No
EMP-00227,2024-08,Customer Support,Job Board,Senior,1.032,4,6.5,57.8,16,16,No
EMP-00228,2024-09,Customer Support,Job Board,Entry,0.759,9,0.0,63.6,15,15,No
EMP-00229,2024-09,Customer Support,Job Board,Mid,1.082,5,20.1,85.1,4,15,Yes
EMP-00230,2024-10,Customer Support,Job Board,Entry,0.919,9,10.1,71.7,14,14,No
EMP-00231,2024-10,Customer Support,Job Board,Entry,0.952,9,16.5,68.3,14,14,No
EMP-00232,2024-11,Customer Support,Job Board,Entry,0.941,8,0.0,60.5,13,13,No
EMP-00233,2024-11,Customer Support,Job Board,Senior,1.033,6,3.5,59.4,13,13,No
EMP-00234,2024-12,Customer Support,Job Board,Mid,1.048,7,11.0,58.8,12,12,No
EMP-00235,2024-12,Customer Support,Job Board,Mid,0.863,6,13.6,52.1,12,12,No
EMP-00236,2025-01,Customer Support,Job Board,Entry,0.904,7,0.0,95.4,11,11,No
EMP-00237,2025-02,Customer Support,Job Board,Mid,0.936,4,0.0,70.6,10,10,No
EMP-00238,2025-02,Customer Support,Job Board,Senior,1.054,8,0.0,82.8,10,10,No
EMP-00239,2025-02,Customer Support,Job Board,Entry,0.935,5,3.9,57.3,10,10,No
EMP-00240,2025-03,Customer Support,Job Board,Mid,1.084,8,3.3,67.4,9,9,No
EMP-00241,2025-03,Customer Support,Job Board,Mid,1.059,7,7.3,84.5,9,9,No
EMP-00242,2025-04,Customer Support,Job Board,Senior,0.911,6,16.6,64.9,1,8,Yes
EMP-00243,2025-04,Customer Support,Job Board,Mid,0.904,7,9.2,64.1,3,8,Yes
EMP-00244,2025-04,Customer Support,Job Board,Entry,1.0,4,11.7,55.7,1,8,Yes
EMP-00245,2025-05,Customer Support,Job Board,Mid,0.95,6,4.3,80.2,7,7,No
EMP-00246,2025-05,Customer Support,Job Board,Entry,0.859,3,0.0,49.7,7,7,No
EMP-00247,2025-06,Customer Support,Job Board,Manager,1.016,9,0.4,64.0,6,6,No
EMP-00248,2025-06,Customer Support,Job Board,Mid,0.862,10,0.0,42.4,6,6,No
EMP-00249,2025-07,Customer Support,Job Board,Mid,1.094,9,8.1,90.9,5,5,No
EMP-00250,2025-07,Customer Support,Job Board,Mid,0.85,8,2.9,73.6,5,5,No
EMP-00251,2025-08,Customer Support,Job Board,Mid,1.098,7,1.8,84.6,4,4,No
EMP-00252,2025-08,Customer Support,Job Board,Senior,1.075,7,0.0,74.1,4,4,No
EMP-00253,2025-08,Customer Support,Job Board,Entry,0.901,8,17.3,77.9,4,4,No
EMP-00254,2025-09,Customer Support,Job Board,Mid,1.02,9,23.9,54.8,3,3,Yes
EMP-00255,2025-09,Customer Support,Job Board,Manager,1.034,4,0.4,48.6,3,3,No
EMP-00256,2025-10,Customer Support,Job Board,Entry,0.78,5,0.0,54.7,2,2,No
EMP-00257,2025-10,Customer Support,Job Board,Entry,1.002,7,8.3,64.1,2,2,No
EMP-00258,2025-10,Customer Support,Job Board,Entry,0.892,7,3.0,37.8,2,2,No
EMP-00259,2025-11,Customer Support,Job Board,Entry,1.162,3,5.4,43.5,1,1,No
EMP-00260,2025-11,Customer Support,Job Board,Senior,1.168,9,13.9,71.9,1,1,No
EMP-00261,2025-11,Customer Support,Job Board,Senior,0.878,6,10.4,71.9,1,1,No
EMP-00262,2025-12,Customer Support,Job Board,Mid,1.152,3,0.0,71.9,1,1,No
EMP-00263,2025-12,Customer Support,Job Board,Mid,0.884,6,8.6,71.3,1,1,No
EMP-00264,2024-01,Customer Support,Employee Referral,Mid,1.047,4,2.6,58.3,23,23,No
EMP-00265,2024-01,Customer Support,Employee Referral,Senior,1.063,5,0.0,77.3,1,23,Yes
EMP-00266,2024-02,Customer Support,Employee Referral,Entry,0.863,7,6.4,54.8,22,22,No
EMP-00267,2024-02,Customer Support,Employee Referral,Entry,0.989,11,9.4,52.4,22,22,No
EMP-00268,2024-03,Customer Support,Employee Referral,Entry,0.986,9,4.8,63.4,21,21,No
EMP-00269,2024-03,Customer Support,Employee Referral,Entry,0.962,3,21.4,63.5,7,21,Yes
EMP-00270,2024-04,Customer Support,Employee Referral,Entry,0.991,7,9.9,66.7,20,20,No
EMP-00271,2024-04,Customer Support,Employee Referral,Senior,0.929,3,7.2,47.7,20,20,No
EMP-00272,2024-04,Customer Support,Employee Referral,Entry,0.973,7,7.8,82.5,20,20,No
EMP-00273,2024-05,Customer Support,Employee Referral,Entry,0.814,8,8.6,49.1,19,19,No
EMP-00274,2024-05,Customer Support,Employee Referral,Manager,0.926,9,9.1,49.9,12,19,Yes
EMP-00275,2024-06,Customer Support,Employee Referral,Mid,1.054,9,0.8,56.1,18,18,No
EMP-00276,2024-06,Customer Support,Employee Referral,Entry,1.075,9,4.3,43.1,18,18,No
EMP-00277,2024-07,Customer Support,Employee Referral,Mid,0.999,8,0.0,78.9,5,17,Yes
EMP-00278,2024-07,Customer Support,Employee Referral,Mid,1.087,8,0.0,68.5,17,17,No
EMP-00279,2024-07,Customer Support,Employee Referral,Mid,1.016,4,2.2,58.2,17,17,No
EMP-00280,2024-07,Customer Support,Employee Referral,Mid,1.061,3,7.7,91.9,17,17,No
EMP-00281,2024-08,Customer Support,Employee Referral,Entry,0.998,5,0.0,51.4,16,16,No
EMP-00282,2024-08,Customer Support,Employee Referral,Manager,1.197,6,0.0,80.4,16,16,No
EMP-00283,2024-09,Customer Support,Employee Referral,Senior,1.025,7,0.3,74.3,15,15,No
EMP-00284,2024-09,Customer Support,Employee Referral,Senior,1.157,9,5.5,45.3,15,15,No
EMP-00285,2024-10,Customer Support,Employee Referral,Entry,1.055,8,0.0,66.6,14,14,No
EMP-00286,2024-10,Customer Support,Employee Referral,Mid,0.897,3,4.2,67.2,14,14,No
EMP-00287,2024-11,Customer Support,Employee Referral,Entry,0.847,7,1.5,79.3,13,13,No
EMP-00288,2024-11,Customer Support,Employee Referral,Mid,0.959,9,0.5,53.1,13,13,No
EMP-00289,2024-12,Customer Support,Employee Referral,Mid,1.066,6,5.7,67.7,12,12,No
EMP-00290,2024-12,Customer Support,Employee Referral,Senior,1.023,7,0.0,88.4,12,12,No
EMP-00291,2024-12,Customer Support,Employee Referral,Entry,0.974,9,5.9,77.5,12,12,No
EMP-00292,2025-01,Customer Support,Employee Referral,Entry,0.924,8,13.4,85.7,11,11,No
EMP-00293,2025-01,Customer Support,Employee Referral,Entry,1.093,8,0.0,76.4,11,11,No
EMP-00294,2025-01,Customer Support,Employee Referral,Manager,1.08,5,9.7,57.9,11,11,No
EMP-00295,2025-02,Customer Support,Employee Referral,Manager,1.177,4,2.8,66.5,1,10,Yes
EMP-00296,2025-02,Customer Support,Employee Referral,Mid,1.298,8,5.8,66.2,10,10,No
