sku,category,unit_cost,unit_price,base_weekly_demand,demand_cv,lead_time_days_mean,lead_time_days_std,reorder_point_current
SKU-0137,Outdoor & Sporting,25.21,38.67,50.9,0.365,33.1,3.7,153.0
SKU-0138,Outdoor & Sporting,69.44,126.95,44.3,0.477,34.3,4.7,133.0
SKU-0139,Outdoor & Sporting,52.14,82.37,66.4,0.596,34.7,7.3,199.0
SKU-0140,Outdoor & Sporting,43.0,64.24,81.5,0.437,31.8,14.3,244.0
SKU-0141,Outdoor & Sporting,11.85,21.54,118.1,0.637,38.8,8.2,354.0
SKU-0142,Outdoor & Sporting,10.57,16.37,43.9,0.55,33.0,9.7,132.0
SKU-0143,Outdoor & Sporting,15.59,24.53,100.5,0.579,28.0,9.2,302.0
SKU-0144,Outdoor & Sporting,17.57,29.71,46.3,0.623,36.3,12.4,139.0
SKU-0145,Outdoor & Sporting,30.13,47.57,39.3,0.695,38.1,10.8,118.0
SKU-0146,Outdoor & Sporting,42.83,72.17,92.2,0.5,34.6,11.4,277.0
SKU-0147,Outdoor & Sporting,67.13,118.69,77.5,0.602,33.9,10.4,232.0
SKU-0148,Outdoor & Sporting,63.44,94.6,42.7,0.452,38.5,7.1,128.0
SKU-0149,Outdoor & Sporting,57.19,92.74,53.8,0.361,35.7,6.8,161.0
SKU-0150,Outdoor & Sporting,68.66,106.31,38.9,0.685,34.1,12.2,117.0
SKU-0151,Outdoor & Sporting,40.31,59.38,49.4,0.661,29.7,13.2,148.0
SKU-0152,Outdoor & Sporting,40.15,71.91,67.6,0.556,32.3,10.8,203.0
SKU-0153,Pet Supplies,17.86,31.85,49.4,0.482,20.9,5.0,148.0
SKU-0154,Pet Supplies,21.2,35.68,53.1,0.452,19.6,5.2,159.0
SKU-0155,Pet Supplies,10.19,19.18,43.7,0.531,23.9,7.1,131.0
SKU-0156,Pet Supplies,30.79,50.87,46.8,0.529,20.2,9.3,140.0
SKU-0157,Pet Supplies,15.02,26.46,84.1,0.413,22.6,7.4,252.0
SKU-0158,Pet Supplies,21.26,35.76,89.9,0.599,22.6,5.9,270.0
SKU-0159,Pet Supplies,23.69,37.71,44.5,0.503,18.5,7.7,134.0
SKU-0160,Pet Supplies,31.68,58.32,64.1,0.522,18.8,4.4,192.0
SKU-0161,Pet Supplies,31.07,58.11,47.8,0.495,23.5,5.7,143.0
SKU-0162,Pet Supplies,13.72,21.96,79.2,0.505,22.4,7.9,238.0
SKU-0163,Pet Supplies,9.26,14.5,104.3,0.562,21.2,4.4,313.0
SKU-0164,Pet Supplies,22.5,38.18,74.6,0.56,19.0,6.6,224.0
SKU-0165,Pet Supplies,13.69,23.12,49.6,0.682,21.9,9.2,149.0
SKU-0166,Pet Supplies,26.56,44.06,44.4,0.38,22.0,6.1,133.0
SKU-0167,Pet Supplies,31.32,56.0,61.4,0.253,20.5,2.0,184.0
SKU-0168,Pet Supplies,5.87,9.72,85.0,0.446,20.5,6.5,255.0
SKU-0169,Pet Supplies,11.4,18.11,51.9,0.318,16.1,4.3,156.0
SKU-0170,Pet Supplies,8.26,15.22,111.2,0.678,17.7,6.5,334.0
SKU-0171,Pet Supplies,21.26,37.66,115.2,0.678,25.2,6.4,346.0
SKU-0172,Pet Supplies,20.33,32.46,49.0,0.508,20.4,7.5,147.0
SKU-0173,Pet Supplies,12.71,24.4,150.0,0.462,20.3,7.6,450.0
SKU-0174,Pet Supplies,28.38,45.85,43.7,0.392,17.7,6.2,131.0
SKU-0175,Pet Supplies,31.2,53.45,68.0,0.354,18.9,5.3,204.0
SKU-0176,Pet Supplies,14.49,26.03,51.0,0.36,23.1,7.6,153.0
SKU-0177,Pet Supplies,5.9,11.33,45.8,0.244,19.3,2.0,137.0
SKU-0178,Pet Supplies,6.48,11.29,67.1,0.543,25.5,8.1,201.0
SKU-0179,Pet Supplies,23.07,42.62,115.5,0.749,19.2,4.3,346.0
SKU-0180,Pet Supplies,5.18,8.7,46.2,0.607,15.2,4.0,139.0
