sku,category,trailing_revenue,trailing_units_ordered,revenue_rank,cumulative_revenue_pct,abc_tier
SKU-0043,Home & Kitchen,261377.46,16725.0,66,63.2,A
SKU-0123,Personal Care,258602.76,13234.0,67,63.79,A
SKU-0161,Pet Supplies,250221.66,4910.0,68,64.36,A
SKU-0080,Office Supplies,247033.41,13477.0,69,64.93,A
SKU-0018,Electronics Accessories,241525.14,7127.0,70,65.48,A
SKU-0157,Pet Supplies,238113.54,10255.0,71,66.02,A
SKU-0047,Home & Kitchen,236943.84,3797.0,72,66.56,A
SKU-0090,Office Supplies,236814.58,13174.0,73,67.1,A
SKU-0151,Outdoor & Sporting,231819.52,5433.0,74,67.63,A
SKU-0050,Home & Kitchen,231532.35,6539.0,75,68.16,A
SKU-0156,Pet Supplies,226218.89,5024.0,76,68.68,A
SKU-0024,Electronics Accessories,224248.28,7185.0,77,69.19,A
SKU-0133,Outdoor & Sporting,220646.64,5352.0,78,69.69,A
SKU-0084,Office Supplies,219664.16,14180.0,79,70.19,A
SKU-0174,Pet Supplies,206645.95,5149.0,80,70.66,A
SKU-0091,Office Supplies,203958.89,14233.0,81,71.13,A
SKU-0046,Home & Kitchen,202910.71,2950.0,82,71.59,A
SKU-0042,Home & Kitchen,202630.78,3074.0,83,72.05,A
SKU-0126,Outdoor & Sporting,201264.85,4190.0,84,72.51,A
SKU-0143,Outdoor & Sporting,200287.45,10594.0,85,72.97,A
SKU-0009,Electronics Accessories,198058.9,6947.0,86,73.42,A
SKU-0036,Home & Kitchen,194366.7,2827.0,87,73.86,A
SKU-0017,Electronics Accessories,189943.71,19055.0,88,74.3,A
SKU-0049,Home & Kitchen,188704.96,3788.0,89,74.73,A
SKU-0032,Electronics Accessories,188583.6,8040.0,90,75.16,A
SKU-0051,Home & Kitchen,188578.17,3273.0,91,75.59,A
SKU-0089,Office Supplies,187895.04,14064.0,92,76.02,A
SKU-0124,Personal Care,186409.04,18068.0,93,76.44,A
SKU-0166,Pet Supplies,186021.32,4666.0,94,76.87,A
SKU-0130,Outdoor & Sporting,178765.02,4675.0,95,77.27,A
SKU-0058,Home & Kitchen,175299.39,3336.0,96,77.67,A
SKU-0014,Electronics Accessories,172709.04,8627.0,97,78.07,A
SKU-0029,Electronics Accessories,172685.4,6817.0,98,78.46,A
SKU-0154,Pet Supplies,172334.4,5627.0,99,78.86,A
SKU-0159,Pet Supplies,167884.92,4875.0,100,79.24,A
SKU-0023,Electronics Accessories,167812.26,8661.0,101,79.62,A
SKU-0170,Pet Supplies,166704.66,11730.0,102,80.0,B
SKU-0135,Outdoor & Sporting,165605.48,4600.0,103,80.38,B
SKU-0141,Outdoor & Sporting,162734.7,13446.0,104,80.75,B
SKU-0064,Home & Kitchen,162328.16,2990.0,105,81.12,B
SKU-0066,Home & Kitchen,162147.02,3319.0,106,81.49,B
SKU-0002,Electronics Accessories,162042.44,8012.0,107,81.86,B
SKU-0137,Outdoor & Sporting,161137.89,5487.0,108,82.23,B
SKU-0045,Home & Kitchen,160805.76,2682.0,109,82.59,B
SKU-0038,Home & Kitchen,160068.34,2630.0,110,82.96,B
SKU-0153,Pet Supplies,158644.85,5752.0,111,83.32,B
SKU-0065,Home & Kitchen,158117.0,4940.0,112,83.68,B
SKU-0136,Outdoor & Sporting,157500.02,6179.0,113,84.04,B
SKU-0025,Electronics Accessories,155988.69,13103.0,114,84.4,B
SKU-0076,Office Supplies,155240.16,17546.0,115,84.75,B
SKU-0162,Pet Supplies,151480.08,8280.0,116,85.1,B
SKU-0163,Pet Supplies,150858.0,10676.0,117,85.44,B
SKU-0021,Electronics Accessories,149817.69,5891.0,118,85.78,B
SKU-0044,Home & Kitchen,149163.84,3108.0,119,86.12,B
SKU-0013,Electronics Accessories,148709.34,7474.0,120,86.46,B
SKU-0172,Pet Supplies,147790.38,4884.0,121,86.8,B
SKU-0062,Home & Kitchen,147153.6,2892.0,122,87.14,B
SKU-0041,Home & Kitchen,145890.38,3309.0,123,87.47,B
SKU-0093,Office Supplies,141676.16,14675.0,124,87.79,B
SKU-0132,Outdoor & Sporting,139650.48,5588.0,125,88.11,B
SKU-0035,Home & Kitchen,139238.58,3170.0,126,88.43,B
SKU-0086,Office Supplies,138886.88,13432.0,127,88.74,B
SKU-0079,Office Supplies,137239.88,20404.0,128,89.06,B
SKU-0059,Home & Kitchen,137224.62,2567.0,129,89.37,B
SKU-0003,Electronics Accessories,136035.34,6769.0,130,89.68,B
SKU-0010,Electronics Accessories,135270.59,6104.0,131,89.99,B
SKU-0122,Personal Care,129399.27,20476.0,132,90.28,B
SKU-0030,Electronics Accessories,125968.75,5038.0,133,90.57,B
SKU-0094,Office Supplies,125730.0,12700.0,134,90.86,B
SKU-0005,Electronics Accessories,124829.12,5743.0,135,91.14,B
SKU-0022,Electronics Accessories,121301.33,5708.0,136,91.42,B
SKU-0176,Pet Supplies,120961.41,5694.0,137,91.7,B
SKU-0054,Home & Kitchen,119522.61,2894.0,138,91.97,B
SKU-0011,Electronics Accessories,115606.64,6868.0,139,92.23,B
SKU-0115,Personal Care,113981.44,12846.0,140,92.49,B
SKU-0108,Personal Care,112411.12,16126.0,141,92.75,B
SKU-0012,Electronics Accessories,111842.67,5682.0,142,93.0,B
SKU-0055,Home & Kitchen,111434.24,3170.0,143,93.26,B
SKU-0145,Outdoor & Sporting,110076.98,3839.0,144,93.51,B
SKU-0165,Pet Supplies,106120.8,5071.0,145,93.75,B
SKU-0027,Electronics Accessories,106105.6,6894.0,146,93.99,B
SKU-0037,Home & Kitchen,104488.8,4497.0,147,94.23,B
SKU-0144,Outdoor & Sporting,103895.87,5206.0,148,94.47,B
SKU-0063,Home & Kitchen,103067.6,3771.0,149,94.7,B
SKU-0040,Home & Kitchen,98022.73,3607.0,150,94.93,B
SKU-0068,Office Supplies,97843.2,15680.0,151,95.15,C
SKU-0087,Office Supplies,97730.55,11043.0,152,95.37,C
SKU-0019,Electronics Accessories,94756.15,6423.0,153,95.59,C
SKU-0034,Electronics Accessories,93760.73,9079.0,154,95.8,C
SKU-0169,Pet Supplies,93592.48,5412.0,155,96.02,C
SKU-0020,Electronics Accessories,93190.02,7540.0,156,96.23,C
SKU-0048,Home & Kitchen,88645.38,2583.0,157,96.43,C
SKU-0105,Personal Care,86752.2,11910.0,158,96.63,C
SKU-0061,Home & Kitchen,84015.0,2651.0,159,96.82,C
SKU-0056,Home & Kitchen,83869.5,2929.0,160,97.01,C
SKU-0028,Electronics Accessories,82240.81,8961.0,161,97.2,C
SKU-0168,Pet Supplies,81861.84,8957.0,162,97.39,C
SKU-0031,Electronics Accessories,81419.8,5943.0,163,97.57,C
SKU-0099,Personal Care,81302.52,14728.0,164,97.76,C
SKU-0155,Pet Supplies,79520.28,4696.0,165,97.94,C
SKU-0111,Personal Care,79171.29,12777.0,166,98.12,C
SKU-0057,Home & Kitchen,78902.04,4212.0,167,98.3,C
SKU-0053,Home & Kitchen,73944.52,3038.0,168,98.47,C
SKU-0026,Electronics Accessories,72960.3,7406.0,169,98.64,C
SKU-0178,Pet Supplies,67423.88,7201.0,170,98.79,C
SKU-0016,Electronics Accessories,65946.0,5858.0,171,98.94,C
SKU-0007,Electronics Accessories,63783.19,5608.0,172,99.09,C
SKU-0004,Electronics Accessories,59362.92,8154.0,173,99.22,C
SKU-0060,Home & Kitchen,53870.4,2587.0,174,99.34,C
SKU-0177,Pet Supplies,53840.16,4809.0,175,99.47,C
SKU-0142,Outdoor & Sporting,51041.66,4861.0,176,99.58,C
SKU-0052,Home & Kitchen,49404.12,2724.0,177,99.7,C
SKU-0039,Home & Kitchen,47387.84,2661.0,178,99.8,C
SKU-0001,Electronics Accessories,44719.8,7004.0,179,99.91,C
SKU-0180,Pet Supplies,41238.0,5102.0,180,100.0,C
