sku,category,abc_tier,mean_weekly_demand,std_weekly_demand,lead_time_days_mean,reorder_point_current,reorder_point_recommended,rp_change,rp_change_pct
SKU-0104,Personal Care,A,166.28846153846155,127.73475803108818,19.0,534.0,922.0,388.0,72.7
SKU-0173,Pet Supplies,A,153.2403846153846,79.30113372177836,20.3,450.0,847.0,397.0,88.2
SKU-0147,Outdoor & Sporting,A,73.38461538461539,45.39605810103748,33.9,232.0,633.0,401.0,172.8
SKU-0028,Electronics Accessories,C,86.22115384615384,38.5217015449454,41.3,236.0,650.0,414.0,175.4
SKU-0018,Electronics Accessories,A,68.5,15.806475261555784,36.6,198.0,612.0,414.0,209.1
SKU-0117,Personal Care,A,258.4423076923077,176.82539393496037,13.9,720.0,1140.0,420.0,58.3
SKU-0027,Electronics Accessories,B,66.29807692307692,39.227709596016,41.9,182.0,610.0,428.0,235.2
SKU-0143,Outdoor & Sporting,A,101.8076923076923,59.97929690117061,28.0,302.0,745.0,443.0,146.7
SKU-0024,Electronics Accessories,A,69.0673076923077,32.08764224610644,40.2,201.0,645.0,444.0,220.9
SKU-0004,Electronics Accessories,C,78.4423076923077,40.98468265216386,41.1,211.0,659.0,448.0,212.3
SKU-0011,Electronics Accessories,B,65.95192307692308,38.0567740950057,45.1,184.0,634.0,450.0,244.6
SKU-0171,Pet Supplies,A,120.76923076923077,83.59207826652657,25.2,346.0,798.0,452.0,130.6
SKU-0029,Electronics Accessories,A,65.45192307692308,25.061431245475493,43.4,183.0,646.0,463.0,253.0
SKU-0097,Personal Care,A,171.80769230769232,124.7175509423973,19.8,491.0,957.0,466.0,94.9
SKU-0002,Electronics Accessories,B,77.0576923076923,34.409816538809146,48.5,222.0,696.0,474.0,213.5
SKU-0020,Electronics Accessories,C,72.41346153846153,19.41954304248915,48.0,210.0,689.0,479.0,228.1
SKU-0033,Electronics Accessories,A,61.93269230769231,29.53137690334331,39.8,190.0,672.0,482.0,253.7
SKU-0140,Outdoor & Sporting,A,83.35576923076923,35.51833063437842,31.8,244.0,729.0,485.0,198.8
SKU-0009,Electronics Accessories,A,66.84615384615384,26.567652874091785,49.3,186.0,701.0,515.0,276.9
SKU-0003,Electronics Accessories,B,65.07692307692308,29.692499235143153,51.6,186.0,703.0,517.0,278.0
SKU-0179,Pet Supplies,A,150.5,143.20716204902578,19.2,346.0,891.0,545.0,157.5
SKU-0014,Electronics Accessories,A,82.95192307692308,55.969370924665256,38.0,226.0,779.0,553.0,244.7
SKU-0124,Personal Care,A,173.625,138.43278047029852,22.0,544.0,1111.0,567.0,104.2
SKU-0043,Home & Kitchen,A,160.89423076923077,103.64782776017321,24.6,480.0,1051.0,571.0,119.0
SKU-0146,Outdoor & Sporting,A,98.5576923076923,48.19032391356898,34.6,277.0,850.0,573.0,206.9
SKU-0023,Electronics Accessories,A,83.28846153846153,52.22369232760743,42.1,241.0,822.0,581.0,241.1
SKU-0034,Electronics Accessories,C,87.54807692307692,43.312116246399206,46.2,259.0,848.0,589.0,227.4
SKU-0032,Electronics Accessories,A,77.4423076923077,46.524620671247135,41.3,221.0,817.0,596.0,269.7
SKU-0025,Electronics Accessories,B,126.03846153846153,93.43227889416876,38.8,370.0,1072.0,702.0,189.7
SKU-0141,Outdoor & Sporting,B,129.31730769230768,80.20825616935981,38.8,354.0,1058.0,704.0,198.9
SKU-0134,Outdoor & Sporting,A,124.84615384615384,89.8814504260726,32.4,360.0,1113.0,753.0,209.2
SKU-0015,Electronics Accessories,A,109.20192307692308,48.61646606824583,41.0,321.0,1119.0,798.0,248.6
SKU-0008,Electronics Accessories,A,159.57692307692307,98.2916891772362,48.0,496.0,1882.0,1386.0,279.4
SKU-0017,Electronics Accessories,A,183.2403846153846,162.1140372444512,42.9,585.0,2090.0,1505.0,257.3
SKU-0006,Electronics Accessories,A,229.64423076923077,125.83769159749797,39.2,660.0,2180.0,1520.0,230.3
