sku,category,avg_on_hand_units,avg_on_hand_value,avg_days_of_inventory,reorder_point_current
SKU-0149,Outdoor & Sporting,75.2,4300.14,9.8,161.0
SKU-0107,Personal Care,303.1,4204.0,16.0,397.0
SKU-0120,Personal Care,238.3,4089.23,15.6,320.0
SKU-0123,Personal Care,313.6,3966.85,18.6,353.0
SKU-0138,Outdoor & Sporting,57.0,3954.74,9.0,133.0
SKU-0080,Office Supplies,453.4,3953.56,26.5,359.0
SKU-0084,Office Supplies,482.3,3872.62,25.4,399.0
SKU-0167,Pet Supplies,122.1,3824.65,13.9,184.0
SKU-0090,Office Supplies,408.0,3696.53,23.9,358.0
SKU-0148,Outdoor & Sporting,57.6,3655.97,9.4,128.0
SKU-0089,Office Supplies,482.4,3618.3,25.6,395.0
SKU-0043,Home & Kitchen,324.9,3580.76,14.2,480.0
SKU-0129,Outdoor & Sporting,53.4,3563.53,9.0,124.0
SKU-0156,Pet Supplies,115.2,3547.66,17.2,140.0
SKU-0114,Personal Care,251.7,3541.01,15.1,349.0
SKU-0150,Outdoor & Sporting,51.5,3537.97,9.3,117.0
SKU-0033,Electronics Accessories,91.9,3482.79,10.1,190.0
SKU-0131,Outdoor & Sporting,62.8,3471.62,9.7,136.0
SKU-0106,Personal Care,292.9,3470.91,15.0,411.0
SKU-0015,Electronics Accessories,112.2,3281.85,7.3,321.0
SKU-0161,Pet Supplies,105.1,3266.95,15.4,143.0
SKU-0125,Outdoor & Sporting,49.0,3245.17,7.7,133.0
SKU-0091,Office Supplies,484.6,3164.56,25.6,397.0
SKU-0076,Office Supplies,580.9,2869.67,25.2,484.0
SKU-0017,Electronics Accessories,268.4,2858.73,9.6,585.0
SKU-0047,Home & Kitchen,64.8,2829.83,13.0,105.0
SKU-0159,Pet Supplies,119.1,2821.84,18.7,134.0
SKU-0124,Personal Care,392.2,2788.58,15.1,544.0
SKU-0018,Electronics Accessories,82.2,2710.01,8.7,198.0
SKU-0086,Office Supplies,442.0,2696.08,25.6,363.0
SKU-0133,Outdoor & Sporting,89.8,2639.9,12.9,146.0
SKU-0174,Pet Supplies,92.8,2635.03,14.9,131.0
SKU-0151,Outdoor & Sporting,65.1,2623.79,9.2,148.0
SKU-0143,Outdoor & Sporting,168.0,2619.27,11.7,302.0
SKU-0050,Home & Kitchen,99.7,2614.4,12.4,169.0
SKU-0093,Office Supplies,513.1,2539.62,25.7,419.0
SKU-0154,Pet Supplies,115.2,2442.61,15.2,159.0
SKU-0172,Pet Supplies,118.1,2400.11,16.9,147.0
SKU-0130,Outdoor & Sporting,64.9,2392.88,10.5,129.0
SKU-0157,Pet Supplies,154.6,2321.37,12.9,252.0
SKU-0166,Pet Supplies,87.3,2318.69,13.8,133.0
SKU-0032,Electronics Accessories,88.4,2304.24,8.4,221.0
SKU-0170,Pet Supplies,278.5,2300.62,17.5,334.0
SKU-0079,Office Supplies,717.4,2274.18,27.3,552.0
SKU-0162,Pet Supplies,163.4,2241.53,14.4,238.0
SKU-0065,Home & Kitchen,101.1,2241.46,14.5,147.0
SKU-0025,Electronics Accessories,171.5,2212.05,9.7,370.0
SKU-0024,Electronics Accessories,76.0,2204.78,8.0,201.0
SKU-0023,Electronics Accessories,106.2,2188.93,9.3,241.0
SKU-0036,Home & Kitchen,54.8,2143.12,15.0,76.0
SKU-0014,Electronics Accessories,104.1,2140.18,9.7,226.0
SKU-0029,Electronics Accessories,68.8,2121.36,7.9,183.0
SKU-0126,Outdoor & Sporting,48.0,2115.55,8.5,119.0
SKU-0046,Home & Kitchen,44.4,2112.22,11.4,82.0
SKU-0051,Home & Kitchen,50.5,2097.75,12.3,86.0
SKU-0163,Pet Supplies,222.6,2060.94,14.9,313.0
SKU-0042,Home & Kitchen,48.2,2033.72,11.7,86.0
SKU-0013,Electronics Accessories,108.7,2027.15,10.8,211.0
SKU-0135,Outdoor & Sporting,44.6,1993.85,7.5,124.0
SKU-0087,Office Supplies,379.0,1944.43,25.9,307.0
SKU-0041,Home & Kitchen,67.1,1909.09,15.7,90.0
SKU-0058,Home & Kitchen,48.2,1903.54,11.3,89.0
SKU-0094,Office Supplies,416.2,1902.06,24.2,362.0
SKU-0002,Electronics Accessories,81.3,1897.13,7.7,222.0
SKU-0009,Electronics Accessories,50.3,1848.86,5.7,186.0
SKU-0136,Outdoor & Sporting,95.2,1832.08,11.6,172.0
SKU-0068,Office Supplies,568.5,1813.38,27.1,440.0
SKU-0153,Pet Supplies,101.5,1812.03,14.4,148.0
SKU-0122,Personal Care,550.9,1784.87,21.1,548.0
SKU-0054,Home & Kitchen,57.3,1732.69,15.4,78.0
SKU-0005,Electronics Accessories,90.3,1707.43,11.7,163.0
SKU-0066,Home & Kitchen,46.7,1682.79,11.1,88.0
SKU-0137,Outdoor & Sporting,66.6,1679.18,9.2,153.0
SKU-0021,Electronics Accessories,70.0,1647.91,9.5,155.0
SKU-0012,Electronics Accessories,75.2,1646.96,9.4,169.0
SKU-0141,Outdoor & Sporting,138.8,1644.26,8.2,354.0
SKU-0010,Electronics Accessories,63.8,1580.68,8.0,168.0
SKU-0165,Pet Supplies,115.1,1576.06,16.2,149.0
SKU-0044,Home & Kitchen,47.0,1560.72,11.6,85.0
SKU-0035,Home & Kitchen,53.0,1560.53,12.4,90.0
SKU-0115,Personal Care,279.7,1557.95,17.0,345.0
SKU-0049,Home & Kitchen,45.9,1550.36,9.2,105.0
SKU-0038,Home & Kitchen,35.6,1542.33,10.3,73.0
SKU-0064,Home & Kitchen,35.2,1540.03,9.6,77.0
SKU-0045,Home & Kitchen,33.2,1515.18,9.3,75.0
SKU-0003,Electronics Accessories,61.9,1511.25,7.0,186.0
SKU-0169,Pet Supplies,131.7,1501.07,17.8,156.0
SKU-0062,Home & Kitchen,29.4,1500.28,8.2,75.0
SKU-0059,Home & Kitchen,39.5,1481.75,11.1,75.0
SKU-0108,Personal Care,342.7,1463.33,16.1,446.0
SKU-0132,Outdoor & Sporting,60.5,1453.21,8.5,149.0
SKU-0030,Electronics Accessories,58.2,1385.49,8.0,153.0
SKU-0145,Outdoor & Sporting,45.9,1382.21,8.2,118.0
SKU-0055,Home & Kitchen,47.0,1380.2,11.7,84.0
SKU-0011,Electronics Accessories,72.4,1360.94,8.3,184.0
SKU-0037,Home & Kitchen,74.5,1348.39,12.7,124.0
SKU-0040,Home & Kitchen,59.6,1230.06,12.4,100.0
SKU-0022,Electronics Accessories,57.9,1188.52,7.9,155.0
SKU-0048,Home & Kitchen,42.7,1185.14,12.3,73.0
SKU-0168,Pet Supplies,196.4,1153.06,16.2,255.0
SKU-0111,Personal Care,297.7,1128.17,18.1,345.0
SKU-0176,Pet Supplies,77.8,1127.71,10.7,153.0
SKU-0027,Electronics Accessories,67.5,1109.09,7.8,182.0
SKU-0105,Personal Care,241.5,1077.19,15.6,326.0
SKU-0020,Electronics Accessories,61.0,1071.16,6.1,210.0
SKU-0063,Home & Kitchen,55.9,1068.59,11.2,104.0
SKU-0056,Home & Kitchen,54.5,1067.62,14.3,80.0
SKU-0031,Electronics Accessories,72.0,1050.9,9.0,168.0
SKU-0057,Home & Kitchen,74.2,1022.77,13.0,119.0
SKU-0144,Outdoor & Sporting,56.1,985.1,8.5,139.0
SKU-0019,Electronics Accessories,52.6,964.61,6.5,171.0
SKU-0099,Personal Care,261.9,961.08,14.5,380.0
SKU-0028,Electronics Accessories,77.9,954.65,6.9,236.0
SKU-0034,Electronics Accessories,75.7,946.03,6.1,259.0
SKU-0061,Home & Kitchen,45.9,865.01,12.9,75.0
SKU-0155,Pet Supplies,81.9,834.8,13.1,131.0
SKU-0178,Pet Supplies,125.6,813.66,13.1,201.0
SKU-0026,Electronics Accessories,73.8,724.43,8.6,179.0
SKU-0004,Electronics Accessories,87.8,703.42,8.8,211.0
SKU-0016,Electronics Accessories,62.2,693.25,8.0,164.0
SKU-0177,Pet Supplies,114.9,677.8,17.6,137.0
SKU-0053,Home & Kitchen,39.3,666.63,11.0,75.0
SKU-0180,Pet Supplies,126.5,655.27,19.2,139.0
SKU-0007,Electronics Accessories,69.6,646.78,9.6,152.0
SKU-0142,Outdoor & Sporting,60.6,640.7,9.7,132.0
SKU-0060,Home & Kitchen,34.5,566.17,10.1,71.0
SKU-0039,Home & Kitchen,40.0,565.77,10.7,78.0
SKU-0052,Home & Kitchen,40.4,544.63,11.7,72.0
SKU-0001,Electronics Accessories,79.4,486.73,8.5,196.0
