month,region,category,budget_revenue,budget_discount_pct,budget_cogs_pct,actual_revenue,actual_discount_pct,actual_cogs_pct,budget_net_revenue,budget_cogs,budget_profit,actual_net_revenue,actual_cogs,actual_profit,profit_variance
2025-01,Northeast,Electronics Accessories,171845.63,0.1,0.62,157496.85,0.1105,0.6377,154661.07,95889.86,58771.21,140093.45,89337.59,50755.86,-8015.35
2025-02,Northeast,Electronics Accessories,169253.31,0.1,0.62,150360.41,0.1214,0.6419,152327.98,94443.35,57884.63,132106.66,84799.27,47307.39,-10577.24
2025-03,Northeast,Electronics Accessories,184040.68,0.1,0.62,184593.9,0.0965,0.6564,165636.61,102694.7,62941.91,166780.59,109474.78,57305.81,-5636.1
2025-04,Northeast,Electronics Accessories,191218.33,0.1,0.62,183277.9,0.0972,0.6335,172096.5,106699.83,65396.67,165463.29,104820.99,60642.3,-4754.37
2025-05,Northeast,Electronics Accessories,196514.47,0.1,0.62,189094.7,0.099,0.6278,176863.02,109655.07,67207.95,170374.32,106961.0,63413.32,-3794.63
2025-06,Northeast,Electronics Accessories,201866.35,0.1,0.62,196005.02,0.0681,0.6489,181679.72,112641.43,69038.29,182657.08,118526.18,64130.9,-4907.39
2025-07,Northeast,Electronics Accessories,199301.91,0.1,0.62,203464.57,0.0909,0.6512,179371.72,111210.47,68161.25,184969.64,120452.23,64517.41,-3643.84
2025-08,Northeast,Electronics Accessories,206716.49,0.1,0.62,212585.26,0.0873,0.6477,186044.84,115347.8,70697.04,194026.57,125671.01,68355.56,-2341.48
2025-09,Northeast,Electronics Accessories,212193.81,0.1,0.62,219472.24,0.1036,0.65,190974.43,118404.15,72570.28,196734.92,127877.7,68857.22,-3713.06
2025-10,Northeast,Electronics Accessories,223831.37,0.1,0.62,234181.29,0.1077,0.6475,201448.23,124897.9,76550.33,208959.97,135301.58,73658.39,-2891.94
2025-11,Northeast,Electronics Accessories,266339.82,0.1,0.62,306058.03,0.0932,0.6514,239705.84,148617.62,91088.22,277533.42,180785.27,96748.15,5659.93
2025-12,Northeast,Electronics Accessories,251650.01,0.1,0.62,255358.31,0.0991,0.6518,226485.01,140420.71,86064.3,230052.3,149948.09,80104.21,-5960.09
2024-01,Northeast,Home & Kitchen,154542.86,0.12,0.58,155735.68,0.124,0.592,135997.72,78878.68,57119.04,136424.46,80763.28,55661.18,-1457.86
2024-02,Northeast,Home & Kitchen,152317.45,0.12,0.58,135698.08,0.1007,0.5779,134039.36,77742.83,56296.53,122033.28,70523.03,51510.25,-4786.28
2024-03,Northeast,Home & Kitchen,165738.64,0.12,0.58,151782.94,0.1076,0.5764,145850.0,84593.0,61257.0,135451.1,78074.01,57377.09,-3879.91
2024-04,Northeast,Home & Kitchen,172318.73,0.12,0.58,191213.06,0.1253,0.5841,151640.48,87951.48,63689.0,167254.06,97693.1,69560.96,5871.96
2024-05,Northeast,Home & Kitchen,177209.15,0.12,0.58,201538.07,0.106,0.5814,155944.05,90447.55,65496.5,180175.03,104753.76,75421.27,9924.77
2024-06,Northeast,Home & Kitchen,182154.52,0.12,0.58,186219.71,0.1294,0.5901,160295.98,92971.67,67324.31,162122.88,95668.71,66454.17,-870.14
2024-07,Northeast,Home & Kitchen,179956.58,0.12,0.58,179234.22,0.1259,0.5707,158361.79,91849.84,66511.95,156668.63,89410.79,67257.84,745.89
2024-08,Northeast,Home & Kitchen,186770.2,0.12,0.58,191972.58,0.1147,0.5877,164357.78,95327.51,69030.27,169953.33,99881.57,70071.76,1041.49
2024-09,Northeast,Home & Kitchen,191839.21,0.12,0.58,172316.89,0.1147,0.5728,168818.5,97914.73,70903.77,152552.14,87381.87,65170.27,-5733.5
2024-10,Northeast,Home & Kitchen,202485.5,0.12,0.58,197113.49,0.1049,0.5883,178187.24,103348.6,74838.64,176436.28,103797.46,72638.82,-2199.82
2024-11,Northeast,Home & Kitchen,241086.87,0.12,0.58,236199.81,0.122,0.5738,212156.45,123050.74,89105.71,207383.43,118996.61,88386.82,-718.89
2024-12,Northeast,Home & Kitchen,227926.69,0.12,0.58,247705.02,0.1236,0.5894,200575.49,116333.78,84241.71,217088.68,127952.07,89136.61,4894.9
2025-01,Northeast,Home & Kitchen,169378.98,0.12,0.58,160984.22,0.1285,0.5795,149053.5,86451.03,62602.47,140297.75,81302.55,58995.2,-3607.27
2025-02,Northeast,Home & Kitchen,166823.87,0.12,0.58,169851.9,0.1339,0.5885,146805.01,85146.91,61658.1,147108.73,86573.49,60535.24,-1122.86
2025-03,Northeast,Home & Kitchen,181398.98,0.12,0.58,187966.55,0.1353,0.571,159631.1,92586.04,67045.06,162534.68,92807.3,69727.38,2682.32
2025-04,Northeast,Home & Kitchen,188473.61,0.12,0.58,198654.16,0.1199,0.5883,165856.78,96196.93,69659.85,174835.53,102855.74,71979.79,2319.94
2025-05,Northeast,Home & Kitchen,193693.72,0.12,0.58,189538.7,0.118,0.5945,170450.47,98861.27,71589.2,167173.13,99384.43,67788.7,-3800.5
2025-06,Northeast,Home & Kitchen,198968.79,0.12,0.58,192133.52,0.1108,0.5868,175092.54,101553.67,73538.87,170845.13,100251.92,70593.21,-2945.66
2025-07,Northeast,Home & Kitchen,196441.15,0.12,0.58,175060.95,0.1394,0.5787,172868.21,100263.56,72604.65,150657.45,87185.47,63471.98,-9132.67
2025-08,Northeast,Home & Kitchen,203749.31,0.12,0.58,215440.32,0.1295,0.5728,179299.39,103993.65,75305.74,187540.8,107423.37,80117.43,4811.69
2025-09,Northeast,Home & Kitchen,209148.01,0.12,0.58,221510.75,0.116,0.5905,184050.25,106749.14,77301.11,195815.5,115629.05,80186.45,2885.34
2025-10,Northeast,Home & Kitchen,220618.52,0.12,0.58,215214.12,0.1163,0.5812,194144.3,112603.69,81540.61,190184.72,110535.36,79649.36,-1891.25
2025-11,Northeast,Home & Kitchen,262516.81,0.12,0.58,265550.62,0.1247,0.5762,231014.79,133988.58,97026.21,232436.46,133929.89,98506.57,1480.36
2025-12,Northeast,Home & Kitchen,248037.86,0.12,0.58,230724.07,0.1212,0.577,218273.32,126598.53,91674.79,202760.31,116992.7,85767.61,-5907.18
2024-01,Northeast,Office Supplies,98460.27,0.08,0.55,97430.04,0.0827,0.5638,90583.45,49820.9,40762.55,89372.58,50388.26,38984.32,-1778.23
2024-02,Northeast,Office Supplies,97042.44,0.08,0.55,100572.7,0.0666,0.558,89279.04,49103.47,40175.57,93874.56,52382.0,41492.56,1316.99
2024-03,Northeast,Office Supplies,105593.17,0.08,0.55,103040.98,0.071,0.5607,97145.72,53430.15,43715.57,95725.07,53673.05,42052.02,-1663.55
2024-04,Northeast,Office Supplies,109785.39,0.08,0.55,110131.69,0.083,0.5619,101002.56,55551.41,45451.15,100990.76,56746.71,44244.05,-1207.1
2024-05,Northeast,Office Supplies,112901.11,0.08,0.55,119110.53,0.0709,0.5421,103869.02,57127.96,46741.06,110665.59,59991.82,50673.77,3932.71
2024-06,Northeast,Office Supplies,116051.84,0.08,0.55,119535.92,0.0854,0.5431,106767.69,58722.23,48045.46,109327.55,59375.79,49951.76,1906.3
2024-07,Northeast,Office Supplies,114651.52,0.08,0.55,111138.42,0.0854,0.549,105479.4,58013.67,47465.73,101647.2,55804.31,45842.89,-1622.84
2024-08,Northeast,Office Supplies,118992.52,0.08,0.55,128599.61,0.0831,0.5507,109473.12,60210.22,49262.9,117912.98,64934.68,52978.3,3715.4
2024-09,Northeast,Office Supplies,122222.02,0.08,0.55,133066.81,0.0876,0.5515,112444.26,61844.34,50599.92,121410.16,66957.7,54452.46,3852.54
2024-10,Northeast,Office Supplies,129004.84,0.08,0.55,135477.51,0.0809,0.5507,118684.45,65276.45,53408.0,124517.38,68571.72,55945.66,2537.66
2024-11,Northeast,Office Supplies,153598.02,0.08,0.55,158211.1,0.0796,0.5567,141310.18,77720.6,63589.58,145617.5,81065.26,64552.24,962.66
2024-12,Northeast,Office Supplies,145213.58,0.08,0.55,150410.54,0.079,0.5451,133596.49,73478.07,60118.42,138528.11,75511.67,63016.44,2898.02
2025-01,Northeast,Office Supplies,107912.46,0.08,0.55,112670.59,0.0709,0.5675,99279.46,54603.7,44675.76,104682.25,59407.18,45275.07,599.31
2025-02,Northeast,Office Supplies,106284.58,0.08,0.55,99574.45,0.0797,0.546,97781.81,53780.0,44001.81,91638.37,50034.55,41603.82,-2397.99
2025-03,Northeast,Office Supplies,115570.48,0.08,0.55,121808.62,0.0829,0.5421,106324.84,58478.66,47846.18,111710.69,60558.37,51152.32,3306.14
2025-04,Northeast,Office Supplies,120077.77,0.08,0.55,115031.63,0.0587,0.5416,110471.55,60759.35,49712.2,108279.27,58644.05,49635.22,-76.98
2025-05,Northeast,Office Supplies,123403.54,0.08,0.55,124638.01,0.0887,0.5437,113531.26,62442.19,51089.07,113582.62,61754.87,51827.75,738.68
2025-06,Northeast,Office Supplies,126764.32,0.08,0.55,126137.6,0.0718,0.5469,116623.17,64142.74,52480.43,117080.92,64031.56,53049.36,568.93
2025-07,Northeast,Office Supplies,125153.95,0.08,0.55,128124.61,0.0682,0.5487,115141.63,63327.9,51813.73,119386.51,65507.38,53879.13,2065.4
2025-08,Northeast,Office Supplies,129810.02,0.08,0.55,141224.22,0.0789,0.5543,119425.22,65683.87,53741.35,130081.63,72104.25,57977.38,4236.03
2025-09,Northeast,Office Supplies,133249.57,0.08,0.55,136799.81,0.0787,0.5549,122589.6,67424.28,55165.32,126033.66,69936.08,56097.58,932.26
2025-10,Northeast,Office Supplies,140557.51,0.08,0.55,139724.21,0.0798,0.5589,129312.91,71122.1,58190.81,128574.22,71860.13,56714.09,-1476.72
2025-11,Northeast,Office Supplies,167251.18,0.08,0.55,172850.4,0.0704,0.5463,153871.09,84629.1,69241.99,160681.73,87780.43,72901.3,3659.31
2025-12,Northeast,Office Supplies,158026.55,0.08,0.55,158942.21,0.0854,0.5594,145384.43,79961.44,65422.99,145368.55,81319.17,64049.38,-1373.61
2024-01,Northeast,Personal Care,91144.89,0.11,0.54,83608.3,0.0877,0.5377,81118.95,43804.23,37314.72,76275.85,41013.52,35262.33,-2052.39
2024-02,Northeast,Personal Care,89832.4,0.11,0.54,81697.42,0.0949,0.5425,79950.84,43173.45,36777.39,73944.33,40114.8,33829.53,-2947.86
2024-03,Northeast,Personal Care,97747.83,0.11,0.54,95141.1,0.1086,0.5423,86995.57,46977.61,40017.96,84808.78,45991.8,38816.98,-1200.98
2024-04,Northeast,Personal Care,101628.58,0.11,0.54,111745.3,0.1199,0.5448,90449.44,48842.7,41606.74,98347.04,53579.47,44767.57,3160.83
2024-05,Northeast,Personal Care,104512.81,0.11,0.54,103044.43,0.1137,0.5412,93016.4,50228.86,42787.54,91328.28,49426.87,41901.41,-886.13
2024-06,Northeast,Personal Care,107429.44,0.11,0.54,110950.1,0.1134,0.5332,95612.2,51630.59,43981.61,98368.36,52450.01,45918.35,1936.74
2024-07,Northeast,Personal Care,106133.16,0.11,0.54,112911.67,0.1294,0.537,94458.51,51007.6,43450.91,98300.9,52787.58,45513.32,2062.41
2024-08,Northeast,Personal Care,110151.64,0.11,0.54,102824.76,0.0951,0.53,98034.96,52938.88,45096.08,93046.13,49314.45,43731.68,-1364.4
2024-09,Northeast,Personal Care,113141.19,0.11,0.54,120765.92,0.1046,0.5478,100695.66,54375.66,46320.0,108133.8,59235.7,48898.1,2578.1
2024-10,Northeast,Personal Care,119420.06,0.11,0.54,124501.29,0.1083,0.5395,106283.85,57393.28,48890.57,111017.8,59894.1,51123.7,2233.13
2024-11,Northeast,Personal Care,142186.03,0.11,0.54,145986.98,0.1188,0.5481,126545.57,68334.61,58210.96,128643.73,70509.63,58134.1,-76.86
2024-12,Northeast,Personal Care,134424.53,0.11,0.54,140868.44,0.0925,0.537,119637.83,64604.43,55033.4,127838.11,68649.07,59189.04,4155.64
2025-01,Northeast,Personal Care,99894.8,0.11,0.54,89549.74,0.0966,0.5372,88906.37,48009.44,40896.93,80899.24,43459.07,37440.17,-3456.76
2025-02,Northeast,Personal Care,98387.87,0.11,0.54,99175.39,0.1123,0.5501,87565.2,47285.21,40279.99,88037.99,48429.7,39608.29,-671.7
2025-03,Northeast,Personal Care,106983.85,0.11,0.54,98621.7,0.0913,0.544,95215.63,51416.44,43799.19,89617.54,48751.94,40865.6,-2933.59
2025-04,Northeast,Personal Care,111156.26,0.11,0.54,112987.49,0.0965,0.5349,98929.07,53421.7,45507.37,102084.2,54604.84,47479.36,1971.99
2025-05,Northeast,Personal Care,114234.93,0.11,0.54,113146.69,0.0933,0.5429,101669.09,54901.31,46767.78,102590.1,55696.17,46893.93,126.15
2025-06,Northeast,Personal Care,117346.01,0.11,0.54,114719.29,0.0902,0.5411,104437.95,56396.49,48041.46,104371.61,56475.48,47896.13,-145.33
2025-07,Northeast,Personal Care,115855.28,0.11,0.54,119143.15,0.1157,0.5384,103111.2,55680.05,47431.15,105358.29,56724.9,48633.39,1202.24
2025-08,Northeast,Personal Care,120165.42,0.11,0.54,109417.2,0.1105,0.5384,106947.22,57751.5,49195.72,97326.6,52400.64,44925.96,-4269.76
2025-09,Northeast,Personal Care,123349.42,0.11,0.54,123760.6,0.1188,0.534,109780.98,59281.73,50499.25,109057.84,58236.89,50820.95,321.7
2025-10,Northeast,Personal Care,130114.39,0.11,0.54,144253.58,0.1077,0.5253,115801.81,62532.98,53268.83,128717.47,67615.29,61102.18,7833.35
2025-11,Northeast,Personal Care,154824.79,0.11,0.54,162780.66,0.1275,0.5479,137794.06,74408.79,63385.27,142026.13,77816.12,64210.01,824.74
2025-12,Northeast,Personal Care,146285.52,0.11,0.54,139210.14,0.0974,0.5268,130194.11,70304.82,59889.29,125651.07,66192.98,59458.09,-431.2
2024-01,Northeast,Outdoor & Sporting,83531.52,0.13,0.6,85264.25,0.1221,0.5987,72672.42,43603.45,29068.97,74853.49,44814.78,30038.71,969.74
2024-02,Northeast,Outdoor & Sporting,82328.67,0.13,0.6,81586.93,0.1228,0.6031,71625.94,42975.56,28650.38,71568.05,43162.69,28405.36,-245.02
2024-03,Northeast,Outdoor & Sporting,89582.91,0.13,0.6,91793.19,0.1324,0.5947,77937.13,46762.28,31174.85,79639.77,47361.77,32278.0,1103.15
2024-04,Northeast,Outdoor & Sporting,93139.5,0.13,0.6,87589.6,0.1304,0.6122,81031.37,48618.82,32412.55,76167.92,46630.0,29537.92,-2874.63
2024-05,Northeast,Outdoor & Sporting,95782.81,0.13,0.6,98039.03,0.1418,0.5946,83331.04,49998.62,33332.42,84137.1,50027.92,34109.18,776.76
2024-06,Northeast,Outdoor & Sporting,98455.82,0.13,0.6,98458.99,0.1232,0.6048,85656.56,51393.94,34262.62,86328.84,52211.68,34117.16,-145.46
2024-07,Northeast,Outdoor & Sporting,97267.81,0.13,0.6,91575.4,0.1311,0.6017,84622.99,50773.79,33849.2,79569.87,47877.19,31692.68,-2156.52
2024-08,Northeast,Outdoor & Sporting,100950.63,0.13,0.6,104476.9,0.1231,0.5983,87827.05,52696.23,35130.82,91615.79,54813.73,36802.06,1671.24
2024-09,Northeast,Outdoor & Sporting,103690.46,0.13,0.6,110799.0,0.1258,0.5965,90210.7,54126.42,36084.28,96860.49,57777.28,39083.21,2998.93
2024-10,Northeast,Outdoor & Sporting,109444.85,0.13,0.6,115758.19,0.1375,0.6046,95217.02,57130.21,38086.81,99841.44,60364.13,39477.31,1390.5
2024-11,Northeast,Outdoor & Sporting,130309.17,0.13,0.6,113104.47,0.139,0.609,113368.98,68021.39,45347.59,97382.95,59306.22,38076.73,-7270.86
2024-12,Northeast,Outdoor & Sporting,123196.0,0.13,0.6,125340.44,0.1225,0.6084,107180.52,64308.31,42872.21,109986.24,66915.63,43070.61,198.4
2025-01,Northeast,Outdoor & Sporting,91550.55,0.13,0.6,93222.61,0.1158,0.5944,79648.98,47789.39,31859.59,82427.43,48994.86,33432.57,1572.98
2025-02,Northeast,Outdoor & Sporting,90169.49,0.13,0.6,89294.17,0.1516,0.6162,78447.46,47068.48,31378.98,75757.17,46681.57,29075.6,-2303.38
2025-03,Northeast,Outdoor & Sporting,98047.44,0.13,0.6,97188.91,0.1277,0.5916,85301.27,51180.76,34120.51,84777.89,50154.6,34623.29,502.78
2025-04,Northeast,Outdoor & Sporting,101871.33,0.13,0.6,104046.45,0.1239,0.6115,88628.06,53176.84,35451.22,91155.09,55741.34,35413.75,-37.47
2025-05,Northeast,Outdoor & Sporting,104692.84,0.13,0.6,108221.91,0.1422,0.5916,91082.77,54649.66,36433.11,92832.75,54919.85,37912.9,1479.79
2025-06,Northeast,Outdoor & Sporting,107544.05,0.13,0.6,103639.08,0.1128,0.597,93563.32,56137.99,37425.33,91948.59,54893.31,37055.28,-370.05
2025-07,Northeast,Outdoor & Sporting,106177.84,0.13,0.6,107339.23,0.1389,0.6043,92374.72,55424.83,36949.89,92429.81,55855.33,36574.48,-375.41
2025-08,Northeast,Outdoor & Sporting,110127.96,0.13,0.6,108825.23,0.1285,0.5895,95811.33,57486.8,38324.53,94841.19,55908.88,38932.31,607.78
2025-09,Northeast,Outdoor & Sporting,113045.99,0.13,0.6,108801.78,0.1279,0.5925,98350.01,59010.01,39340.0,94886.03,56219.97,38666.06,-673.94
2025-10,Northeast,Outdoor & Sporting,119245.88,0.13,0.6,121467.31,0.1256,0.5978,103743.92,62246.35,41497.57,106211.02,63492.95,42718.07,1220.5
2025-11,Northeast,Outdoor & Sporting,141892.21,0.13,0.6,137809.23,0.1417,0.5982,123446.22,74067.73,49378.49,118281.66,70756.09,47525.57,-1852.92
2025-12,Northeast,Outdoor & Sporting,134066.23,0.13,0.6,122231.23,0.1276,0.6028,116637.62,69982.57,46655.05,106634.53,64279.29,42355.24,-4299.81
2024-01,Northeast,Pet Supplies,83980.51,0.09,0.56,81719.64,0.0802,0.5573,76422.26,42796.47,33625.79,75165.72,41889.86,33275.86,-349.93
2024-02,Northeast,Pet Supplies,82771.19,0.09,0.56,75415.53,0.0947,0.5663,75321.78,42180.2,33141.58,68273.68,38663.38,29610.3,-3531.28
2024-03,Northeast,Pet Supplies,90064.43,0.09,0.56,94191.5,0.0641,0.5528,81958.63,45896.83,36061.8,88153.82,48731.43,39422.39,3360.59
2024-04,Northeast,Pet Supplies,93640.13,0.09,0.56,92307.32,0.1061,0.5526,85212.52,47719.01,37493.51,82513.51,45596.97,36916.54,-576.97
2024-05,Northeast,Pet Supplies,96297.65,0.09,0.56,101109.48,0.0906,0.5728,87630.86,49073.28,38557.58,91948.96,52668.36,39280.6,723.02
2024-06,Northeast,Pet Supplies,98985.03,0.09,0.56,88913.36,0.0954,0.5491,90076.38,50442.77,39633.61,80431.03,44164.68,36266.35,-3367.26
2024-07,Northeast,Pet Supplies,97790.64,0.09,0.56,105692.35,0.0778,0.5736,88989.48,49834.11,39155.37,97469.49,55908.5,41560.99,2405.62
2024-08,Northeast,Pet Supplies,101493.24,0.09,0.56,103931.64,0.0696,0.5629,92358.85,51720.96,40637.89,96698.0,54431.3,42266.7,1628.81
2024-09,Northeast,Pet Supplies,104247.8,0.09,0.56,98269.55,0.0945,0.547,94865.5,53124.68,41740.82,88983.08,48673.74,40309.34,-1431.48
2024-10,Northeast,Pet Supplies,110033.13,0.09,0.56,121340.42,0.0763,0.551,100130.15,56072.88,44057.27,112082.15,61757.26,50324.89,6267.62
2024-11,Northeast,Pet Supplies,131009.59,0.09,0.56,126292.47,0.0925,0.5649,119218.73,66762.49,52456.24,114610.42,64743.43,49866.99,-2589.25
2024-12,Northeast,Pet Supplies,123858.19,0.09,0.56,116723.47,0.0778,0.5665,112710.95,63118.13,49592.82,107642.38,60979.41,46662.97,-2929.85
2025-01,Northeast,Pet Supplies,92042.64,0.09,0.56,91292.91,0.0982,0.5653,83758.8,46904.93,36853.87,82327.95,46539.99,35787.96,-1065.91
2025-02,Northeast,Pet Supplies,90654.16,0.09,0.56,92487.21,0.0859,0.5557,82495.29,46197.36,36297.93,84542.56,46980.3,37562.26,1264.33
2025-03,Northeast,Pet Supplies,98574.45,0.09,0.56,102863.53,0.0793,0.5568,89702.75,50233.54,39469.21,94706.45,52732.55,41973.9,2504.69
2025-04,Northeast,Pet Supplies,102418.9,0.09,0.56,114424.33,0.0909,0.5543,93201.2,52192.67,41008.53,104023.16,57660.04,46363.12,5354.59
2025-05,Northeast,Pet Supplies,105255.57,0.09,0.56,100710.57,0.0751,0.5585,95782.57,53638.24,42144.33,93147.21,52022.72,41124.49,-1019.84
2025-06,Northeast,Pet Supplies,108122.1,0.09,0.56,98313.51,0.1066,0.5563,98391.11,55099.02,43292.09,87833.29,48861.66,38971.63,-4320.46
2025-07,Northeast,Pet Supplies,106748.56,0.09,0.56,108402.86,0.1005,0.5667,97141.19,54399.07,42742.12,97508.37,55257.99,42250.38,-491.74
2025-08,Northeast,Pet Supplies,110719.9,0.09,0.56,103613.04,0.0861,0.5678,100755.11,56422.86,44332.25,94691.96,53766.09,40925.87,-3406.38
2025-09,Northeast,Pet Supplies,113653.62,0.09,0.56,105992.74,0.0829,0.5642,103424.79,57917.88,45506.91,97205.94,54843.59,42362.35,-3144.56
2025-10,Northeast,Pet Supplies,119886.84,0.09,0.56,119528.83,0.0789,0.57,109097.02,61094.33,48002.69,110098.01,62755.87,47342.14,-660.55
2025-11,Northeast,Pet Supplies,142654.89,0.09,0.56,152137.01,0.0801,0.5571,129815.95,72696.93,57119.02,139950.84,77966.61,61984.23,4865.21
2025-12,Northeast,Pet Supplies,134786.85,0.09,0.56,128983.97,0.1086,0.5552,122656.03,68687.38,53968.65,114976.31,63834.85,51141.46,-2827.19
2024-01,Midwest,Electronics Accessories,192953.99,0.1,0.62,185712.67,0.1138,0.6257,173658.59,107668.33,65990.26,164578.57,102976.81,61601.76,-4388.5
2024-02,Midwest,Electronics Accessories,190175.45,0.1,0.62,187932.27,0.1175,0.6151,171157.91,106117.9,65040.01,165850.23,102014.48,63835.75,-1204.26
2024-03,Midwest,Electronics Accessories,206932.43,0.1,0.62,203245.56,0.0803,0.6279,186239.19,115468.3,70770.89,186924.94,117370.17,69554.77,-1216.12
2024-04,Midwest,Electronics Accessories,215147.99,0.1,0.62,227105.63,0.0983,0.6203,193633.19,120052.58,73580.61,204781.15,127025.75,77755.4,4174.79
2024-05,Midwest,Electronics Accessories,221253.91,0.1,0.62,221379.0,0.0725,0.6166,199128.52,123459.68,75668.84,205329.02,126605.87,78723.15,3054.31
2024-06,Midwest,Electronics Accessories,227428.43,0.1,0.62,212988.89,0.0892,0.6162,204685.59,126905.07,77780.52,193990.28,119536.81,74453.47,-3327.05
2024-07,Midwest,Electronics Accessories,224684.2,0.1,0.62,251618.72,0.106,0.6227,202215.78,125373.78,76842.0,224947.14,140074.58,84872.56,8030.56
2024-08,Midwest,Electronics Accessories,233191.33,0.1,0.62,225738.63,0.0793,0.6139,209872.2,130120.76,79751.44,207837.56,127591.48,80246.08,494.64
2024-09,Midwest,Electronics Accessories,239520.22,0.1,0.62,219515.52,0.1133,0.6211,215568.2,133652.28,81915.92,194644.41,120893.64,73750.77,-8165.15
2024-10,Midwest,Electronics Accessories,252812.6,0.1,0.62,260273.72,0.1009,0.6297,227531.34,141069.43,86461.91,234012.1,147357.42,86654.68,192.77
2024-11,Midwest,Electronics Accessories,301008.22,0.1,0.62,301644.82,0.0874,0.6173,270907.4,167962.59,102944.81,275281.06,169931.0,105350.06,2405.25
2024-12,Midwest,Electronics Accessories,284577.12,0.1,0.62,293479.56,0.1013,0.6224,256119.41,158794.03,97325.38,263750.08,164158.05,99592.03,2266.65
2025-01,Midwest,Electronics Accessories,211477.57,0.1,0.62,210540.03,0.0885,0.6071,190329.81,118004.48,72325.33,191907.24,116506.89,75400.35,3075.02
2025-02,Midwest,Electronics Accessories,208287.4,0.1,0.62,208508.77,0.0967,0.6263,187458.66,116224.37,71234.29,188345.97,117961.08,70384.89,-849.4
2025-03,Midwest,Electronics Accessories,226485.1,0.1,0.62,228388.27,0.1128,0.6478,203836.59,126378.69,77457.9,202626.07,131261.17,71364.9,-6093.0
2025-04,Midwest,Electronics Accessories,235318.11,0.1,0.62,245936.3,0.119,0.6283,211786.3,131307.51,80478.79,216669.88,136133.69,80536.19,57.4
2025-05,Midwest,Electronics Accessories,241835.67,0.1,0.62,214943.04,0.089,0.6348,217652.1,134944.3,82707.8,195813.11,124302.16,71510.95,-11196.85
2025-06,Midwest,Electronics Accessories,248421.83,0.1,0.62,250034.77,0.0942,0.6117,223579.65,138619.38,84960.27,226481.49,138538.73,87942.76,2982.49
2025-07,Midwest,Electronics Accessories,245265.96,0.1,0.62,245337.31,0.0976,0.6241,220739.36,136858.4,83880.96,221392.39,138170.99,83221.4,-659.56
2025-08,Midwest,Electronics Accessories,254390.54,0.1,0.62,282481.36,0.0998,0.621,228951.49,141949.92,87001.57,254289.72,157913.92,96375.8,9374.23
2025-09,Midwest,Electronics Accessories,261131.07,0.1,0.62,251440.07,0.1051,0.6293,235017.96,145711.14,89306.82,225013.72,141601.13,83412.59,-5894.23
2025-10,Midwest,Electronics Accessories,275452.54,0.1,0.62,292675.94,0.0926,0.6254,247907.29,153702.52,94204.77,265574.15,166090.07,99484.08,5279.31
2025-11,Midwest,Electronics Accessories,327764.51,0.1,0.62,343314.19,0.09,0.6192,294988.06,182892.6,112095.46,312415.91,193447.93,118967.98,6872.52
2025-12,Midwest,Electronics Accessories,309686.86,0.1,0.62,299074.77,0.0917,0.6121,278718.17,172805.27,105912.9,271649.61,166276.73,105372.88,-540.02
2024-01,Midwest,Home & Kitchen,119568.45,0.12,0.58,123200.06,0.1242,0.5796,105220.24,61027.74,44192.5,107898.61,62538.03,45360.58,1168.08
